empresa;qtde;vl_pago;vl_atual;lucro_des;al_comprar;al_vender;status;profit;table_code;mme5;mme15;mme30;fxmin45;fxmax45;fxminrg;fxmaxrg;aberturadia;minimadia;maximadia;stsmme;obsmme;dtacompra;bloqueada
BBAS3;200;33,3;29,68000030517578;100;0,0;0,0;0;-3,6199996948242164;banco-do-brasil-on-BBAS3;32,01647059;33,33833333;36,97615;0;0;0;0;29,989999771118164;29,46999931335449;30,11000061035156;-2;Nada a acrescentar;0;False
GRND3;500;7,38;7,650000095367432;0;0,0;7,81;0;0,27000009536743264;grendene-on-GRND3;7,957058824;7,792222222;8,79445;0;0;0;0;7,679999828338622;7,5900001525878915;7,78000020980835;-1;3 dias consecutivos de queda;0;False
ITSA4;170;10,12;8,829999923706055;0;0,0;0,0;0;-1,2900000762939443;itausa-pn-ITSA4;9,305882353;9,929027778;10,6386;0;0;0;0;8,880000114440918;8,8100004196167;8,930000305175781;-2;Nada a acrescentar;0;False
KLBN4;115;4,747826086956521;4,699999809265137;0;3,99;5,2;0;-0,05017876216343353;klabin-pn-KLBN4;4,882941176;4,533194443999999;4,0262;0;0;0;0;4,769999980926514;4,650000095367432;4,789999961853027;-1;Nada a acrescentar;2020-09-30 16:51:04.669310;False
TECN3;1500;1,72;1,0;0;1,3;3,0;0;-0,72;technos-on-TECN3;1,055294118;1,229722222;1,7592;0;0;0;0;1,0099999904632568;1,0;1,0199999809265137;0;3 dias consecutivos de queda;0;False
VULC3;300;7,17;6,269999980926514;0;0,0;0,0;0;-0,9000000190734863;vulcabras-on-VULC3;6,275882352999999;;;0;0;0;0;6,139999866485598;6,110000133514402;6,340000152587893;0;Nada a acrescentar;0;False
ABEV3;0;0,0;12,600000381469727;0;11,99;0,0;1;0,0;ambev-s-a-on-ABEV3;12,62352941;13,51430556;14,3534;0;0;0;0;12,449999809265135;12,359999656677244;12,68000030517578;0;Nada a acrescentar;0;False
SAPR4;0;0,0;5,090000152587892;0;4,8;0,0;1;0,0;sanepar-pn-SAPR4;5,41;5,839027777999999;5,8548;0;0;0;0;5,170000076293945;5,059999942779541;5,179999828338623;-1;6 dias consecutivos de queda;0;False
TAEE11;0;0,0;28,020000457763672;0;25,0;0,0;1;0,0;taesa-TAEE11;28,52941176;28,54958333;28,83555;0;0;0;0;28,0;27,8799991607666;28,13999938964844;-1;Nada a acrescentar;0;False
SBSP3;0;0,0;46,81999969482422;0;0,0;0,0;1;0,0;sabesp-on-SBSP3;48,08;55,1175;53,03995;0;0;0;0;47,29999923706055;46,099998474121094;47,61000061035156;0;Nada a acrescentar;0;False
GOAU4;0;0,0;9,359999656677246;0;0,0;0,0;0;0,0;GOAU4;0,0;0,0;0,0;0;0;0;0;9,15999984741211;9,149999618530273;9,609999656677246;0;Nada a acrescentar;0;False
IRBR3;10;7,39;7,449999809265138;0;0,0;0,0;0;0,05999980926513793;IRBR3;0,0;0,0;0,0;0;0;0;0;7,550000190734862;7,300000190734862;7,570000171661378;2;0 dias consecutivos de alta;0;False
