Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;14.59;-0.05;-0.34%;14.60;14.62;14.50;990.100;2020-09-25
09/24/2020;14.64;0.06;0.41%;14.61;14.72;14.47;1.876.000;2020-09-24
09/23/2020;14.58;-0.06;-0.41%;14.63;14.74;14.58;1.303.500;2020-09-23
09/22/2020;14.64;-0.10;-0.68%;14.76;14.90;14.59;1.888.600;2020-09-22
09/21/2020;14.74;0.04;0.27%;14.60;14.87;14.38;1.482.700;2020-09-21
09/18/2020;14.70;-0.08;-0.54%;14.77;14.82;14.58;1.359.500;2020-09-18
09/17/2020;14.78;0.08;0.54%;14.69;14.84;14.63;900.200;2020-09-17
09/16/2020;14.70;-0.06;-0.41%;14.81;14.92;14.70;1.015.600;2020-09-16
09/15/2020;14.76;-0.01;-0.07%;14.94;14.94;14.72;924.300;2020-09-15
09/14/2020;14.77;0.12;0.82%;14.73;14.89;14.67;1.193.600;2020-09-14
09/11/2020;14.65;-0.25;-1.68%;15.00;15.00;14.60;1.486.900;2020-09-11
09/10/2020;14.90;-0.10;-0.67%;15.03;15.13;14.86;1.393.900;2020-09-10
09/09/2020;15.00;0.03;0.2%;15.07;15.25;15.00;1.432.700;2020-09-09
09/08/2020;14.97;0.09;0.6%;14.89;15.04;14.84;1.439.100;2020-09-08
09/07/2020;14.88;0.00;+0.00%;14.91;14.99;14.78;0;2020-09-07
09/04/2020;14.88;0.06;0.4%;14.91;14.99;14.78;1.296.100;2020-09-04
09/03/2020;14.82;-0.24;-1.59%;15.09;15.09;14.80;1.926.600;2020-09-03
09/02/2020;15.06;0.01;0.07%;15.06;15.10;14.96;2.497.400;2020-09-02
09/01/2020;15.05;0.05;0.33%;15.08;15.11;14.94;1.447.500;2020-09-01
08/31/2020;15.00;-0.02;-0.13%;15.02;15.11;14.88;1.439.300;2020-08-31
08/28/2020;15.02;0.10;0.67%;14.93;15.13;14.91;1.188.800;2020-08-28
08/27/2020;14.92;-0.01;-0.07%;14.99;15.01;14.86;990.600;2020-08-27
08/26/2020;14.93;-0.17;-1.13%;15.10;15.17;14.86;1.574.400;2020-08-26
08/25/2020;15.10;0.05;0.33%;15.07;15.24;15.04;1.692.600;2020-08-25
08/24/2020;15.05;0.02;0.13%;15.11;15.18;15.04;1.073.800;2020-08-24
08/21/2020;15.03;0.00;+0.00%;14.95;15.16;14.89;0;2020-08-21
08/21/2020;15.03;0.12;0.8%;14.95;15.16;14.89;1.927.300;2020-08-21
08/20/2020;14.91;0.12;0.81%;14.64;15.07;14.54;1.541.100;2020-08-20
08/19/2020;14.79;0.19;1.3%;14.70;14.92;14.58;1.434.700;2020-08-19
08/18/2020;14.60;0.38;2.67%;14.38;14.78;14.33;2.526.600;2020-08-18
08/17/2020;14.22;-0.16;-1.11%;14.44;14.48;14.03;1.888.200;2020-08-17
08/14/2020;14.38;-0.09;-0.62%;14.49;14.49;14.30;1.340.300;2020-08-14
08/13/2020;14.47;-0.06;-0.41%;14.58;14.67;14.30;1.301.100;2020-08-13
08/12/2020;14.53;-0.03;-0.21%;14.65;14.70;14.41;2.273.200;2020-08-12
08/11/2020;14.56;-0.69;-4.52%;15.02;15.02;14.56;2.964.800;2020-08-11
08/10/2020;15.25;-0.05;-0.33%;15.40;15.53;15.09;2.557.700;2020-08-10
08/07/2020;15.30;-0.07;-0.46%;15.37;15.63;15.25;2.475.700;2020-08-07
08/06/2020;15.37;0.72;4.91%;15.50;15.90;15.31;4.893.800;2020-08-06
