;Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date;mme15;mme45;mme70
0;09/25/2020;12.84;0.17;1.34%;12.65;12.91;12.50;26.495.500;2020-09-25;12,607333333333369;13,02622222222224;13,488857142857135
1;09/24/2020;12.67;0.19;1.52%;12.50;12.83;12.36;30.902.200;2020-09-24;12,591333333333369;13,080222222222238;13,506714285714278
2;09/23/2020;12.48;-0.31;-2.42%;12.68;12.76;12.44;27.736.600;2020-09-23;12,590000000000035;13,129555555555571;13,52214285714285
3;09/22/2020;12.79;0.04;0.31%;12.72;12.88;12.57;13.753.000;2020-09-22;12,61333333333337;13,172222222222237;13,539571428571422
4;09/21/2020;12.75;-0.01;-0.08%;12.70;12.80;12.51;18.966.300;2020-09-21;12,604666666666704;13,215111111111128;13,554285714285708
5;09/18/2020;12.76;-0.44;-3.33%;13.11;13.17;12.75;46.869.000;2020-09-18;12,578000000000037;13,257111111111127;13,56271428571428
6;09/17/2020;13.20;0.63;5.01%;12.52;13.26;12.40;58.483.500;2020-09-17;12,578000000000037;13,286444444444461;13,572714285714282
7;09/16/2020;12.57;-0.31;-2.41%;12.92;12.94;12.54;18.729.400;2020-09-16;12,544000000000038;13,308222222222238;13,57871428571428
8;09/15/2020;12.88;0.31;2.47%;12.61;12.96;12.50;29.444.700;2020-09-15;12,548000000000037;13,340222222222236;13,597999999999994
9;09/14/2020;12.57;0.55;4.58%;12.12;12.58;12.12;24.419.600;2020-09-14;12,540000000000038;13,37177777777779;13,612857142857136
10;09/11/2020;12.02;-0.29;-2.36%;12.37;12.38;12.01;25.286.500;2020-09-11;12,560000000000038;13,401333333333344;13,636999999999992
11;09/10/2020;12.31;-0.01;-0.08%;12.32;12.62;12.25;30.209.800;2020-09-10;12,62333333333337;13,445777777777788;13,674285714285707
12;09/09/2020;12.32;-0.03;-0.24%;12.41;12.47;12.17;17.716.100;2020-09-09;12,66733333333337;13,502000000000013;13,696999999999994
13;09/08/2020;12.35;-0.25;-1.98%;12.55;12.55;12.32;20.712.000;2020-09-08;12,704666666666704;13,553111111111123;13,712428571428564
14;09/07/2020;12.60;0.00;+0.00%;12.69;12.72;12.41;0;2020-09-07;12,738000000000037;13,605333333333347;13,723857142857135
15;09/04/2020;12.60;-0.05;-0.4%;12.69;12.72;12.41;22.149.500;2020-09-04;12,770000000000039;13,645111111111124;13,730857142857134
16;09/03/2020;12.65;-0.18;-1.4%;12.71;13.09;12.50;37.438.600;2020-09-03;12,786666666666706;13,682888888888899;13,731142857142848
17;09/02/2020;12.83;0.17;1.34%;12.75;12.87;12.55;18.202.600;2020-09-02;12,827333333333371;13,716222222222232;13,729714285714277
18;09/01/2020;12.66;0.31;2.51%;12.50;12.68;12.44;31.742.100;2020-09-01;12,852666666666703;13,745777777777787;13,73099999999999
19;08/31/2020;12.35;-0.41;-3.21%;12.66;12.69;12.30;38.488.000;2020-08-31;12,907333333333371;13,782666666666678;13,742571428571418
20;08/28/2020;12.76;0.07;0.55%;12.76;12.85;12.50;23.050.600;2020-08-28;12,978000000000037;13,8228888888889;13,745428571428562
21;08/27/2020;12.69;0.06;0.48%;12.70;12.83;12.60;20.747.000;2020-08-27;13,008666666666704;13,858222222222233;13,737857142857132
22;08/26/2020;12.63;-0.13;-1.02%;12.74;12.94;12.49;29.757.700;2020-08-26;13,054666666666703;13,885111111111119;13,726714285714275
23;08/25/2020;12.76;-0.11;-0.85%;12.89;12.94;12.70;14.960.200;2020-08-25;13,100666666666704;13,920444444444454;13,716285714285704
24;08/24/2020;12.87;-0.10;-0.77%;13.06;13.11;12.82;18.335.400;2020-08-24;13,128000000000037;13,938888888888899;13,707714285714275
25;08/21/2020;12.97;0.00;+0.00%;12.86;12.97;12.70;0;2020-08-21;13,172666666666704;13,962444444444454;13,694142857142845
26;08/21/2020;12.97;0.09;0.7%;12.86;12.97;12.70;19.407.800;2020-08-21;13,222000000000037;13,987333333333343;13,682428571428558
27;08/20/2020;12.88;0.03;0.23%;12.67;13.04;12.58;21.512.900;2020-08-20;13,288666666666703;14,004666666666676;13,666714285714272
28;08/19/2020;12.85;-0.23;-1.76%;13.08;13.20;12.80;15.809.100;2020-08-19;13,414666666666704;14,022888888888899;13,649714285714273
29;08/18/2020;13.08;0.23;1.79%;13.02;13.26;12.90;30.227.500;2020-08-18;13,568666666666704;14,044444444444455;13,6292857142857
30;08/17/2020;12.85;-0.41;-3.09%;13.21;13.38;12.75;33.507.900;2020-08-17;13,70133333333337;14,050222222222231;13,610999999999985
31;08/14/2020;13.26;0.05;0.38%;13.24;13.41;13.15;22.032.000;2020-08-14;13,862666666666705;14,063777777777789;13,597428571428557
32;08/13/2020;13.21;-0.27;-2.0%;13.55;13.56;13.20;22.611.700;2020-08-13;13,971333333333371;14,071777777777788;13,581142857142842
33;08/12/2020;13.48;0.07;0.52%;13.53;13.58;13.11;44.719.600;2020-08-12;14,050666666666704;14,087555555555564;13,559428571428557
34;08/11/2020;13.41;0.19;1.44%;13.38;13.65;13.30;40.751.000;2020-08-11;14,133333333333372;14,09733333333334;13,532571428571414
35;08/10/2020;13.22;-0.16;-1.2%;13.38;13.51;13.05;28.095.600;2020-08-10;14,215333333333371;14,11622222222223;13,513285714285699
36;08/07/2020;13.38;0.06;0.45%;13.19;13.53;13.08;44.280.200;2020-08-07;14,272666666666705;14,147555555555563;13,492142857142841
37;08/06/2020;13.32;0.15;1.14%;13.23;13.39;13.01;35.028.900;2020-08-06;14,32600000000004;14,159111111111118;13,462285714285699
38;08/05/2020;13.17;-0.37;-2.73%;13.60;13.65;13.05;47.510.100;2020-08-05;14,372000000000039;14,160888888888895;13,433285714285697
39;08/04/2020;13.54;-0.17;-1.24%;13.68;13.71;13.17;40.601.100;2020-08-04;14,447333333333374;14,16044444444445;13,412571428571413
40;08/03/2020;13.71;-0.26;-1.86%;13.94;13.99;13.60;35.573.500;2020-08-03;14,471333333333375;14,150444444444451;13,385571428571412
41;07/31/2020;13.97;-0.80;-5.42%;14.81;14.83;13.76;67.776.600;2020-07-31;14,492000000000042;14,126222222222228;13,355428571428556
42;07/30/2020;14.77;-0.39;-2.57%;15.80;15.92;14.53;108.380.100;2020-07-30;14,550000000000042;14,094666666666672;13,317285714285697
43;07/29/2020;15.16;0.09;0.6%;15.16;15.41;15.04;39.734.800;2020-07-29;14,540000000000042;14,05355555555556;13,27171428571427
44;07/28/2020;15.07;-0.20;-1.31%;15.19;15.41;15.00;44.883.300;2020-07-28;14,509333333333375;14,016000000000005;13,220999999999984
45;07/27/2020;15.27;0.38;2.55%;14.93;15.39;14.88;42.001.500;2020-07-27;14,46400000000004;13,960000000000004;13,172999999999984
46;07/24/2020;14.89;0.49;3.4%;14.49;14.96;14.30;32.629.400;2020-07-24;14,399333333333374;13,892444444444449;13,122142857142842
47;07/23/2020;14.40;-0.32;-2.17%;14.71;14.89;14.35;21.059.900;2020-07-23;14,350000000000042;13,826222222222226;13,074714285714272
48;07/22/2020;14.72;0.08;0.55%;14.65;15.13;14.57;35.800.700;2020-07-22;14,33400000000004;13,77066666666667;13,03571428571427
49;07/21/2020;14.64;0.56;3.98%;14.18;14.69;14.02;41.081.700;2020-07-21;14,307333333333373;13,71377777777778;12,997142857142842
50;07/20/2020;14.08;-0.10;-0.71%;14.11;14.30;14.03;34.419.700;2020-07-20;14,275333333333375;13,653333333333336;12,961571428571412
51;07/17/2020;14.18;0.17;1.21%;14.16;14.19;13.82;49.831.400;2020-07-17;14,293333333333374;13,610444444444445;12,93414285714284
52;07/16/2020;14.01;-0.29;-2.03%;14.26;14.36;13.86;23.008.200;2020-07-16;14,274666666666707;13,559111111111113;12,905285714285698
53;07/15/2020;14.30;0.40;2.88%;14.08;14.45;14.02;31.872.500;2020-07-15;14,288666666666707;13,507555555555559;12,878857142857127
54;07/14/2020;13.90;-0.12;-0.86%;14.02;14.03;13.66;36.408.700;2020-07-14;14,241333333333374;13,443555555555559;12,853142857142842
55;07/13/2020;14.02;-0.82;-5.53%;14.91;14.95;13.98;36.972.600;2020-07-13;14,243333333333373;13,396888888888892;12,8322857142857
56;07/10/2020;14.84;0.22;1.5%;14.62;14.99;14.55;20.193.200;2020-07-10;14,24800000000004;13,349777777777781;12,804714285714272
57;07/09/2020;14.62;-0.08;-0.54%;14.78;14.86;14.52;31.569.000;2020-07-09;14,175333333333374;13,289333333333335;12,75371428571427
58;07/08/2020;14.70;0.31;2.15%;14.56;14.87;14.34;39.365.200;2020-07-08;14,114000000000038;13,224222222222226;12,7162857142857
59;07/07/2020;14.39;0.09;0.63%;14.28;14.50;14.16;22.581.000;2020-07-07;14,055333333333373;13,155333333333337;12,672999999999984
60;07/06/2020;14.30;0.15;1.06%;14.38;14.41;14.11;24.349.100;2020-07-06;13,985333333333374;13,103555555555557;12,637999999999986
61;07/03/2020;14.15;-0.01;-0.07%;14.10;14.16;14.02;7.029.000;2020-07-03;13,929333333333373;13,04666666666667;12,614142857142843
62;07/02/2020;14.16;-0.16;-1.12%;14.59;14.72;14.00;27.363.800;2020-07-02;13,89400000000004;12,983111111111114;12,589999999999986
63;07/01/2020;14.32;0.16;1.13%;14.26;14.65;14.24;20.736.100;2020-07-01;13,87800000000004;12,919333333333336;12,570285714285701
64;06/30/2020;14.16;-0.19;-1.32%;14.27;14.80;14.11;34.581.800;2020-06-30;13,851333333333372;12,861555555555558;12,535428571428557
65;06/29/2020;14.35;0.45;3.24%;14.09;14.43;13.88;22.168.000;2020-06-29;13,858000000000038;12,80577777777778;12,494571428571414
66;06/26/2020;13.90;-0.32;-2.25%;14.11;14.29;13.83;19.150.700;2020-06-26;13,876666666666704;12,744666666666669;12,453714285714272
67;06/25/2020;14.22;0.63;4.64%;13.80;14.27;13.76;25.008.900;2020-06-25;13,876666666666704;12,686888888888891;12,423857142857127
68;06/24/2020;13.59;-0.34;-2.44%;13.84;13.90;13.43;16.263.500;2020-06-24;13,822000000000038;12,628222222222224;12,384571428571414
69;06/23/2020;13.93;-0.16;-1.14%;14.26;14.32;13.80;16.293.000;2020-06-23;13,792666666666706;12,584222222222223;12,351857142857126
70;06/22/2020;14.09;0.34;2.47%;13.70;14.18;13.68;24.735.500;2020-06-22;13,736666666666705;12,534888888888892;12,318285714285699
71;06/19/2020;13.75;0.05;0.36%;13.90;14.00;13.70;33.153.700;2020-06-19;13,638666666666705;12,482000000000003;12,27471428571427
72;06/18/2020;13.70;-0.12;-0.87%;13.72;13.97;13.52;26.894.400;2020-06-18;13,558666666666706;12,43355555555556;12,260142857142842
73;06/17/2020;13.82;0.48;3.6%;13.44;14.00;13.41;28.294.300;2020-06-17;13,506666666666707;12,388444444444447;12,231428571428555
74;06/16/2020;13.34;-0.12;-0.89%;13.71;13.74;13.12;36.070.000;2020-06-16;13,483333333333373;12,348444444444446;12,226571428571413
75;06/15/2020;13.46;-0.16;-1.17%;13.19;13.47;13.07;22.964.800;2020-06-15;13,430666666666706;12,322000000000001;12,240571428571412
76;06/12/2020;13.62;-0.30;-2.16%;13.52;13.72;13.21;29.856.400;2020-06-12;13,348666666666706;12,29311111111111;12,255571428571413
77;06/11/2020;13.92;0.00;+0.00%;14.50;14.52;13.81;0;2020-06-11;13,234666666666705;12,260666666666664;12,279857142857127
78;06/10/2020;13.92;-0.34;-2.38%;14.50;14.52;13.81;27.039.100;2020-06-10;13,10000000000004;12,221555555555554;12,298571428571414
79;06/09/2020;14.26;-0.37;-2.53%;14.58;14.58;14.11;23.940.800;2020-06-09;12,982666666666708;12,19;12,318428571428557
80;06/08/2020;14.63;0.73;5.25%;14.34;14.83;14.23;47.678.900;2020-06-08;12,826666666666707;12,149555555555557;12,3252857142857
81;06/05/2020;13.90;0.50;3.73%;13.81;14.33;13.62;50.766.300;2020-06-05;12,661333333333374;12,093111111111112;12,326571428571414
82;06/04/2020;13.40;0.25;1.9%;13.30;13.48;13.18;20.130.800;2020-06-04;12,52600000000004;12,034666666666668;12,335714285714271
83;06/03/2020;13.15;0.06;0.46%;13.25;13.63;13.01;29.826.800;2020-06-03;12,41200000000004;12,003555555555558;12,351999999999984
84;06/02/2020;13.09;0.47;3.72%;12.76;13.30;12.64;25.304.000;2020-06-02;12,296666666666706;11,970666666666668;12,3712857142857
85;06/01/2020;12.62;0.07;0.56%;12.32;12.80;12.26;20.420.100;2020-06-01;12,210666666666706;11,945111111111114;12,4102857142857
86;05/29/2020;12.55;-0.37;-2.86%;12.81;12.83;12.21;46.234.500;2020-05-29;12,162666666666706;11,945333333333336;12,462142857142842
87;05/28/2020;12.92;-0.55;-4.08%;13.43;13.52;12.73;41.520.600;2020-05-28;12,13400000000004;11,943333333333337;12,514999999999986
88;05/27/2020;13.47;0.92;7.33%;12.68;13.47;12.64;36.754.400;2020-05-27;12,05200000000004;11,940222222222227;12,562571428571415
89;05/26/2020;12.55;0.32;2.62%;12.35;12.70;12.30;30.153.500;2020-05-26;11,927333333333372;11,904888888888893;12,601142857142843
90;05/25/2020;12.23;0.32;2.69%;12.01;12.39;12.01;12.781.100;2020-05-25;11,894666666666705;11,877111111111114;12,652285714285702
91;05/22/2020;11.91;0.01;0.08%;11.90;11.99;11.67;11.924.400;2020-05-22;11,862000000000041;11,86066666666667;12,70871428571427
92;05/21/2020;11.90;-0.26;-2.14%;12.14;12.35;11.74;38.005.800;2020-05-21;11,820666666666707;11,858444444444446;12,775714285714272
93;05/20/2020;12.16;0.24;2.01%;11.97;12.25;11.86;14.121.900;2020-05-20;11,780000000000038;11,848888888888892;12,840142857142844
94;05/19/2020;11.92;-0.23;-1.89%;12.19;12.35;11.91;17.951.200;2020-05-19;11,750666666666707;11,829777777777782;12,89885714285713
95;05/18/2020;12.15;0.28;2.36%;11.99;12.41;11.86;30.350.600;2020-05-18;11,732666666666708;11,822222222222226;12,966428571428558
96;05/15/2020;11.87;0.18;1.54%;11.69;11.88;11.52;30.012.000;2020-05-15;11,696000000000039;11,79755555555556;13,032857142857129
97;05/14/2020;11.69;0.27;2.36%;11.30;11.86;11.28;36.918.000;2020-05-14;11,65800000000004;11,816666666666672;13,102285714285701
98;05/13/2020;11.42;-0.38;-3.22%;11.84;11.89;11.19;46.230.300;2020-05-13;11,650666666666707;11,816666666666672;13,176999999999985
99;05/12/2020;11.80;-0.10;-0.84%;11.90;12.30;11.69;33.395.400;2020-05-12;11,663333333333377;11,862444444444451;13,254857142857128
100;05/11/2020;11.90;-0.22;-1.82%;12.04;12.35;11.83;20.136.100;2020-05-11;11,657333333333376;11,918444444444454;13,332714285714273
101;05/08/2020;12.12;0.43;3.68%;11.82;12.16;11.77;23.218.000;2020-05-08;11,64466666666671;11,976444444444454;13,41485714285713
102;05/07/2020;11.69;0.09;0.78%;11.65;12.30;11.34;56.937.900;2020-05-07;11,608000000000041;12,047555555555565;13,492999999999986
103;05/06/2020;11.60;-0.46;-3.81%;11.97;12.06;11.60;67.031.600;2020-05-06;11,606666666666708;12,126222222222232;13,580999999999987
104;05/05/2020;12.06;0.32;2.73%;11.90;12.15;11.84;25.595.500;2020-05-05;11,634666666666709;12,208666666666675;13,6772857142857
105;05/04/2020;11.74;0.45;3.99%;11.14;11.84;11.10;30.157.800;2020-05-04;11,640666666666709;12,268222222222231;13,766428571428557
106;05/01/2020;11.29;0.00;+0.00%;11.53;11.68;11.25;0;2020-05-01;11,668666666666708;12,334444444444454;13,8672857142857
107;04/30/2020;11.29;-0.43;-3.67%;11.53;11.68;11.25;35.747.500;2020-04-30;11,72666666666671;12,406666666666675;13,970999999999986
108;04/29/2020;11.72;0.07;0.6%;11.82;11.91;11.65;27.558.700;2020-04-29;11,784666666666709;12,478888888888898;14,080999999999987
109;04/28/2020;11.65;0.05;0.43%;11.94;12.18;11.58;27.108.700;2020-04-28;11,836666666666709;12,540666666666676;14,179999999999986
110;04/27/2020;11.60;0.30;2.65%;11.35;11.84;11.26;26.166.300;2020-04-27;11,889333333333376;12,633333333333344;14,28571428571427
111;04/24/2020;11.30;-0.28;-2.42%;11.45;11.55;10.68;50.923.200;2020-04-24;11,922000000000043;12,736666666666677;14,38771428571427
112;04/23/2020;11.58;-0.03;-0.26%;11.73;11.84;11.44;23.608.700;2020-04-23;11,920000000000043;12,846666666666676;14,494857142857128
113;04/22/2020;11.61;-0.10;-0.85%;11.65;11.79;11.51;22.788.300;2020-04-22;11,948000000000041;12,950444444444454;14,596571428571416
114;04/21/2020;11.71;0.00;+0.00%;11.40;11.85;11.29;0;2020-04-21;11,952000000000039;13,051777777777787;14,697857142857131
115;04/20/2020;11.71;0.14;1.21%;11.40;11.85;11.29;22.065.800;2020-04-20;11,967333333333373;13,150000000000007;14,798571428571417
116;04/17/2020;11.57;-0.10;-0.86%;11.70;11.80;11.49;16.763.000;2020-04-17;12,028666666666705;13,24933333333334;14,904142857142844
117;04/16/2020;11.67;-0.35;-2.91%;11.96;12.02;11.40;26.018.500;2020-04-16;12,08800000000004;13,361111111111116;15,013285714285702
118;04/15/2020;12.02;-0.13;-1.07%;11.92;12.06;11.72;35.812.700;2020-04-15;12,16200000000004;13,46644444444445;15,11642857142856
119;04/14/2020;12.15;-0.01;-0.08%;12.29;12.59;12.05;21.281.900;2020-04-14;12,152666666666706;13,560888888888893;15,213571428571417
120;04/13/2020;12.16;0.00;0.0%;12.11;12.24;11.90;17.076.200;2020-04-13;12,09600000000004;13,660888888888895;15,310999999999988
121;04/10/2020;12.16;0.00;+0.00%;12.51;12.72;12.10;0;2020-04-10;12,051333333333373;13,764000000000005;15,409571428571413
122;04/09/2020;12.16;-0.34;-2.72%;12.51;12.72;12.10;23.748.200;2020-04-09;12,028000000000041;13,865555555555561;15,507571428571412
123;04/08/2020;12.50;0.06;0.48%;12.50;12.68;12.02;22.934.300;2020-04-08;11,98200000000004;13,97133333333334;15,604285714285698
124;04/07/2020;12.44;0.35;2.89%;12.65;12.97;12.30;37.535.900;2020-04-07;11,902000000000042;14,06844444444445;15,699999999999983
125;04/06/2020;12.09;0.82;7.28%;12.00;12.57;11.68;19.126.100;2020-04-06;11,84466666666671;14,175333333333338;15,788999999999984
126;04/03/2020;11.27;-0.73;-6.08%;11.94;11.94;11.16;22.886.300;2020-04-03;11,77466666666671;14,298888888888893;15,882999999999987
127;04/02/2020;12.00;0.33;2.83%;11.68;12.24;11.47;18.013.700;2020-04-02;11,87200000000004;14,439333333333337;15,988714285714273
128;04/01/2020;11.67;-0.27;-2.26%;11.60;11.92;11.44;25.192.600;2020-04-01;11,851333333333374;14,569333333333338;16,09099999999999
129;03/31/2020;11.94;-0.69;-5.46%;12.40;12.40;11.80;27.574.800;2020-03-31;11,97200000000004;14,717555555555561;16,198857142857133
130;03/30/2020;12.63;0.17;1.36%;12.60;13.02;12.37;29.822.100;2020-03-30;12,130666666666707;14,858888888888893;16,299142857142844
131;03/27/2020;12.46;-0.32;-2.5%;12.51;13.22;11.98;38.232.500;2020-03-27;12,25600000000004;14,996000000000004;16,389571428571415
132;03/26/2020;12.78;0.90;7.58%;11.90;13.28;11.89;45.899.600;2020-03-26;12,446666666666706;15,131333333333336;16,482428571428557
133;03/25/2020;11.88;0.58;5.13%;11.30;12.07;11.06;33.700.300;2020-03-25;12,610000000000039;15,269333333333336;16,56999999999999
134;03/24/2020;11.30;-0.19;-1.65%;12.12;12.59;11.29;33.699.600;2020-03-24;12,838666666666706;15,41977777777778;16,674142857142844
135;03/23/2020;11.49;-0.32;-2.71%;12.28;12.28;11.18;50.158.000;2020-03-23;13,068000000000039;15,592000000000002;16,785428571428557
136;03/20/2020;11.81;0.34;2.96%;11.90;12.49;11.76;49.887.100;2020-03-20;13,28333333333337;15,753111111111114;16,89142857142856
137;03/19/2020;11.47;0.17;1.5%;10.82;12.16;10.36;53.157.300;2020-03-19;13,465333333333371;15,908444444444447;16,995285714285703
