Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;26.88;0.03;0.11%;26.52;27.33;26.32;9.779.000;2020-09-25
09/24/2020;26.85;0.10;0.37%;26.76;27.39;25.92;13.132.200;2020-09-24
09/23/2020;26.75;0.47;1.79%;26.50;27.27;26.13;14.412.300;2020-09-23
09/22/2020;26.28;0.25;0.96%;26.18;26.92;25.81;13.938.900;2020-09-22
09/21/2020;26.03;-1.92;-6.87%;27.29;27.59;25.89;22.940.200;2020-09-21
09/18/2020;27.95;-0.97;-3.35%;28.90;29.34;27.90;15.884.500;2020-09-18
09/17/2020;28.92;-0.16;-0.55%;28.77;29.50;28.39;12.942.000;2020-09-17
09/16/2020;29.08;1.05;3.75%;28.10;29.42;27.83;19.735.300;2020-09-16
09/15/2020;28.03;-0.21;-0.74%;28.21;28.66;27.65;15.758.800;2020-09-15
09/14/2020;28.24;1.69;6.37%;27.05;28.37;26.60;20.548.100;2020-09-14
09/11/2020;26.55;0.42;1.61%;26.90;27.07;25.11;18.792.100;2020-09-11
09/10/2020;26.13;-0.08;-0.31%;26.30;27.45;26.10;17.115.900;2020-09-10
09/09/2020;26.21;-0.02;-0.08%;26.60;27.22;25.69;19.611.500;2020-09-09
09/08/2020;26.23;1.50;6.07%;24.35;26.50;24.10;23.371.200;2020-09-08
09/07/2020;24.73;0.00;+0.00%;24.21;24.80;23.79;0;2020-09-07
09/04/2020;24.73;0.76;3.17%;24.21;24.80;23.79;16.928.000;2020-09-04
09/03/2020;23.97;0.73;3.14%;23.15;24.20;23.02;22.388.500;2020-09-03
09/02/2020;23.24;0.35;1.53%;23.05;23.56;22.66;10.006.000;2020-09-02
09/01/2020;22.89;0.71;3.2%;22.36;23.14;22.11;12.297.600;2020-09-01
08/31/2020;22.18;-0.70;-3.06%;22.70;23.51;22.14;11.454.000;2020-08-31
08/28/2020;22.88;0.57;2.55%;22.40;22.98;22.05;10.505.400;2020-08-28
08/27/2020;22.31;0.82;3.82%;21.75;22.66;21.64;15.332.700;2020-08-27
08/26/2020;21.49;-0.48;-2.18%;21.90;22.15;21.24;8.324.900;2020-08-26
08/25/2020;21.97;-0.58;-2.57%;23.00;23.01;21.87;11.596.500;2020-08-25
08/24/2020;22.55;0.86;3.96%;21.92;22.60;21.59;12.921.400;2020-08-24
08/21/2020;21.69;0.00;+0.00%;21.57;22.40;21.38;0;2020-08-21
08/21/2020;21.69;0.12;0.56%;21.57;22.40;21.38;10.520.300;2020-08-21
08/20/2020;21.57;0.10;0.47%;21.00;21.74;20.73;7.926.000;2020-08-20
08/19/2020;21.47;-0.33;-1.51%;21.89;22.12;21.33;7.335.600;2020-08-19
08/18/2020;21.80;0.55;2.59%;21.70;22.07;21.35;7.271.500;2020-08-18
08/17/2020;21.25;-1.24;-5.51%;22.40;22.45;21.00;11.973.300;2020-08-17
08/14/2020;22.49;0.48;2.18%;21.90;22.78;21.36;12.943.600;2020-08-14
08/13/2020;22.01;-0.87;-3.8%;22.26;23.10;22.00;13.622.100;2020-08-13
08/12/2020;22.88;-0.44;-1.89%;24.41;24.70;22.53;33.450.300;2020-08-12
08/11/2020;23.32;1.54;7.07%;22.15;24.05;22.01;41.576.000;2020-08-11
08/10/2020;21.78;0.87;4.16%;21.08;21.90;20.87;14.738.600;2020-08-10
08/07/2020;20.91;-0.57;-2.65%;21.22;21.83;20.70;11.753.600;2020-08-07
08/06/2020;21.48;1.47;7.35%;20.36;21.59;20.01;13.244.800;2020-08-06
08/05/2020;20.01;0.30;1.52%;20.16;20.29;19.85;6.102.000;2020-08-05
08/04/2020;19.71;-0.29;-1.45%;19.88;20.43;19.69;7.135.600;2020-08-04
