Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;30.25;-0.17;-0.56%;30.24;30.48;29.97;9.350.100;2020-09-25
09/24/2020;30.42;0.23;0.76%;30.18;30.90;29.91;15.943.300;2020-09-24
09/23/2020;30.19;-0.62;-2.01%;30.85;30.94;30.07;12.768.300;2020-09-23
09/22/2020;30.81;-0.08;-0.26%;30.85;31.68;30.68;10.734.300;2020-09-22
09/21/2020;30.89;-0.31;-0.99%;30.71;31.13;30.41;13.418.000;2020-09-21
09/18/2020;31.20;-0.95;-2.95%;31.95;32.02;31.15;15.967.500;2020-09-18
09/17/2020;32.15;0.05;0.16%;31.81;32.29;31.70;10.209.500;2020-09-17
09/16/2020;32.10;0.11;0.34%;32.09;32.62;32.01;13.814.800;2020-09-16
09/15/2020;31.99;-0.39;-1.2%;32.60;32.60;31.87;11.585.100;2020-09-15
09/14/2020;32.38;0.35;1.09%;32.22;32.59;31.70;11.011.900;2020-09-14
09/11/2020;32.03;-0.37;-1.14%;32.58;32.69;31.72;14.710.600;2020-09-11
09/10/2020;32.40;-0.79;-2.38%;33.14;33.49;32.39;13.387.400;2020-09-10
09/09/2020;33.19;-0.08;-0.24%;33.58;33.72;32.96;12.591.200;2020-09-09
09/08/2020;33.27;-0.60;-1.77%;33.54;33.69;33.07;13.460.400;2020-09-08
09/07/2020;33.87;0.00;+0.00%;34.10;34.37;33.33;0;2020-09-07
09/04/2020;33.87;-0.01;-0.03%;34.10;34.37;33.33;20.865.000;2020-09-04
09/03/2020;33.88;0.62;1.86%;33.19;34.79;33.11;29.833.900;2020-09-03
09/02/2020;33.26;0.08;0.24%;33.25;33.37;32.74;9.844.600;2020-09-02
09/01/2020;33.18;0.32;0.97%;33.15;33.59;32.92;12.354.600;2020-09-01
08/31/2020;32.86;-0.60;-1.79%;33.39;33.39;32.65;13.968.600;2020-08-31
08/28/2020;33.46;0.72;2.2%;33.02;33.51;32.98;11.382.300;2020-08-28
08/27/2020;32.74;0.49;1.52%;32.51;33.44;32.36;15.937.400;2020-08-27
08/26/2020;32.25;-1.00;-3.01%;33.14;33.44;32.06;16.625.400;2020-08-26
08/25/2020;33.25;-0.20;-0.6%;33.78;33.95;33.05;11.815.400;2020-08-25
08/24/2020;33.45;0.50;1.52%;32.89;34.00;32.80;19.409.300;2020-08-24
08/21/2020;32.95;0.00;+0.00%;32.50;33.08;32.33;0;2020-08-21
08/21/2020;32.95;0.30;0.92%;32.50;33.08;32.33;11.677.400;2020-08-21
08/20/2020;32.65;0.03;0.09%;32.10;32.73;31.90;22.908.300;2020-08-20
08/19/2020;32.62;-0.15;-0.46%;32.85;32.97;32.52;10.398.700;2020-08-19
08/18/2020;32.77;0.44;1.36%;32.90;32.97;32.40;14.524.500;2020-08-18
08/17/2020;32.33;-0.85;-2.56%;33.17;33.35;31.89;21.951.800;2020-08-17
08/14/2020;33.18;0.11;0.33%;33.10;33.50;32.79;10.808.700;2020-08-14
08/13/2020;33.07;-0.68;-2.01%;33.89;34.40;33.05;15.011.800;2020-08-13
08/12/2020;33.75;-0.18;-0.53%;34.00;34.42;33.20;18.029.600;2020-08-12
08/11/2020;33.93;-0.45;-1.31%;34.60;34.89;33.90;14.045.800;2020-08-11
08/10/2020;34.38;0.27;0.79%;34.12;34.60;33.75;9.726.000;2020-08-10
08/07/2020;34.11;-0.28;-0.81%;34.00;34.94;33.60;18.561.800;2020-08-07
08/06/2020;34.39;0.99;2.96%;33.76;34.43;33.14;18.267.300;2020-08-06
08/05/2020;33.40;0.10;0.3%;33.81;33.97;32.90;14.184.600;2020-08-05
08/04/2020;33.30;-1.07;-3.11%;33.88;34.60;33.01;20.774.400;2020-08-04
08/03/2020;34.37;0.73;2.17%;34.24;35.04;33.78;24.030.700;2020-08-03
07/31/2020;33.64;-1.27;-3.64%;34.90;34.97;33.57;20.701.300;2020-07-31
07/30/2020;34.91;-0.98;-2.73%;35.12;35.54;34.52;23.154.800;2020-07-30
07/29/2020;35.89;0.92;2.63%;35.38;35.95;35.15;13.101.300;2020-07-29
07/28/2020;34.97;0.00;0.0%;34.70;35.78;34.55;17.055.500;2020-07-28
07/27/2020;34.97;1.04;3.07%;33.70;35.07;33.54;23.781.800;2020-07-27
07/24/2020;33.93;-0.33;-0.96%;34.00;34.62;33.65;17.200.000;2020-07-24
07/23/2020;34.26;-1.03;-2.92%;35.26;35.26;34.21;14.245.100;2020-07-23
07/22/2020;35.29;-0.20;-0.56%;35.65;35.69;34.71;13.628.100;2020-07-22
