Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;12.25;-0.01;-0.08%;12.23;12.26;12.09;1.379.500;2020-09-25
09/24/2020;12.26;0.31;2.59%;11.99;12.40;11.90;2.707.000;2020-09-24
09/23/2020;11.95;-0.34;-2.77%;12.31;12.31;11.93;2.635.600;2020-09-23
09/22/2020;12.29;0.08;0.66%;12.24;12.46;12.11;1.660.600;2020-09-22
09/21/2020;12.21;-0.23;-1.85%;12.20;12.32;11.98;2.178.800;2020-09-21
09/18/2020;12.44;-0.15;-1.19%;12.59;12.61;12.26;2.800.800;2020-09-18
09/17/2020;12.59;0.02;0.16%;12.53;12.65;12.44;1.770.900;2020-09-17
09/16/2020;12.57;-0.17;-1.33%;12.77;12.84;12.55;3.056.200;2020-09-16
09/15/2020;12.74;-0.05;-0.39%;12.93;13.07;12.65;3.335.900;2020-09-15
09/14/2020;12.79;-0.14;-1.08%;13.01;13.09;12.76;4.111.000;2020-09-14
09/11/2020;12.93;-0.27;-2.05%;13.35;13.35;12.82;3.193.800;2020-09-11
09/10/2020;13.20;-0.34;-2.51%;13.53;13.77;13.20;1.280.700;2020-09-10
09/09/2020;13.54;0.02;0.15%;13.55;13.82;13.54;1.799.900;2020-09-09
09/08/2020;13.52;-0.13;-0.95%;13.60;13.71;13.41;2.466.300;2020-09-08
09/07/2020;13.65;0.00;+0.00%;13.60;13.83;13.40;0;2020-09-07
09/04/2020;13.65;0.13;0.96%;13.60;13.83;13.40;3.612.100;2020-09-04
09/03/2020;13.52;0.15;1.12%;13.39;13.88;13.31;2.191.500;2020-09-03
09/02/2020;13.37;0.07;0.53%;13.39;13.42;13.19;1.465.800;2020-09-02
09/01/2020;13.30;0.16;1.22%;13.28;13.30;13.13;2.228.500;2020-09-01
08/31/2020;13.14;-0.37;-2.74%;13.48;13.58;13.01;3.023.900;2020-08-31
08/28/2020;13.51;0.16;1.2%;13.35;13.60;13.35;1.977.600;2020-08-28
08/27/2020;13.35;0.00;0.0%;13.36;13.61;13.22;2.591.800;2020-08-27
08/26/2020;13.35;-0.25;-1.84%;13.60;13.72;13.17;1.506.600;2020-08-26
08/25/2020;13.60;-0.14;-1.02%;13.77;13.86;13.55;1.364.800;2020-08-25
08/24/2020;13.74;0.21;1.55%;13.58;13.98;13.56;1.715.600;2020-08-24
08/21/2020;13.53;0.00;+0.00%;13.40;13.53;13.24;0;2020-08-21
08/21/2020;13.53;0.16;1.2%;13.40;13.53;13.24;975.600;2020-08-21
08/20/2020;13.37;0.00;0.0%;13.20;13.37;13.00;1.179.300;2020-08-20
08/19/2020;13.37;-0.23;-1.69%;13.66;13.77;13.35;1.352.600;2020-08-19
08/18/2020;13.60;0.34;2.56%;13.46;13.62;13.36;1.050.200;2020-08-18
08/17/2020;13.26;-0.37;-2.71%;13.63;13.71;13.16;1.944.200;2020-08-17
08/14/2020;13.63;-0.17;-1.23%;13.83;13.92;13.63;1.593.300;2020-08-14
08/13/2020;13.80;-0.49;-3.43%;14.28;14.40;13.80;3.409.700;2020-08-13
08/12/2020;14.29;-0.11;-0.76%;14.40;14.40;14.03;4.431.900;2020-08-12
08/11/2020;14.40;0.22;1.55%;14.24;14.50;14.24;1.766.900;2020-08-11
08/10/2020;14.18;0.00;0.0%;14.19;14.29;14.07;1.550.600;2020-08-10
08/07/2020;14.18;0.07;0.5%;13.98;14.29;13.84;1.845.800;2020-08-07
08/06/2020;14.11;0.31;2.25%;13.80;14.23;13.68;1.744.100;2020-08-06
08/05/2020;13.80;-0.02;-0.14%;14.03;14.13;13.58;2.222.300;2020-08-05
08/04/2020;13.82;-0.38;-2.68%;14.19;14.31;13.77;1.947.700;2020-08-04
08/03/2020;14.20;-0.14;-0.98%;14.41;14.45;14.13;1.825.400;2020-08-03
07/31/2020;14.34;-0.59;-3.95%;14.85;14.90;14.25;2.205.000;2020-07-31
07/30/2020;14.93;0.41;2.82%;14.40;15.00;14.23;2.872.300;2020-07-30
07/29/2020;14.52;0.05;0.35%;14.47;14.64;14.40;2.155.600;2020-07-29
