Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;25.03;-0.20;-0.79%;25.10;25.27;24.88;3.466.000;2020-09-25
09/24/2020;25.23;0.52;2.1%;24.85;25.59;24.70;4.716.700;2020-09-24
09/23/2020;24.71;-0.56;-2.22%;25.28;25.71;24.70;5.733.700;2020-09-23
09/22/2020;25.27;0.13;0.52%;25.21;25.54;25.11;3.572.300;2020-09-22
09/21/2020;25.14;-0.46;-1.8%;25.38;25.41;24.96;4.115.400;2020-09-21
09/18/2020;25.60;-0.47;-1.8%;25.95;26.04;25.40;6.042.400;2020-09-18
09/17/2020;26.07;-0.20;-0.76%;26.05;26.39;25.95;3.639.300;2020-09-17
09/16/2020;26.27;0.17;0.65%;26.19;26.48;26.19;2.175.700;2020-09-16
09/15/2020;26.10;0.24;0.93%;25.96;26.40;25.80;4.826.100;2020-09-15
09/14/2020;25.86;0.36;1.41%;25.70;26.09;25.55;3.569.300;2020-09-14
09/11/2020;25.50;-0.64;-2.45%;26.40;26.44;25.46;6.854.000;2020-09-11
09/10/2020;26.14;-0.53;-1.99%;26.60;26.70;26.10;2.749.100;2020-09-10
09/09/2020;26.67;0.07;0.26%;26.69;26.84;26.47;2.225.700;2020-09-09
09/08/2020;26.60;-0.35;-1.3%;26.70;26.94;26.41;3.396.700;2020-09-08
09/07/2020;26.95;0.00;+0.00%;27.00;27.08;26.50;0;2020-09-07
09/04/2020;26.95;-0.02;-0.07%;27.00;27.08;26.50;3.416.400;2020-09-04
09/03/2020;26.97;-0.46;-1.68%;27.11;27.89;26.75;4.838.300;2020-09-03
09/02/2020;27.43;0.52;1.93%;27.30;27.43;26.98;3.027.400;2020-09-02
09/01/2020;26.91;0.16;0.6%;26.76;27.26;26.73;6.693.100;2020-09-01
08/31/2020;26.75;-0.83;-3.01%;27.42;27.49;26.38;5.866.300;2020-08-31
08/28/2020;27.58;1.01;3.8%;26.50;27.86;26.50;5.222.500;2020-08-28
08/27/2020;26.57;0.23;0.87%;26.33;26.57;26.06;7.626.400;2020-08-27
08/26/2020;26.34;-0.36;-1.35%;26.75;26.75;25.96;4.547.700;2020-08-26
08/25/2020;26.70;0.09;0.34%;26.73;26.81;26.48;2.089.400;2020-08-25
08/24/2020;26.61;-0.02;-0.08%;26.70;26.90;26.46;2.450.700;2020-08-24
08/21/2020;26.63;0.00;+0.00%;26.49;26.63;26.29;0;2020-08-21
08/21/2020;26.63;0.15;0.57%;26.49;26.63;26.29;1.938.000;2020-08-21
08/20/2020;26.48;-0.04;-0.15%;26.19;26.64;26.10;3.658.400;2020-08-20
08/19/2020;26.52;-0.50;-1.85%;27.22;27.23;26.52;3.635.300;2020-08-19
08/18/2020;27.02;0.77;2.93%;26.80;27.11;26.21;4.784.100;2020-08-18
08/17/2020;26.25;-0.79;-2.92%;27.01;27.27;26.06;4.932.300;2020-08-17
08/14/2020;27.04;-0.06;-0.22%;27.00;27.32;26.86;3.598.900;2020-08-14
08/13/2020;27.10;-1.85;-6.39%;28.00;28.28;27.10;4.966.900;2020-08-13
08/12/2020;28.95;0.04;0.14%;29.20;29.77;28.82;10.232.100;2020-08-12
08/11/2020;28.91;0.02;0.07%;29.05;29.25;28.91;3.774.900;2020-08-11
08/10/2020;28.89;0.21;0.73%;28.80;28.96;28.45;4.363.100;2020-08-10
08/07/2020;28.68;-0.07;-0.24%;28.75;29.14;28.48;4.273.900;2020-08-07
08/06/2020;28.75;0.38;1.34%;28.33;28.99;28.12;3.465.000;2020-08-06
08/05/2020;28.37;0.10;0.35%;28.57;29.05;28.03;3.547.300;2020-08-05
08/04/2020;28.27;-0.03;-0.11%;28.35;29.37;27.95;6.990.100;2020-08-04
08/03/2020;28.30;0.42;1.51%;28.20;28.69;27.62;5.776.500;2020-08-03
