Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;18.39;-0.03;-0.16%;18.38;18.41;18.15;3.785.800;2020-09-25
09/24/2020;18.42;0.28;1.54%;18.15;18.69;18.09;4.713.100;2020-09-24
09/23/2020;18.14;-0.44;-2.37%;18.52;18.59;18.09;4.784.600;2020-09-23
09/22/2020;18.58;0.14;0.76%;18.35;18.76;18.33;4.382.400;2020-09-22
09/21/2020;18.44;-0.17;-0.91%;18.38;18.51;18.08;6.704.800;2020-09-21
09/18/2020;18.61;-0.48;-2.51%;18.91;18.94;18.55;10.505.100;2020-09-18
09/17/2020;19.09;0.08;0.42%;18.80;19.11;18.76;3.175.300;2020-09-17
09/16/2020;19.01;0.09;0.48%;18.98;19.32;18.84;7.757.900;2020-09-16
09/15/2020;18.92;-0.23;-1.2%;19.23;19.23;18.76;4.542.500;2020-09-15
09/14/2020;19.15;0.30;1.59%;19.02;19.19;18.69;4.168.600;2020-09-14
09/11/2020;18.85;-0.45;-2.33%;19.33;19.33;18.79;6.120.700;2020-09-11
09/10/2020;19.30;-0.65;-3.26%;19.95;20.05;19.22;21.322.100;2020-09-10
09/09/2020;19.95;0.05;0.25%;20.10;20.26;19.84;3.510.200;2020-09-09
09/08/2020;19.90;-0.39;-1.92%;20.06;20.13;19.75;21.204.900;2020-09-08
09/07/2020;20.29;0.00;+0.00%;20.57;20.67;20.10;0;2020-09-07
09/04/2020;20.29;-0.03;-0.15%;20.57;20.67;20.10;8.644.800;2020-09-04
09/03/2020;20.32;0.64;3.25%;19.59;20.70;19.52;20.516.300;2020-09-03
09/02/2020;19.68;0.03;0.15%;19.63;19.72;19.30;3.692.000;2020-09-02
09/01/2020;19.65;0.42;2.18%;19.41;19.70;19.37;5.110.000;2020-09-01
08/31/2020;19.23;-0.68;-3.42%;19.77;19.83;19.03;9.108.800;2020-08-31
08/28/2020;19.91;0.21;1.07%;19.70;19.99;19.61;4.217.900;2020-08-28
