Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;19.76;-0.05;-0.25%;19.69;19.78;19.47;17.282.200;2020-09-25
09/24/2020;19.81;0.37;1.9%;19.44;19.97;19.39;34.170.000;2020-09-24
09/23/2020;19.44;-0.44;-2.21%;19.75;19.89;19.40;26.663.100;2020-09-23
09/22/2020;19.88;0.10;0.51%;19.82;20.14;19.68;25.154.400;2020-09-22
09/21/2020;19.78;-0.24;-1.2%;19.70;19.88;19.50;47.795.400;2020-09-21
09/18/2020;20.02;-0.56;-2.72%;20.47;20.51;20.00;62.911.700;2020-09-18
09/17/2020;20.58;0.09;0.44%;20.27;20.67;20.24;25.503.400;2020-09-17
09/16/2020;20.49;0.00;0.0%;20.48;20.86;20.40;35.535.700;2020-09-16
09/15/2020;20.49;-0.21;-1.01%;20.75;20.77;20.29;37.427.100;2020-09-15
09/14/2020;20.70;0.29;1.42%;20.66;20.78;20.22;56.766.600;2020-09-14
09/11/2020;20.41;-0.39;-1.88%;20.90;20.95;20.33;39.073.100;2020-09-11
09/10/2020;20.80;-0.73;-3.39%;21.52;21.66;20.78;46.551.900;2020-09-10
09/09/2020;21.53;-0.12;-0.55%;21.80;21.99;21.43;29.537.200;2020-09-09
09/08/2020;21.65;-0.33;-1.5%;21.67;21.83;21.50;27.961.300;2020-09-08
09/07/2020;21.98;0.00;+0.00%;22.29;22.44;21.78;0;2020-09-07
09/04/2020;21.98;-0.01;-0.05%;22.29;22.44;21.78;47.532.900;2020-09-04
09/03/2020;21.99;0.82;3.87%;21.06;22.29;21.05;106.770.900;2020-09-03
09/02/2020;21.17;-0.01;-0.05%;21.29;21.32;20.91;27.886.000;2020-09-02
09/01/2020;21.18;0.28;1.34%;21.05;21.32;20.97;41.339.100;2020-09-01
08/31/2020;20.90;-0.60;-2.79%;21.30;21.39;20.71;47.410.500;2020-08-31
08/28/2020;21.50;0.39;1.85%;21.24;21.58;21.11;36.357.200;2020-08-28
08/27/2020;21.11;0.48;2.33%;20.76;21.35;20.70;35.413.500;2020-08-27
08/26/2020;20.63;-0.56;-2.64%;21.15;21.28;20.50;38.019.000;2020-08-26
08/25/2020;21.19;-0.09;-0.42%;21.35;21.41;20.94;24.932.600;2020-08-25
08/24/2020;21.28;0.58;2.8%;20.92;21.42;20.91;32.160.600;2020-08-24
08/21/2020;20.70;0.00;+0.00%;20.67;20.81;20.46;0;2020-08-21
08/21/2020;20.70;0.00;0.0%;20.67;20.81;20.46;24.480.500;2020-08-21
08/20/2020;20.70;-0.05;-0.24%;20.38;20.82;20.28;34.128.600;2020-08-20
08/19/2020;20.75;-0.08;-0.38%;20.92;21.05;20.63;53.339.100;2020-08-19
08/18/2020;20.83;0.22;1.07%;21.09;21.15;20.71;42.046.200;2020-08-18
08/17/2020;20.61;-0.62;-2.92%;21.15;21.23;20.40;50.508.600;2020-08-17
08/14/2020;21.23;0.03;0.14%;21.28;21.47;21.06;33.439.700;2020-08-14
08/13/2020;21.20;-0.45;-2.08%;21.75;21.97;21.12;32.655.900;2020-08-13
08/12/2020;21.65;-0.20;-0.92%;22.01;22.20;21.43;44.203.400;2020-08-12
08/11/2020;21.85;-0.20;-0.91%;22.29;22.45;21.85;32.179.400;2020-08-11
08/10/2020;22.05;0.22;1.01%;21.95;22.23;21.68;29.133.800;2020-08-10
08/07/2020;21.83;-0.19;-0.86%;21.71;22.55;21.52;58.531.000;2020-08-07
08/06/2020;22.02;0.28;1.29%;21.90;22.26;21.56;41.748.200;2020-08-06
08/05/2020;21.74;0.20;0.93%;22.03;22.13;21.43;37.536.600;2020-08-05
08/04/2020;21.54;-0.73;-3.28%;21.93;22.42;21.33;51.623.000;2020-08-04
08/03/2020;22.27;-0.19;-0.85%;22.67;22.75;21.98;55.871.400;2020-08-03
07/31/2020;22.46;-1.22;-5.15%;23.60;23.67;22.28;76.658.300;2020-07-31
07/30/2020;23.68;-0.52;-2.15%;23.97;24.23;23.19;65.663.700;2020-07-30
07/29/2020;24.20;0.59;2.5%;23.90;24.30;23.90;46.364.000;2020-07-29
07/28/2020;23.61;-0.07;-0.3%;23.41;24.14;23.35;42.900.000;2020-07-28
07/27/2020;23.68;1.07;4.73%;22.89;23.73;22.83;54.917.600;2020-07-27
07/24/2020;22.61;0.11;0.49%;22.30;22.86;22.08;28.914.300;2020-07-24
07/23/2020;22.50;-0.41;-1.79%;22.89;22.89;22.43;31.033.600;2020-07-23
07/22/2020;22.91;-0.27;-1.16%;23.30;23.35;22.55;41.721.500;2020-07-22
07/21/2020;23.18;0.58;2.57%;23.00;23.48;22.81;63.882.800;2020-07-21
07/20/2020;22.60;0.15;0.67%;22.46;22.80;22.27;40.134.500;2020-07-20
07/17/2020;22.45;0.09;0.4%;22.48;22.73;22.35;45.094.600;2020-07-17
07/16/2020;22.36;-0.34;-1.5%;22.50;22.58;22.22;30.452.100;2020-07-16
07/15/2020;22.70;0.43;1.93%;22.60;23.14;22.50;47.389.200;2020-07-15
07/14/2020;22.27;0.22;1.0%;21.98;22.35;21.71;38.642.800;2020-07-14
07/13/2020;22.05;-0.13;-0.59%;22.49;22.59;21.95;37.676.700;2020-07-13
07/10/2020;22.18;0.24;1.09%;21.94;22.28;21.65;68.710.100;2020-07-10
07/09/2020;21.94;-0.50;-2.23%;22.57;22.72;21.86;80.783.800;2020-07-09
07/08/2020;22.44;0.60;2.75%;22.00;22.59;21.86;52.076.000;2020-07-08
07/07/2020;21.84;-0.73;-3.23%;22.45;22.59;21.71;56.044.800;2020-07-07
07/06/2020;22.57;1.16;5.42%;21.90;22.70;21.73;57.072.300;2020-07-06
07/03/2020;21.41;0.17;0.8%;21.18;21.41;21.00;12.616.400;2020-07-03
07/02/2020;21.24;0.10;0.47%;21.62;21.88;21.19;37.641.800;2020-07-02
07/01/2020;21.14;0.38;1.83%;20.82;21.36;20.76;33.581.400;2020-07-01
06/30/2020;20.76;-0.73;-3.4%;21.22;21.29;20.57;44.894.900;2020-06-30
06/29/2020;21.49;0.88;4.27%;20.89;21.50;20.76;49.001.400;2020-06-29
06/26/2020;20.61;-0.74;-3.47%;21.04;21.32;20.57;45.474.000;2020-06-26
06/25/2020;21.35;0.50;2.4%;21.11;21.54;20.82;41.089.200;2020-06-25
06/24/2020;20.85;-0.72;-3.34%;21.43;21.63;20.71;45.725.300;2020-06-24
06/23/2020;21.57;-0.05;-0.23%;22.00;22.10;21.34;36.807.200;2020-06-23
06/22/2020;21.62;-0.65;-2.92%;22.39;22.48;21.48;37.514.400;2020-06-22
06/19/2020;22.27;-0.02;-0.09%;22.65;22.77;21.86;73.765.500;2020-06-19
06/18/2020;22.29;-0.02;-0.09%;22.11;22.76;21.95;54.596.100;2020-06-18
06/17/2020;22.31;0.32;1.46%;22.00;22.82;21.99;54.418.700;2020-06-17
06/16/2020;21.99;0.70;3.29%;21.99;22.28;21.49;52.661.700;2020-06-16
06/15/2020;21.29;-0.51;-2.34%;21.00;21.50;20.80;67.404.400;2020-06-15
06/12/2020;21.80;-0.20;-0.91%;21.35;21.84;21.19;74.209.800;2020-06-12
06/11/2020;22.00;0.00;+0.00%;23.40;23.48;21.80;0;2020-06-11
06/10/2020;22.00;-1.05;-4.56%;23.40;23.48;21.80;61.429.400;2020-06-10
06/09/2020;23.05;-0.44;-1.87%;22.86;23.41;22.63;51.741.700;2020-06-09
