Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;10.54;-0.21;-1.95%;10.71;10.74;10.42;10.998.000;2020-09-25
09/24/2020;10.75;0.34;3.27%;10.43;10.89;10.35;12.048.300;2020-09-24
09/23/2020;10.41;-0.22;-2.07%;10.62;10.72;10.39;10.299.300;2020-09-23
09/22/2020;10.63;0.19;1.82%;10.40;10.69;10.38;9.328.000;2020-09-22
09/21/2020;10.44;-0.18;-1.69%;10.50;10.56;10.30;8.134.100;2020-09-21
09/18/2020;10.62;-0.30;-2.75%;10.82;10.84;10.57;19.414.400;2020-09-18
09/17/2020;10.92;0.12;1.11%;10.70;10.92;10.60;6.968.800;2020-09-17
09/16/2020;10.80;0.18;1.69%;10.67;10.93;10.65;11.512.000;2020-09-16
09/15/2020;10.62;-0.20;-1.85%;10.89;11.00;10.58;12.173.300;2020-09-15
09/14/2020;10.82;0.15;1.41%;10.81;10.92;10.60;9.401.400;2020-09-14
09/11/2020;10.67;-0.29;-2.65%;11.05;11.07;10.59;14.063.500;2020-09-11
09/10/2020;10.96;-0.22;-1.97%;11.20;11.51;10.91;15.379.400;2020-09-10
09/09/2020;11.18;0.47;4.39%;10.81;11.20;10.80;11.796.900;2020-09-09
09/08/2020;10.71;-0.10;-0.93%;10.66;10.78;10.57;6.800.200;2020-09-08
09/07/2020;10.81;0.00;+0.00%;10.91;10.96;10.67;0;2020-09-07
09/04/2020;10.81;-0.07;-0.64%;10.91;10.96;10.67;11.475.700;2020-09-04
09/03/2020;10.88;-0.02;-0.18%;10.87;11.17;10.78;12.142.200;2020-09-03
09/02/2020;10.90;0.05;0.46%;10.90;10.91;10.73;6.900.700;2020-09-02
09/01/2020;10.85;0.26;2.46%;10.65;10.90;10.58;11.304.000;2020-09-01
08/31/2020;10.59;-0.36;-3.29%;10.90;10.90;10.52;12.127.600;2020-08-31
08/28/2020;10.95;0.14;1.3%;10.84;11.02;10.70;9.131.700;2020-08-28
