Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;4.15;-0.01;-0.24%;4.16;4.25;4.11;28.087.200;2020-09-25
09/24/2020;4.16;0.03;0.73%;4.14;4.29;4.09;31.842.100;2020-09-24
09/23/2020;4.13;-0.10;-2.36%;4.20;4.26;4.09;35.737.600;2020-09-23
09/22/2020;4.23;0.07;1.68%;4.18;4.27;4.14;40.666.500;2020-09-22
09/21/2020;4.16;-0.06;-1.42%;4.12;4.26;4.04;69.565.200;2020-09-21
09/18/2020;4.22;-0.35;-7.66%;4.52;4.54;4.21;148.664.800;2020-09-18
09/17/2020;4.57;-0.02;-0.44%;4.54;4.59;4.47;33.971.300;2020-09-17
09/16/2020;4.59;-0.02;-0.43%;4.63;4.67;4.57;24.854.000;2020-09-16
09/15/2020;4.61;-0.14;-2.95%;4.77;4.88;4.58;107.080.300;2020-09-15
09/14/2020;4.75;0.30;6.74%;4.50;4.77;4.44;61.649.700;2020-09-14
09/11/2020;4.45;-0.16;-3.47%;4.66;4.66;4.41;55.194.700;2020-09-11
09/10/2020;4.61;-0.08;-1.71%;4.68;4.81;4.61;30.933.200;2020-09-10
09/09/2020;4.69;-0.02;-0.42%;4.74;4.81;4.62;38.421.800;2020-09-09
09/08/2020;4.71;0.06;1.29%;4.60;4.76;4.58;28.027.200;2020-09-08
09/07/2020;4.65;0.00;+0.00%;4.58;4.70;4.46;0;2020-09-07
09/04/2020;4.65;0.10;2.2%;4.58;4.70;4.46;44.743.900;2020-09-04
09/03/2020;4.55;-0.18;-3.81%;4.77;4.80;4.52;68.066.200;2020-09-03
09/02/2020;4.73;0.18;3.96%;4.58;4.73;4.50;63.174.100;2020-09-02
09/01/2020;4.55;0.00;0.0%;4.57;4.66;4.53;49.886.300;2020-09-01
08/31/2020;4.55;-0.11;-2.36%;4.63;4.67;4.55;37.201.300;2020-08-31
08/28/2020;4.66;0.01;0.22%;4.67;4.69;4.61;25.867.000;2020-08-28
08/27/2020;4.65;-0.07;-1.48%;4.75;4.77;4.64;43.449.700;2020-08-27
08/26/2020;4.72;-0.15;-3.08%;4.86;4.91;4.68;45.432.000;2020-08-26
08/25/2020;4.87;-0.16;-3.18%;5.07;5.08;4.83;49.194.600;2020-08-25
08/24/2020;5.03;0.09;1.82%;5.00;5.13;4.98;41.054.700;2020-08-24
08/21/2020;4.94;0.00;+0.00%;4.88;5.11;4.85;0;2020-08-21
08/21/2020;4.94;0.06;1.23%;4.88;5.11;4.85;52.717.600;2020-08-21
08/20/2020;4.88;-0.02;-0.41%;4.81;4.94;4.74;41.374.700;2020-08-20
