Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;23.60;0.20;0.85%;23.23;23.95;22.94;6.249.700;2020-09-25
09/24/2020;23.40;0.52;2.27%;22.81;24.05;22.61;9.121.500;2020-09-24
09/23/2020;22.88;-0.60;-2.56%;23.43;23.68;22.69;5.216.200;2020-09-23
09/22/2020;23.48;0.67;2.94%;22.91;23.63;22.47;8.106.500;2020-09-22
09/21/2020;22.81;-0.22;-0.96%;22.54;22.84;22.06;5.506.600;2020-09-21
09/18/2020;23.03;-0.65;-2.74%;23.69;23.71;22.68;7.362.800;2020-09-18
09/17/2020;23.68;-0.21;-0.88%;23.69;23.96;23.23;8.926.000;2020-09-17
09/16/2020;23.89;-0.57;-2.33%;24.41;24.81;23.89;7.316.400;2020-09-16
09/15/2020;24.46;-0.04;-0.16%;24.70;24.85;24.07;5.396.300;2020-09-15
09/14/2020;24.50;0.81;3.42%;23.94;24.73;23.81;5.116.700;2020-09-14
09/11/2020;23.69;-0.04;-0.17%;24.08;24.24;23.32;7.575.400;2020-09-11
09/10/2020;23.73;-0.81;-3.3%;24.54;24.93;23.56;8.786.600;2020-09-10
09/09/2020;24.54;0.69;2.89%;24.20;25.04;24.20;9.196.100;2020-09-09
09/08/2020;23.85;-0.05;-0.21%;23.51;24.18;23.31;6.178.900;2020-09-08
09/07/2020;23.90;0.00;+0.00%;24.30;24.34;22.95;0;2020-09-07
09/04/2020;23.90;-0.35;-1.44%;24.30;24.34;22.95;9.819.900;2020-09-04
09/03/2020;24.25;-0.08;-0.33%;24.31;24.53;23.65;13.665.400;2020-09-03
09/02/2020;24.33;-0.12;-0.49%;24.56;24.95;24.04;6.083.100;2020-09-02
09/01/2020;24.45;0.01;0.04%;24.37;24.89;24.12;7.124.400;2020-09-01
08/31/2020;24.44;-1.00;-3.93%;25.19;25.32;23.91;10.707.300;2020-08-31
08/28/2020;25.44;1.84;7.8%;23.93;25.51;23.87;12.520.900;2020-08-28
08/27/2020;23.60;0.15;0.64%;23.79;24.02;23.33;5.988.900;2020-08-27
08/26/2020;23.45;-0.65;-2.7%;24.20;24.57;23.07;12.888.200;2020-08-26
08/25/2020;24.10;-0.14;-0.58%;24.33;24.53;23.97;5.359.400;2020-08-25
08/24/2020;24.24;-0.42;-1.7%;24.80;24.86;24.10;5.427.800;2020-08-24
08/21/2020;24.66;0.00;+0.00%;24.24;24.96;23.90;0;2020-08-21
08/21/2020;24.66;0.23;0.94%;24.24;24.96;23.90;6.883.300;2020-08-21
08/20/2020;24.43;0.88;3.74%;23.01;24.67;22.82;6.426.600;2020-08-20
08/19/2020;23.55;-0.78;-3.21%;24.33;24.34;23.55;6.174.000;2020-08-19
08/18/2020;24.33;0.83;3.53%;24.08;24.43;23.34;5.880.500;2020-08-18
08/17/2020;23.50;-0.86;-3.53%;24.52;24.62;22.98;5.713.700;2020-08-17
08/14/2020;24.36;0.45;1.88%;24.01;24.78;23.42;6.904.800;2020-08-14
08/13/2020;23.91;-0.49;-2.01%;24.40;24.89;23.78;7.077.700;2020-08-13
08/12/2020;24.40;-0.69;-2.75%;25.19;25.39;23.56;9.863.200;2020-08-12
08/11/2020;25.09;-0.43;-1.68%;25.82;26.05;24.92;8.305.000;2020-08-11
08/10/2020;25.52;-0.42;-1.62%;25.92;26.09;25.24;4.255.200;2020-08-10
08/07/2020;25.94;-0.21;-0.8%;26.09;26.56;25.46;5.515.700;2020-08-07
08/06/2020;26.15;0.00;0.0%;26.32;26.74;26.00;5.879.600;2020-08-06
08/05/2020;26.15;0.15;0.58%;26.19;26.64;25.80;6.757.600;2020-08-05
08/04/2020;26.00;-0.78;-2.91%;26.60;26.60;25.27;12.028.200;2020-08-04
08/03/2020;26.78;-0.87;-3.15%;27.65;27.65;26.45;7.765.300;2020-08-03
07/31/2020;27.65;0.02;0.07%;27.62;27.83;26.82;7.229.900;2020-07-31
07/30/2020;27.63;0.77;2.87%;26.27;27.75;26.16;6.386.500;2020-07-30
07/29/2020;26.86;1.33;5.21%;25.87;26.92;25.71;10.042.900;2020-07-29
07/28/2020;25.53;-0.56;-2.15%;26.08;26.23;25.04;7.925.200;2020-07-28
07/27/2020;26.09;0.36;1.4%;25.98;26.70;25.83;5.641.800;2020-07-27
07/24/2020;25.73;-0.82;-3.09%;26.00;26.10;24.85;7.264.200;2020-07-24
07/23/2020;26.55;-0.84;-3.07%;27.34;27.67;26.27;6.373.800;2020-07-23
07/22/2020;27.39;-0.03;-0.11%;27.45;27.74;26.83;5.459.300;2020-07-22
07/21/2020;27.42;-0.47;-1.69%;28.10;28.30;27.17;6.482.200;2020-07-21
07/20/2020;27.89;0.28;1.01%;27.60;28.12;27.23;5.024.300;2020-07-20
07/17/2020;27.61;1.42;5.42%;26.20;27.65;26.10;9.686.900;2020-07-17
07/16/2020;26.19;-0.44;-1.65%;26.56;26.70;25.90;6.834.900;2020-07-16
07/15/2020;26.63;-0.09;-0.34%;27.20;27.50;26.46;8.026.500;2020-07-15
07/14/2020;26.72;0.02;0.07%;26.00;27.03;25.54;8.077.300;2020-07-14
07/13/2020;26.70;-0.84;-3.05%;28.19;28.34;26.50;9.046.900;2020-07-13
07/10/2020;27.54;0.71;2.65%;26.73;27.65;26.61;7.018.100;2020-07-10
07/09/2020;26.83;0.18;0.68%;26.75;27.03;26.32;8.862.500;2020-07-09
07/08/2020;26.65;1.05;4.1%;25.87;26.98;25.87;13.739.200;2020-07-08
07/07/2020;25.60;0.03;0.12%;25.36;25.97;25.18;7.459.600;2020-07-07
07/06/2020;25.57;0.17;0.67%;25.99;26.06;25.29;7.924.000;2020-07-06
07/03/2020;25.40;0.69;2.79%;24.71;25.40;24.30;4.641.300;2020-07-03
07/02/2020;24.71;-0.09;-0.36%;25.00;25.39;24.32;7.998.400;2020-07-02
07/01/2020;24.80;2.00;8.77%;23.69;24.80;23.36;12.172.600;2020-07-01
06/30/2020;22.80;-0.53;-2.27%;22.86;23.86;22.54;6.639.000;2020-06-30
06/29/2020;23.33;1.38;6.29%;22.24;23.34;21.44;6.527.100;2020-06-29
06/26/2020;21.95;-1.11;-4.81%;22.82;23.06;21.80;7.886.300;2020-06-26
06/25/2020;23.06;0.35;1.54%;22.66;23.30;22.30;6.531.900;2020-06-25
06/24/2020;22.71;-0.74;-3.16%;23.15;23.49;22.38;7.181.900;2020-06-24
06/23/2020;23.45;0.59;2.58%;23.50;23.54;22.80;5.711.100;2020-06-23
06/22/2020;22.86;0.11;0.48%;23.18;23.95;22.63;7.386.700;2020-06-22
06/19/2020;22.75;0.39;1.74%;23.00;23.04;22.25;12.223.500;2020-06-19
06/18/2020;22.36;-0.43;-1.89%;22.20;23.81;21.95;17.442.900;2020-06-18
06/17/2020;22.79;1.72;8.16%;21.12;22.79;21.02;10.937.000;2020-06-17
06/16/2020;21.07;0.24;1.15%;21.67;21.98;20.90;9.363.500;2020-06-16
06/15/2020;20.83;0.12;0.58%;19.70;21.17;19.36;6.720.700;2020-06-15
