Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;6.12;-0.05;-0.81%;6.15;6.22;6.07;10.705.300;2020-09-25
09/24/2020;6.17;0.13;2.15%;6.09;6.29;5.98;19.809.800;2020-09-24
09/23/2020;6.04;-0.14;-2.27%;6.20;6.36;6.03;14.337.200;2020-09-23
09/22/2020;6.18;-0.18;-2.83%;6.37;6.41;6.16;19.356.900;2020-09-22
09/21/2020;6.36;-0.29;-4.36%;6.56;6.60;6.33;15.098.400;2020-09-21
09/18/2020;6.65;-0.33;-4.73%;6.92;6.93;6.61;17.063.700;2020-09-18
09/17/2020;6.98;0.07;1.01%;6.85;7.02;6.76;8.295.500;2020-09-17
09/16/2020;6.91;0.05;0.73%;6.85;7.00;6.78;7.853.400;2020-09-16
09/15/2020;6.86;-0.04;-0.58%;6.97;7.00;6.79;6.830.000;2020-09-15
09/14/2020;6.90;0.10;1.47%;6.90;6.95;6.73;9.915.500;2020-09-14
09/11/2020;6.80;-0.16;-2.3%;7.06;7.07;6.72;13.518.300;2020-09-11
09/10/2020;6.96;-0.23;-3.2%;7.20;7.26;6.96;16.683.100;2020-09-10
09/09/2020;7.19;-0.13;-1.78%;7.40;7.66;7.14;20.989.800;2020-09-09
09/08/2020;7.32;-0.08;-1.08%;7.30;7.39;7.26;9.907.000;2020-09-08
09/07/2020;7.40;0.00;+0.00%;7.43;7.44;7.18;0;2020-09-07
09/04/2020;7.40;-0.01;-0.13%;7.43;7.44;7.18;13.079.900;2020-09-04
09/03/2020;7.41;-0.17;-2.24%;7.56;7.94;7.34;19.511.000;2020-09-03
09/02/2020;7.58;-0.08;-1.04%;7.73;7.86;7.47;10.657.600;2020-09-02
09/01/2020;7.66;0.35;4.79%;7.44;7.80;7.32;16.221.100;2020-09-01
08/31/2020;7.31;-0.22;-2.92%;7.49;7.57;7.27;8.609.000;2020-08-31
08/28/2020;7.53;0.22;3.01%;7.37;7.62;7.27;10.561.600;2020-08-28
08/27/2020;7.31;0.00;0.0%;7.32;7.53;7.26;10.024.900;2020-08-27
08/26/2020;7.31;-0.32;-4.19%;7.64;7.77;7.29;10.916.000;2020-08-26
08/25/2020;7.63;0.01;0.13%;7.63;7.72;7.49;8.207.600;2020-08-25
08/24/2020;7.62;0.38;5.25%;7.34;7.73;7.28;15.006.200;2020-08-24
08/21/2020;7.24;0.00;+0.00%;7.16;7.33;7.12;0;2020-08-21
08/21/2020;7.24;0.08;1.12%;7.16;7.33;7.12;8.231.200;2020-08-21
08/20/2020;7.16;0.00;0.0%;7.07;7.22;6.97;13.781.500;2020-08-20
08/19/2020;7.16;-0.23;-3.11%;7.41;7.43;7.15;11.187.900;2020-08-19
08/18/2020;7.39;0.00;0.0%;7.49;7.50;7.31;7.699.700;2020-08-18
08/17/2020;7.39;-0.29;-3.78%;7.68;7.74;7.35;10.658.500;2020-08-17
08/14/2020;7.68;0.08;1.05%;7.60;7.74;7.47;8.122.500;2020-08-14
08/13/2020;7.60;-0.20;-2.56%;7.84;7.90;7.55;8.476.400;2020-08-13
08/12/2020;7.80;-0.22;-2.74%;8.10;8.17;7.68;11.953.900;2020-08-12
08/11/2020;8.02;0.07;0.88%;7.90;8.32;7.84;17.199.300;2020-08-11
08/10/2020;7.95;0.44;5.86%;7.51;7.95;7.40;14.832.800;2020-08-10
08/07/2020;7.51;-0.09;-1.18%;7.50;7.61;7.44;8.475.600;2020-08-07
08/06/2020;7.60;-0.03;-0.39%;7.74;7.74;7.39;9.585.600;2020-08-06
08/05/2020;7.63;0.13;1.73%;7.41;7.68;7.29;13.881.600;2020-08-05
08/04/2020;7.50;-0.17;-2.22%;7.57;7.71;7.46;7.479.900;2020-08-04
08/03/2020;7.67;0.03;0.39%;7.68;7.77;7.37;16.022.300;2020-08-03
07/31/2020;7.64;-0.33;-4.14%;7.98;8.00;7.58;21.848.900;2020-07-31
07/30/2020;7.97;-0.19;-2.33%;8.05;8.11;7.92;12.483.700;2020-07-30
07/29/2020;8.16;0.01;0.12%;8.19;8.24;8.05;7.559.400;2020-07-29
07/28/2020;8.15;0.13;1.62%;8.02;8.25;7.89;9.990.900;2020-07-28
07/27/2020;8.02;-0.03;-0.37%;8.06;8.09;7.93;8.122.000;2020-07-27
07/24/2020;8.05;-0.16;-1.95%;8.15;8.18;7.93;12.109.900;2020-07-24
07/23/2020;8.21;-0.11;-1.32%;8.35;8.42;8.16;11.154.400;2020-07-23
07/22/2020;8.32;-0.14;-1.65%;8.46;8.48;8.26;9.135.900;2020-07-22
07/21/2020;8.46;0.16;1.93%;8.42;8.67;8.37;15.175.100;2020-07-21
07/20/2020;8.30;-0.07;-0.84%;8.40;8.46;8.21;10.390.400;2020-07-20
07/17/2020;8.37;0.07;0.84%;8.34;8.48;8.22;12.529.900;2020-07-17
07/16/2020;8.30;-0.49;-5.57%;8.67;8.86;8.21;23.443.900;2020-07-16
07/15/2020;8.79;0.74;9.19%;8.16;8.80;8.11;28.847.400;2020-07-15
07/14/2020;8.05;-0.10;-1.23%;8.16;8.17;7.97;12.708.600;2020-07-14
07/13/2020;8.15;0.07;0.87%;8.12;8.30;8.06;15.200.200;2020-07-13
07/10/2020;8.08;0.09;1.13%;8.00;8.09;7.86;9.542.500;2020-07-10
07/09/2020;7.99;-0.19;-2.32%;8.19;8.20;7.96;11.305.000;2020-07-09
07/08/2020;8.18;-0.03;-0.37%;8.27;8.30;8.13;9.322.300;2020-07-08
07/07/2020;8.21;-0.26;-3.07%;8.34;8.42;8.18;10.157.900;2020-07-07
07/06/2020;8.47;0.24;2.92%;8.40;8.51;8.18;12.799.700;2020-07-06
07/03/2020;8.23;0.04;0.49%;8.16;8.26;8.02;5.359.900;2020-07-03
07/02/2020;8.19;0.04;0.49%;8.30;8.66;8.07;19.714.200;2020-07-02
07/01/2020;8.15;0.01;0.12%;8.27;8.44;8.08;14.303.800;2020-07-01
06/30/2020;8.14;-0.30;-3.55%;8.35;8.36;8.04;14.976.300;2020-06-30
06/29/2020;8.44;0.62;7.93%;7.94;8.45;7.84;17.778.600;2020-06-29
06/26/2020;7.82;-0.33;-4.05%;8.15;8.26;7.80;10.332.000;2020-06-26
06/25/2020;8.15;0.04;0.49%;8.10;8.22;7.90;12.589.200;2020-06-25
06/24/2020;8.11;-0.43;-5.04%;8.49;8.73;8.08;14.029.100;2020-06-24
06/23/2020;8.54;0.09;1.07%;8.59;8.64;8.37;9.439.200;2020-06-23
06/22/2020;8.45;-0.32;-3.65%;8.80;8.83;8.41;12.350.700;2020-06-22
06/19/2020;8.77;-0.12;-1.35%;9.02;9.05;8.75;9.759.500;2020-06-19
06/18/2020;8.89;-0.05;-0.56%;8.80;9.08;8.74;10.671.900;2020-06-18
06/17/2020;8.94;-0.13;-1.43%;9.05;9.17;8.73;11.651.100;2020-06-17
06/16/2020;9.07;0.45;5.22%;9.16;9.51;8.94;18.760.500;2020-06-16
06/15/2020;8.62;-0.13;-1.49%;8.47;8.84;8.27;16.914.700;2020-06-15
06/12/2020;8.75;-0.44;-4.79%;8.80;9.16;8.63;23.044.900;2020-06-12
06/11/2020;9.19;0.00;+0.00%;10.50;10.60;9.19;0;2020-06-11
06/10/2020;9.19;-1.16;-11.21%;10.50;10.60;9.19;31.359.700;2020-06-10
06/09/2020;10.35;-0.56;-5.13%;10.50;10.53;10.13;30.768.900;2020-06-09
06/08/2020;10.91;1.84;20.29%;9.50;10.91;9.37;36.773.700;2020-06-08
06/05/2020;9.07;0.13;1.45%;9.46;9.48;8.85;24.346.100;2020-06-05
06/04/2020;8.94;0.32;3.71%;8.68;9.17;8.24;23.545.000;2020-06-04
06/03/2020;8.62;0.34;4.11%;8.53;9.17;8.51;39.312.300;2020-06-03
06/02/2020;8.28;0.85;11.44%;7.53;8.30;7.50;40.344.200;2020-06-02
06/01/2020;7.43;0.18;2.48%;7.29;7.49;7.05;36.657.400;2020-06-01
05/29/2020;7.25;0.26;3.72%;6.98;8.28;6.78;125.473.100;2020-05-29
05/28/2020;6.99;-0.26;-3.59%;7.27;7.52;6.97;19.001.900;2020-05-28
05/27/2020;7.25;0.57;8.53%;6.81;7.30;6.77;24.206.600;2020-05-27
05/26/2020;6.68;-0.21;-3.05%;6.97;7.17;6.59;16.462.900;2020-05-26
05/25/2020;6.89;0.36;5.51%;6.57;7.00;6.56;8.993.300;2020-05-25
05/22/2020;6.53;-0.09;-1.36%;6.56;6.82;6.45;11.100.800;2020-05-22
05/21/2020;6.62;0.03;0.46%;6.61;6.71;6.48;11.752.000;2020-05-21
05/20/2020;6.59;0.04;0.61%;6.54;6.76;6.48;10.948.100;2020-05-20
05/19/2020;6.55;-0.04;-0.61%;6.65;6.85;6.43;15.450.200;2020-05-19
05/18/2020;6.59;0.27;4.27%;6.51;6.69;6.33;15.945.500;2020-05-18
05/15/2020;6.32;-0.29;-4.39%;6.50;6.79;6.23;17.505.400;2020-05-15
05/14/2020;6.61;0.40;6.44%;5.91;6.66;5.89;26.869.800;2020-05-14
05/13/2020;6.21;-0.56;-8.27%;6.78;6.78;6.17;24.710.300;2020-05-13
05/12/2020;6.77;-0.43;-5.97%;7.22;7.33;6.73;21.036.900;2020-05-12
05/11/2020;7.20;-0.44;-5.76%;7.45;7.69;7.16;12.796.100;2020-05-11
05/08/2020;7.64;0.58;8.22%;7.16;7.68;7.06;12.009.100;2020-05-08
05/07/2020;7.06;-0.10;-1.4%;7.24;7.53;6.99;23.569.500;2020-05-07
05/06/2020;7.16;-0.39;-5.17%;7.59;7.59;7.14;14.292.000;2020-05-06
05/05/2020;7.55;-0.30;-3.82%;7.91;7.96;7.36;18.111.600;2020-05-05
05/04/2020;7.85;-0.81;-9.35%;8.20;8.23;7.62;24.318.400;2020-05-04
05/01/2020;8.66;0.00;+0.00%;8.66;8.75;8.32;0;2020-05-01
04/30/2020;8.66;-0.24;-2.7%;8.66;8.75;8.32;24.467.600;2020-04-30
04/29/2020;8.90;0.74;9.07%;8.28;9.00;8.20;13.053.700;2020-04-29
04/28/2020;8.16;0.40;5.15%;7.93;8.35;7.73;19.524.200;2020-04-28
04/27/2020;7.76;-0.66;-7.84%;7.26;7.89;6.91;46.189.000;2020-04-27
04/24/2020;8.42;-0.86;-9.27%;9.20;9.20;8.18;14.006.000;2020-04-24
04/23/2020;9.28;0.30;3.34%;8.95;9.34;8.90;8.514.400;2020-04-23
04/22/2020;8.98;-0.25;-2.71%;9.07;9.13;8.83;9.354.100;2020-04-22
04/21/2020;9.23;0.00;+0.00%;9.29;9.35;9.09;0;2020-04-21
04/20/2020;9.23;-0.27;-2.84%;9.29;9.35;9.09;6.752.800;2020-04-20
04/17/2020;9.50;0.26;2.81%;9.40;9.67;9.11;7.222.900;2020-04-17
04/16/2020;9.24;-0.09;-0.96%;9.38;9.52;8.99;7.020.100;2020-04-16
04/15/2020;9.33;-0.33;-3.42%;9.50;9.56;9.16;6.573.000;2020-04-15
04/14/2020;9.66;-0.14;-1.43%;9.93;9.93;9.51;6.251.000;2020-04-14
04/13/2020;9.80;0.15;1.55%;9.65;9.81;9.25;3.107.700;2020-04-13
04/10/2020;9.65;0.00;+0.00%;9.39;9.74;9.27;0;2020-04-10
04/09/2020;9.65;0.37;3.99%;9.39;9.74;9.27;4.525.600;2020-04-09
04/08/2020;9.28;0.47;5.33%;8.90;9.40;8.82;7.288.600;2020-04-08
04/07/2020;8.81;-0.22;-2.44%;9.55;10.05;8.74;7.742.500;2020-04-07
04/06/2020;9.03;0.53;6.24%;8.90;9.42;8.80;5.525.200;2020-04-06
04/03/2020;8.50;-0.69;-7.51%;9.20;9.29;8.30;5.938.400;2020-04-03
04/02/2020;9.19;-0.25;-2.65%;9.48;9.72;9.10;5.293.500;2020-04-02
04/01/2020;9.44;0.09;0.96%;9.18;9.48;9.02;3.483.500;2020-04-01
03/31/2020;9.35;-0.01;-0.11%;9.50;9.97;9.35;6.238.800;2020-03-31
03/30/2020;9.36;0.55;6.24%;9.03;9.48;8.71;7.303.100;2020-03-30
03/27/2020;8.81;-1.31;-12.94%;9.93;9.99;8.81;8.457.700;2020-03-27
03/26/2020;10.12;-0.28;-2.69%;10.50;11.04;10.00;8.905.400;2020-03-26
03/25/2020;10.40;1.50;16.85%;8.98;10.92;8.97;8.716.900;2020-03-25
03/24/2020;8.90;1.26;16.49%;8.10;10.63;7.79;10.073.800;2020-03-24
03/23/2020;7.64;-0.91;-10.64%;8.53;8.53;7.34;11.393.100;2020-03-23
03/20/2020;8.55;-0.93;-9.81%;10.00;10.00;8.40;9.013.800;2020-03-20
03/19/2020;9.48;0.32;3.49%;8.91;10.01;8.43;9.923.300;2020-03-19
03/18/2020;9.16;-1.12;-10.89%;9.47;9.90;8.53;10.493.600;2020-03-18
03/17/2020;10.28;0.43;4.37%;10.00;10.77;9.61;9.247.300;2020-03-17
03/16/2020;9.85;-2.01;-16.95%;10.35;11.17;9.80;10.644.000;2020-03-16
03/13/2020;11.86;1.60;15.59%;12.07;12.14;10.55;9.732.800;2020-03-13
03/12/2020;10.26;-3.87;-27.39%;10.99;11.56;10.26;6.731.200;2020-03-12
03/11/2020;14.13;-1.07;-7.04%;14.59;14.88;13.64;7.249.900;2020-03-11
03/10/2020;15.20;0.47;3.19%;15.05;15.40;14.51;6.876.500;2020-03-10
03/09/2020;14.73;-1.19;-7.47%;15.26;15.28;14.68;6.899.800;2020-03-09
03/06/2020;15.92;-0.63;-3.81%;16.03;16.30;15.76;6.098.300;2020-03-06
03/05/2020;16.55;-0.69;-4.0%;17.00;17.21;16.35;3.926.800;2020-03-05
03/04/2020;17.24;0.33;1.95%;17.26;17.36;16.70;4.279.700;2020-03-04
03/03/2020;16.91;-0.24;-1.4%;16.92;17.55;16.67;5.275.000;2020-03-03
03/02/2020;17.15;0.19;1.12%;16.80;17.16;16.53;4.131.800;2020-03-02
02/28/2020;16.96;0.00;0.0%;16.96;16.96;16.96;0;2020-02-28
02/27/2020;16.96;-0.22;-1.28%;17.20;17.20;16.28;7.107.500;2020-02-27
02/27/2020;17.18;-0.66;-3.7%;17.70;17.83;17.17;10.352.700;2020-02-27
02/26/2020;17.84;-1.70;-8.7%;18.35;18.48;17.63;6.564.100;2020-02-26
02/25/2020;19.54;0.00;+0.00%;19.53;19.66;19.32;0;2020-02-25
02/24/2020;19.54;0.00;+0.00%;19.53;19.66;19.32;0;2020-02-24
02/21/2020;19.54;-0.14;-0.71%;19.53;19.66;19.32;2.378.500;2020-02-21
02/20/2020;19.68;0.64;3.36%;19.06;20.04;19.06;4.652.700;2020-02-20
02/19/2020;19.04;0.27;1.44%;18.54;19.19;18.45;2.283.100;2020-02-19
02/18/2020;18.77;-0.10;-0.53%;18.80;18.90;18.44;2.793.100;2020-02-18
02/17/2020;18.87;0.31;1.67%;18.51;18.94;18.15;1.124.000;2020-02-17
02/14/2020;18.56;-0.61;-3.18%;19.05;19.18;18.56;2.279.200;2020-02-14
02/13/2020;19.17;0.04;0.21%;18.66;19.17;18.61;2.935.100;2020-02-13
02/12/2020;19.13;0.19;1.0%;18.97;19.33;18.79;4.306.900;2020-02-12
02/11/2020;18.94;0.43;2.32%;18.70;18.94;18.45;2.313.200;2020-02-11
02/10/2020;18.51;0.12;0.65%;18.40;18.85;18.24;2.676.000;2020-02-10
02/07/2020;18.39;-0.26;-1.39%;18.53;18.62;18.23;2.620.100;2020-02-07
02/06/2020;18.65;0.24;1.3%;18.58;18.74;18.41;3.123.500;2020-02-06
02/05/2020;18.41;0.16;0.88%;18.41;18.74;18.32;4.105.000;2020-02-05
02/04/2020;18.25;0.21;1.16%;18.13;18.37;18.06;2.618.900;2020-02-04
02/03/2020;18.04;-0.10;-0.55%;18.07;18.41;17.98;3.120.200;2020-02-03
01/31/2020;18.14;0.04;0.22%;18.10;18.24;17.80;3.432.800;2020-01-31
01/30/2020;18.10;-0.08;-0.44%;18.10;18.17;17.73;2.689.100;2020-01-30
01/29/2020;18.18;-0.02;-0.11%;18.24;18.44;18.15;2.759.700;2020-01-29
01/28/2020;18.20;0.06;0.33%;18.61;18.78;18.20;2.327.000;2020-01-28
01/27/2020;18.14;-0.41;-2.21%;18.40;18.40;18.11;2.407.600;2020-01-27
01/24/2020;18.55;-0.44;-2.32%;18.99;19.05;18.55;1.999.900;2020-01-24
01/23/2020;18.99;-0.21;-1.09%;19.23;19.23;18.73;2.174.500;2020-01-23
01/22/2020;19.20;0.27;1.43%;19.02;19.25;18.83;2.707.900;2020-01-22
01/21/2020;18.93;-0.46;-2.37%;19.33;19.41;18.90;2.204.900;2020-01-21
01/20/2020;19.39;-0.16;-0.82%;19.60;19.60;19.24;962.100;2020-01-20
01/17/2020;19.55;-0.10;-0.51%;19.73;19.77;19.46;1.780.500;2020-01-17
01/16/2020;19.65;-0.35;-1.75%;20.11;20.11;19.57;2.268.600;2020-01-16
01/15/2020;20.00;-0.37;-1.82%;20.27;20.31;19.79;2.972.900;2020-01-15
01/14/2020;20.37;-0.09;-0.44%;20.47;20.47;20.15;2.511.900;2020-01-14
01/13/2020;20.46;0.35;1.74%;20.11;20.53;20.08;2.421.400;2020-01-13
