Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;18.05;0.09;0.5%;17.90;18.05;17.75;3.545.000;2020-09-25
09/24/2020;17.96;0.09;0.5%;17.94;18.23;17.83;2.178.500;2020-09-24
09/23/2020;17.87;-0.35;-1.92%;18.22;18.36;17.82;2.200.100;2020-09-23
09/22/2020;18.22;-0.04;-0.22%;18.25;18.40;18.06;1.888.600;2020-09-22
09/21/2020;18.26;0.26;1.44%;18.00;18.32;17.76;3.570.600;2020-09-21
09/18/2020;18.00;-0.57;-3.07%;18.50;18.53;18.00;2.939.200;2020-09-18
09/17/2020;18.57;-0.03;-0.16%;18.49;18.64;18.40;2.021.500;2020-09-17
09/16/2020;18.60;0.00;0.0%;18.66;18.77;18.53;1.788.100;2020-09-16
09/15/2020;18.60;0.13;0.7%;18.54;18.80;18.37;2.613.200;2020-09-15
09/14/2020;18.47;0.07;0.38%;18.44;18.66;18.31;2.006.900;2020-09-14
09/11/2020;18.40;-0.10;-0.54%;18.72;18.77;18.07;2.818.500;2020-09-11
09/10/2020;18.50;-0.69;-3.6%;19.22;19.31;18.50;1.795.700;2020-09-10
09/09/2020;19.19;0.39;2.07%;18.96;19.43;18.96;2.384.700;2020-09-09
09/08/2020;18.80;-0.09;-0.48%;18.84;18.98;18.71;3.222.000;2020-09-08
09/07/2020;18.89;0.00;+0.00%;18.80;18.99;18.49;0;2020-09-07
09/04/2020;18.89;0.11;0.59%;18.80;18.99;18.49;3.299.900;2020-09-04
09/03/2020;18.78;-0.01;-0.05%;18.92;19.11;18.44;8.201.300;2020-09-03
09/02/2020;18.79;-0.24;-1.26%;19.03;19.10;18.65;3.520.200;2020-09-02
09/01/2020;19.03;0.35;1.87%;18.77;19.73;18.77;5.170.600;2020-09-01
08/31/2020;18.68;1.08;6.14%;18.10;18.92;18.10;11.021.600;2020-08-31
08/28/2020;17.60;0.39;2.27%;17.21;17.63;17.15;2.552.700;2020-08-28
08/27/2020;17.21;-0.09;-0.52%;17.33;17.46;17.10;2.127.400;2020-08-27
08/26/2020;17.30;-0.42;-2.37%;17.69;17.80;17.11;2.296.400;2020-08-26
08/25/2020;17.72;0.06;0.34%;17.73;17.74;17.45;4.292.000;2020-08-25
08/24/2020;17.66;0.16;0.91%;17.58;17.73;17.30;3.009.900;2020-08-24
08/21/2020;17.50;0.00;+0.00%;17.27;17.57;17.15;0;2020-08-21
08/21/2020;17.50;0.19;1.1%;17.27;17.57;17.15;1.423.300;2020-08-21
08/20/2020;17.31;-0.08;-0.46%;17.15;17.43;17.03;1.641.500;2020-08-20
08/19/2020;17.39;-0.16;-0.91%;17.52;17.60;17.30;1.612.700;2020-08-19
08/18/2020;17.55;0.31;1.8%;17.50;17.62;17.14;2.068.000;2020-08-18
08/17/2020;17.24;-0.35;-1.99%;17.57;17.65;16.93;2.404.900;2020-08-17
08/14/2020;17.59;0.16;0.92%;17.47;17.67;17.30;1.664.500;2020-08-14
08/13/2020;17.43;-0.24;-1.36%;17.74;17.84;17.38;2.338.000;2020-08-13
08/12/2020;17.67;-0.09;-0.51%;17.75;17.87;17.46;3.544.900;2020-08-12
08/11/2020;17.76;-0.13;-0.73%;17.99;18.08;17.57;2.149.300;2020-08-11
08/10/2020;17.89;-0.06;-0.33%;18.03;18.04;17.66;1.732.900;2020-08-10
08/07/2020;17.95;-0.33;-1.81%;18.11;18.25;17.84;2.266.000;2020-08-07
08/06/2020;18.28;0.48;2.7%;17.85;18.29;17.74;1.884.800;2020-08-06
08/05/2020;17.80;-0.17;-0.95%;18.06;18.15;17.65;2.241.100;2020-08-05
08/04/2020;17.97;-0.39;-2.12%;18.29;18.41;17.74;2.729.200;2020-08-04
08/03/2020;18.36;-0.17;-0.92%;18.64;18.68;18.24;2.374.500;2020-08-03
07/31/2020;18.53;-0.13;-0.7%;18.64;18.94;18.38;2.690.600;2020-07-31
07/30/2020;18.66;0.30;1.63%;18.28;18.68;18.18;2.200.300;2020-07-30
07/29/2020;18.36;0.24;1.32%;18.21;18.54;18.14;1.858.800;2020-07-29
07/28/2020;18.12;-0.31;-1.68%;18.48;18.50;18.10;1.802.100;2020-07-28
07/27/2020;18.43;0.03;0.16%;18.33;18.72;18.25;3.379.600;2020-07-27
07/24/2020;18.40;0.39;2.17%;17.90;18.47;17.70;3.291.600;2020-07-24
07/23/2020;18.01;-0.15;-0.83%;18.12;18.37;17.95;1.738.200;2020-07-23
07/22/2020;18.16;0.15;0.83%;17.99;18.23;17.97;1.970.300;2020-07-22
07/21/2020;18.01;-0.29;-1.58%;18.37;18.38;17.94;2.260.100;2020-07-21
07/20/2020;18.30;0.27;1.5%;18.26;18.54;18.12;2.127.200;2020-07-20
07/17/2020;18.03;0.52;2.97%;17.61;18.10;17.56;2.976.400;2020-07-17
07/16/2020;17.51;-0.15;-0.85%;17.70;17.86;17.41;4.687.000;2020-07-16
07/15/2020;17.66;0.16;0.91%;17.67;17.74;17.45;3.013.500;2020-07-15
07/14/2020;17.50;-0.15;-0.85%;17.60;17.73;17.43;1.981.900;2020-07-14
07/13/2020;17.65;-0.05;-0.28%;17.89;17.92;17.51;2.095.700;2020-07-13
07/10/2020;17.70;-0.05;-0.28%;17.78;17.83;17.59;1.408.800;2020-07-10
07/09/2020;17.75;-0.19;-1.06%;17.94;18.20;17.70;1.844.500;2020-07-09
