Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;41.65;-0.07;-0.17%;41.41;41.97;41.09;1.190.100;2020-09-25
09/24/2020;41.72;0.32;0.77%;41.63;41.86;41.08;1.271.900;2020-09-24
09/23/2020;41.40;-0.83;-1.97%;42.29;42.44;41.40;1.196.700;2020-09-23
09/22/2020;42.23;-0.04;-0.09%;42.12;42.67;42.06;980.900;2020-09-22
09/21/2020;42.27;0.17;0.4%;42.00;42.58;41.31;1.436.300;2020-09-21
09/18/2020;42.10;-0.85;-1.98%;42.69;42.90;42.02;1.742.600;2020-09-18
09/17/2020;42.95;0.18;0.42%;42.60;43.13;42.23;866.700;2020-09-17
09/16/2020;42.77;-0.97;-2.22%;43.79;43.86;42.57;1.359.800;2020-09-16
09/15/2020;43.74;0.46;1.06%;43.33;43.87;42.89;1.528.000;2020-09-15
09/14/2020;43.28;0.29;0.67%;43.43;43.43;42.70;1.034.500;2020-09-14
09/11/2020;42.99;-0.82;-1.87%;44.31;44.31;42.36;2.123.200;2020-09-11
09/10/2020;43.81;-1.32;-2.92%;45.30;45.46;43.81;1.479.400;2020-09-10
09/09/2020;45.13;1.08;2.45%;44.35;45.30;44.35;1.337.600;2020-09-09
09/08/2020;44.05;0.41;0.94%;42.93;44.40;42.88;1.455.100;2020-09-08
09/07/2020;43.64;0.00;+0.00%;43.45;43.97;43.11;0;2020-09-07
09/04/2020;43.64;0.09;0.21%;43.45;43.97;43.11;2.173.400;2020-09-04
09/03/2020;43.55;-0.24;-0.55%;43.93;44.19;42.97;1.693.200;2020-09-03
09/02/2020;43.79;0.22;0.5%;43.83;43.97;43.16;1.701.100;2020-09-02
09/01/2020;43.57;0.50;1.16%;42.92;44.08;42.92;2.004.400;2020-09-01
08/31/2020;43.07;-0.34;-0.78%;43.36;43.41;42.63;1.943.200;2020-08-31
08/28/2020;43.41;0.37;0.86%;42.97;44.00;42.89;1.448.300;2020-08-28
08/27/2020;43.04;0.08;0.19%;43.41;43.51;42.57;1.348.400;2020-08-27
08/26/2020;42.96;-0.49;-1.13%;43.51;43.91;42.60;1.341.600;2020-08-26
08/25/2020;43.45;0.70;1.64%;42.97;43.62;42.63;1.774.000;2020-08-25
08/24/2020;42.75;0.05;0.12%;42.99;43.17;42.40;1.233.000;2020-08-24
08/21/2020;42.70;0.00;+0.00%;42.56;42.70;42.20;0;2020-08-21
08/21/2020;42.70;0.00;0.0%;42.56;42.70;42.20;1.857.500;2020-08-21
08/20/2020;42.70;-0.33;-0.77%;42.04;43.01;42.02;1.046.600;2020-08-20
08/19/2020;43.03;-0.26;-0.6%;43.00;43.38;42.45;4.915.600;2020-08-19
08/18/2020;43.29;0.39;0.91%;43.34;43.56;42.60;1.292.400;2020-08-18
08/17/2020;42.90;-0.89;-2.03%;43.76;43.76;42.05;1.230.800;2020-08-17
08/14/2020;43.79;0.68;1.58%;43.27;43.79;42.96;1.054.100;2020-08-14
08/13/2020;43.11;-0.67;-1.53%;43.96;44.26;43.05;2.681.400;2020-08-13
08/12/2020;43.78;-1.02;-2.28%;44.91;45.01;43.36;1.993.600;2020-08-12
