Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;27.32;-0.51;-1.83%;27.61;27.81;27.09;3.186.400;2020-09-25
09/24/2020;27.83;-0.08;-0.29%;27.77;28.25;27.51;2.940.900;2020-09-24
09/23/2020;27.91;-0.99;-3.43%;28.87;29.07;27.56;2.873.000;2020-09-23
09/22/2020;28.90;-0.33;-1.13%;29.24;29.39;28.79;1.299.700;2020-09-22
09/21/2020;29.23;0.02;0.07%;28.85;29.23;28.48;1.926.400;2020-09-21
09/18/2020;29.21;-0.44;-1.48%;29.42;29.68;28.78;1.849.100;2020-09-18
09/17/2020;29.65;-0.11;-0.37%;29.69;29.80;29.28;1.638.500;2020-09-17
09/16/2020;29.76;0.59;2.02%;29.21;29.81;29.20;2.148.100;2020-09-16
09/15/2020;29.17;0.17;0.59%;29.31;29.49;28.92;1.812.100;2020-09-15
09/14/2020;29.00;1.22;4.39%;28.01;29.11;28.01;1.591.100;2020-09-14
09/11/2020;27.78;-0.42;-1.49%;28.48;28.60;27.54;2.979.900;2020-09-11
09/10/2020;28.20;-0.37;-1.3%;28.56;28.95;28.05;2.127.100;2020-09-10
09/09/2020;28.57;0.17;0.6%;28.70;28.93;28.51;1.286.300;2020-09-09
09/08/2020;28.40;-0.05;-0.18%;27.94;28.89;27.92;2.491.500;2020-09-08
09/07/2020;28.45;0.00;+0.00%;27.95;28.73;27.37;0;2020-09-07
09/04/2020;28.45;0.57;2.04%;27.95;28.73;27.37;2.784.800;2020-09-04
09/03/2020;27.88;-0.57;-2.0%;28.23;28.72;27.56;2.917.800;2020-09-03
09/02/2020;28.45;1.90;7.16%;27.00;28.45;26.86;6.572.800;2020-09-02
09/01/2020;26.55;0.54;2.08%;26.51;26.90;26.12;3.677.900;2020-09-01
08/31/2020;26.01;0.16;0.62%;25.80;26.35;25.52;1.890.900;2020-08-31
08/28/2020;25.85;0.41;1.61%;25.32;25.99;25.30;1.334.400;2020-08-28
08/27/2020;25.44;0.24;0.95%;25.17;25.52;25.10;1.066.400;2020-08-27
08/26/2020;25.20;-0.24;-0.94%;25.44;25.68;24.96;1.870.300;2020-08-26
08/25/2020;25.44;0.45;1.8%;25.20;25.50;25.01;831.100;2020-08-25
08/24/2020;24.99;0.01;0.04%;25.01;25.40;24.63;1.707.700;2020-08-24
08/21/2020;24.98;0.00;+0.00%;24.60;25.24;24.51;0;2020-08-21
08/21/2020;24.98;0.30;1.22%;24.60;25.24;24.51;1.671.500;2020-08-21
08/20/2020;24.68;-0.07;-0.28%;24.29;24.90;24.14;1.398.900;2020-08-20
08/19/2020;24.75;-0.24;-0.96%;25.10;25.29;24.50;2.092.500;2020-08-19
08/18/2020;24.99;0.63;2.59%;24.66;25.10;24.52;1.763.700;2020-08-18
08/17/2020;24.36;-0.40;-1.62%;24.77;24.98;23.92;3.266.600;2020-08-17
08/14/2020;24.76;-0.26;-1.04%;24.87;25.13;24.20;2.896.800;2020-08-14
08/13/2020;25.02;-0.14;-0.56%;25.30;25.68;25.00;2.081.000;2020-08-13
08/12/2020;25.16;-0.80;-3.08%;26.07;26.08;24.91;2.187.200;2020-08-12
08/11/2020;25.96;0.01;0.04%;26.10;26.47;25.88;1.344.900;2020-08-11
08/10/2020;25.95;-0.10;-0.38%;26.14;26.35;25.70;1.794.100;2020-08-10
08/07/2020;26.05;0.12;0.46%;25.77;26.50;25.30;2.798.300;2020-08-07
08/06/2020;25.93;-0.28;-1.07%;26.31;26.57;25.80;2.337.100;2020-08-06
08/05/2020;26.21;0.11;0.42%;26.51;26.94;25.93;2.983.200;2020-08-05
08/04/2020;26.10;-0.41;-1.55%;26.52;27.24;25.77;4.447.700;2020-08-04
08/03/2020;26.51;0.91;3.55%;25.69;26.87;25.50;3.614.000;2020-08-03
07/31/2020;25.60;-0.07;-0.27%;24.75;25.77;24.60;3.971.100;2020-07-31
07/30/2020;25.67;0.54;2.15%;24.91;25.73;24.60;2.509.400;2020-07-30
07/29/2020;25.13;0.58;2.36%;24.70;25.15;24.44;2.078.600;2020-07-29
