Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;20.51;-0.15;-0.73%;20.50;20.67;20.26;12.590.100;2020-09-25
09/24/2020;20.66;0.01;0.05%;20.69;20.91;20.43;12.507.700;2020-09-24
09/23/2020;20.65;0.00;0.0%;20.60;21.05;20.42;11.575.200;2020-09-23
09/22/2020;20.65;0.05;0.24%;20.66;21.00;20.50;7.807.000;2020-09-22
09/21/2020;20.60;-0.24;-1.15%;20.69;21.32;20.43;20.543.700;2020-09-21
09/18/2020;20.84;-0.65;-3.02%;21.38;21.77;20.80;22.467.700;2020-09-18
09/17/2020;21.49;0.35;1.66%;20.81;21.84;20.80;14.165.500;2020-09-17
09/16/2020;21.14;-0.27;-1.26%;21.42;21.45;20.88;12.743.900;2020-09-16
09/15/2020;21.41;1.13;5.57%;20.33;21.55;20.06;24.642.600;2020-09-15
09/14/2020;20.28;0.35;1.76%;20.15;20.32;19.89;10.316.800;2020-09-14
09/11/2020;19.93;0.07;0.35%;19.85;20.54;19.64;10.190.000;2020-09-11
09/10/2020;19.86;-0.67;-3.26%;20.53;20.78;19.71;9.634.100;2020-09-10
09/09/2020;20.53;0.84;4.27%;20.06;20.82;19.94;13.996.000;2020-09-09
09/08/2020;19.69;-0.10;-0.51%;19.73;19.88;19.30;8.549.800;2020-09-08
09/07/2020;19.79;0.00;+0.00%;19.52;20.27;19.04;0;2020-09-07
09/04/2020;19.79;0.44;2.27%;19.52;20.27;19.04;13.927.600;2020-09-04
09/03/2020;19.35;-0.45;-2.27%;19.66;20.05;19.12;12.674.900;2020-09-03
09/02/2020;19.80;-0.20;-1.0%;20.10;20.39;19.42;10.026.500;2020-09-02
09/01/2020;20.00;0.89;4.66%;19.25;20.04;19.16;12.960.500;2020-09-01
08/31/2020;19.11;-0.54;-2.75%;19.37;19.63;19.01;14.291.400;2020-08-31
08/28/2020;19.65;0.43;2.24%;19.35;19.65;19.10;7.936.800;2020-08-28
08/27/2020;19.22;-0.28;-1.44%;19.55;19.80;19.02;9.176.600;2020-08-27
08/26/2020;19.50;-0.07;-0.36%;19.44;20.15;19.22;12.137.800;2020-08-26
08/25/2020;19.57;0.01;0.05%;19.65;19.65;19.24;8.285.300;2020-08-25
08/24/2020;19.56;-0.12;-0.61%;19.70;19.88;19.49;8.328.000;2020-08-24
08/21/2020;19.68;0.00;+0.00%;20.11;20.20;19.33;0;2020-08-21
08/21/2020;19.68;-0.59;-2.91%;20.11;20.20;19.33;11.419.500;2020-08-21
08/20/2020;20.27;0.25;1.25%;19.61;20.40;19.52;16.391.900;2020-08-20
08/19/2020;20.02;0.53;2.72%;19.61;20.31;19.51;28.358.600;2020-08-19
08/18/2020;19.49;1.47;8.16%;18.40;19.70;18.19;32.077.600;2020-08-18
08/17/2020;18.02;0.03;0.17%;17.99;18.49;17.75;13.448.300;2020-08-17
08/14/2020;17.99;0.13;0.73%;17.85;17.99;17.59;7.865.500;2020-08-14
08/13/2020;17.86;-0.25;-1.38%;18.13;18.37;17.75;9.677.700;2020-08-13
08/12/2020;18.11;-0.04;-0.22%;18.21;18.59;17.75;14.902.300;2020-08-12
08/11/2020;18.15;-0.05;-0.27%;18.46;18.55;18.02;10.624.100;2020-08-11
08/10/2020;18.20;0.53;3.0%;17.70;18.32;17.64;15.267.300;2020-08-10
08/07/2020;17.67;-0.44;-2.43%;17.84;18.17;17.27;17.290.000;2020-08-07
08/06/2020;18.11;-0.36;-1.95%;18.55;18.62;17.92;14.752.200;2020-08-06
08/05/2020;18.47;0.89;5.06%;17.99;18.89;17.91;52.967.400;2020-08-05
08/04/2020;17.58;0.13;0.74%;17.40;17.73;17.04;10.821.200;2020-08-04
08/03/2020;17.45;0.02;0.11%;17.69;17.88;17.39;22.639.900;2020-08-03
07/31/2020;17.43;-0.31;-1.75%;17.69;17.82;17.32;10.496.500;2020-07-31
07/30/2020;17.74;-0.21;-1.17%;17.65;17.86;17.43;7.789.400;2020-07-30
07/29/2020;17.95;0.22;1.24%;17.82;18.12;17.74;10.861.500;2020-07-29
07/28/2020;17.73;-0.13;-0.73%;17.80;17.96;17.53;11.973.100;2020-07-28
07/27/2020;17.86;0.73;4.26%;17.22;17.98;17.20;24.651.600;2020-07-27
07/24/2020;17.13;0.78;4.77%;16.29;17.20;16.09;23.257.300;2020-07-24
07/23/2020;16.35;-0.39;-2.33%;16.77;16.93;16.22;14.235.600;2020-07-23
07/22/2020;16.74;0.59;3.65%;16.16;16.81;16.01;28.461.500;2020-07-22
07/21/2020;16.15;-0.14;-0.86%;16.39;16.43;15.86;9.212.700;2020-07-21
07/20/2020;16.29;-0.02;-0.12%;16.36;16.45;16.23;9.227.900;2020-07-20
