Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;7.87;0.16;2.08%;7.67;8.09;7.66;2.949.200;2020-09-25
09/24/2020;7.71;0.09;1.18%;7.62;7.76;7.62;877.900;2020-09-24
09/23/2020;7.62;-0.07;-0.91%;7.71;7.76;7.58;1.059.900;2020-09-23
09/22/2020;7.69;0.19;2.53%;7.51;7.72;7.50;1.137.200;2020-09-22
09/21/2020;7.50;-0.02;-0.27%;7.43;7.51;7.33;983.400;2020-09-21
09/18/2020;7.52;-0.36;-4.57%;7.88;7.88;7.37;3.632.600;2020-09-18
09/17/2020;7.88;-0.03;-0.38%;7.85;7.94;7.79;1.436.400;2020-09-17
09/16/2020;7.91;0.07;0.89%;7.88;7.91;7.81;935.900;2020-09-16
09/15/2020;7.84;-0.04;-0.51%;7.92;7.98;7.77;1.267.900;2020-09-15
09/14/2020;7.88;0.12;1.55%;7.80;7.93;7.74;983.100;2020-09-14
09/11/2020;7.76;-0.37;-4.55%;8.21;8.23;7.76;1.293.200;2020-09-11
09/10/2020;8.13;-0.25;-2.98%;8.38;8.42;8.03;1.120.700;2020-09-10
09/09/2020;8.38;0.00;0.0%;8.45;8.52;8.22;1.511.200;2020-09-09
09/08/2020;8.38;-0.10;-1.18%;8.47;8.66;8.34;1.691.300;2020-09-08
09/07/2020;8.48;0.00;+0.00%;8.35;8.49;8.18;0;2020-09-07
09/04/2020;8.48;0.13;1.56%;8.35;8.49;8.18;1.374.600;2020-09-04
09/03/2020;8.35;-0.02;-0.24%;8.37;8.63;8.30;2.918.100;2020-09-03
09/02/2020;8.37;0.39;4.89%;7.99;8.45;7.93;4.465.300;2020-09-02
09/01/2020;7.98;0.34;4.45%;7.67;7.98;7.62;1.158.600;2020-09-01
08/31/2020;7.64;-0.25;-3.17%;7.90;7.94;7.62;996.600;2020-08-31
08/28/2020;7.89;0.10;1.28%;7.85;7.90;7.76;518.800;2020-08-28
08/27/2020;7.79;0.05;0.65%;7.80;7.87;7.65;645.500;2020-08-27
08/26/2020;7.74;-0.14;-1.78%;7.84;7.94;7.65;903.200;2020-08-26
08/25/2020;7.88;-0.08;-1.01%;7.94;7.99;7.87;678.900;2020-08-25
08/24/2020;7.96;0.07;0.89%;7.92;8.10;7.76;2.401.200;2020-08-24
08/21/2020;7.89;0.00;+0.00%;7.43;7.89;7.40;0;2020-08-21
08/21/2020;7.89;0.49;6.62%;7.43;7.89;7.40;2.330.500;2020-08-21
08/20/2020;7.40;0.02;0.27%;7.28;7.44;7.21;3.131.600;2020-08-20
08/19/2020;7.38;-0.10;-1.34%;7.50;7.52;7.29;1.354.600;2020-08-19
08/18/2020;7.48;0.11;1.49%;7.51;7.53;7.41;1.599.600;2020-08-18
08/17/2020;7.37;-0.34;-4.41%;7.66;7.71;7.34;1.379.900;2020-08-17
08/14/2020;7.71;-0.07;-0.9%;7.78;7.81;7.58;740.800;2020-08-14
08/13/2020;7.78;0.07;0.91%;7.70;7.92;7.66;809.200;2020-08-13
08/12/2020;7.71;-0.32;-3.99%;8.06;8.06;7.63;2.061.700;2020-08-12
08/11/2020;8.03;0.17;2.16%;7.86;8.11;7.80;2.235.500;2020-08-11
08/10/2020;7.86;0.05;0.64%;7.83;7.86;7.74;999.300;2020-08-10
08/07/2020;7.81;0.00;0.0%;7.77;7.95;7.73;2.486.200;2020-08-07
08/06/2020;7.81;0.25;3.31%;7.57;7.81;7.51;1.017.200;2020-08-06
08/05/2020;7.56;0.04;0.53%;7.59;7.59;7.48;594.900;2020-08-05
08/04/2020;7.52;-0.01;-0.13%;7.48;7.54;7.29;1.504.700;2020-08-04
08/03/2020;7.53;-0.09;-1.18%;7.62;7.65;7.44;1.251.500;2020-08-03
07/31/2020;7.62;-0.08;-1.04%;7.71;7.71;7.52;1.508.000;2020-07-31
07/30/2020;7.70;0.04;0.52%;7.65;7.70;7.55;1.327.000;2020-07-30
07/29/2020;7.66;-0.03;-0.39%;7.70;7.73;7.61;870.000;2020-07-29
07/28/2020;7.69;-0.23;-2.9%;7.92;7.92;7.66;1.698.300;2020-07-28
07/27/2020;7.92;0.06;0.76%;7.86;7.93;7.73;1.874.400;2020-07-27
07/24/2020;7.86;0.10;1.29%;7.70;7.86;7.34;2.871.800;2020-07-24
07/23/2020;7.76;-0.24;-3.0%;7.93;8.01;7.71;1.548.800;2020-07-23
07/22/2020;8.00;-0.07;-0.87%;8.05;8.14;7.92;1.005.300;2020-07-22
07/21/2020;8.07;-0.05;-0.62%;8.19;8.30;8.01;1.507.700;2020-07-21
07/20/2020;8.12;0.12;1.5%;8.10;8.30;8.06;2.374.200;2020-07-20
07/17/2020;8.00;0.22;2.83%;7.82;8.03;7.77;1.847.400;2020-07-17
07/16/2020;7.78;-0.15;-1.89%;7.89;7.89;7.61;1.526.700;2020-07-16
07/15/2020;7.93;-0.02;-0.25%;8.10;8.10;7.86;1.478.000;2020-07-15
07/14/2020;7.95;-0.13;-1.61%;8.08;8.08;7.82;1.897.000;2020-07-14
07/13/2020;8.08;0.19;2.41%;8.00;8.27;8.00;3.899.500;2020-07-13
07/10/2020;7.89;0.02;0.25%;7.87;7.89;7.76;996.500;2020-07-10
07/09/2020;7.87;-0.03;-0.38%;7.93;7.93;7.78;812.700;2020-07-09
07/08/2020;7.90;0.15;1.94%;7.80;7.91;7.76;1.635.300;2020-07-08
07/07/2020;7.75;-0.17;-2.15%;7.92;7.93;7.68;1.427.200;2020-07-07
07/06/2020;7.92;0.17;2.19%;7.85;7.99;7.79;2.136.600;2020-07-06
07/03/2020;7.75;0.08;1.04%;7.76;7.76;7.59;853.200;2020-07-03
07/02/2020;7.67;-0.01;-0.13%;7.78;7.85;7.58;1.988.700;2020-07-02
07/01/2020;7.68;0.35;4.77%;7.39;7.68;7.29;2.947.700;2020-07-01
06/30/2020;7.33;-0.05;-0.68%;7.35;7.40;7.25;2.771.200;2020-06-30
06/29/2020;7.38;0.06;0.82%;7.31;7.38;7.16;1.058.400;2020-06-29
06/26/2020;7.32;-0.17;-2.27%;7.49;7.54;7.21;1.490.000;2020-06-26
06/25/2020;7.49;0.09;1.22%;7.43;7.49;7.29;1.346.900;2020-06-25
06/24/2020;7.40;-0.23;-3.01%;7.61;7.63;7.30;1.574.100;2020-06-24
06/23/2020;7.63;-0.11;-1.42%;7.80;7.85;7.57;1.285.500;2020-06-23
06/22/2020;7.74;0.04;0.52%;7.83;7.83;7.66;1.280.700;2020-06-22
06/19/2020;7.70;-0.08;-1.03%;7.83;7.89;7.70;1.760.300;2020-06-19
06/18/2020;7.78;0.07;0.91%;7.71;7.82;7.66;1.392.000;2020-06-18
06/17/2020;7.71;0.03;0.39%;7.64;7.76;7.57;1.221.600;2020-06-17
06/16/2020;7.68;0.01;0.13%;7.78;8.00;7.60;1.627.100;2020-06-16
06/15/2020;7.67;-0.16;-2.04%;7.59;7.72;7.39;1.625.400;2020-06-15
06/12/2020;7.83;-0.24;-2.97%;7.86;8.00;7.63;2.410.400;2020-06-12
06/11/2020;8.07;0.00;+0.00%;8.28;8.48;7.95;0;2020-06-11
06/10/2020;8.07;-0.19;-2.3%;8.28;8.48;7.95;2.748.600;2020-06-10
06/09/2020;8.26;-0.07;-0.84%;8.20;8.30;7.95;1.056.800;2020-06-09
06/08/2020;8.33;0.15;1.83%;8.18;8.40;8.18;1.735.600;2020-06-08
06/05/2020;8.18;0.05;0.62%;8.30;8.40;8.11;1.677.600;2020-06-05
06/04/2020;8.13;-0.12;-1.45%;8.25;8.39;8.02;1.775.500;2020-06-04
06/03/2020;8.25;0.55;7.14%;7.85;8.25;7.75;3.123.600;2020-06-03
06/02/2020;7.70;0.37;5.05%;7.38;7.70;7.31;3.178.800;2020-06-02
06/01/2020;7.33;0.07;0.96%;7.30;7.35;7.21;1.186.300;2020-06-01
05/29/2020;7.26;0.05;0.69%;7.21;7.37;7.11;3.248.900;2020-05-29
05/28/2020;7.21;0.01;0.14%;7.23;7.29;7.19;1.186.400;2020-05-28
05/27/2020;7.20;-0.01;-0.14%;7.14;7.31;7.09;1.920.200;2020-05-27
05/26/2020;7.21;0.31;4.49%;7.03;7.24;6.98;4.160.400;2020-05-26
05/25/2020;6.90;0.19;2.83%;6.91;7.10;6.89;1.607.500;2020-05-25
05/22/2020;6.71;-0.07;-1.03%;6.77;6.90;6.57;1.274.600;2020-05-22
05/21/2020;6.78;0.26;3.99%;6.52;6.80;6.48;2.005.100;2020-05-21
05/20/2020;6.52;-0.10;-1.51%;6.66;6.71;6.43;1.480.200;2020-05-20
05/19/2020;6.62;-0.18;-2.65%;6.75;6.85;6.62;1.518.400;2020-05-19
05/18/2020;6.80;0.49;7.77%;6.38;6.85;6.35;2.061.900;2020-05-18
05/15/2020;6.31;0.07;1.12%;6.10;6.46;6.07;1.795.100;2020-05-15
05/14/2020;6.24;0.10;1.63%;6.13;6.25;5.95;2.818.500;2020-05-14
05/13/2020;6.14;-0.25;-3.91%;6.39;6.39;5.97;2.394.200;2020-05-13
05/12/2020;6.39;-0.25;-3.77%;6.65;6.74;6.33;3.920.900;2020-05-12
05/11/2020;6.64;-0.08;-1.19%;6.72;6.83;6.64;1.303.200;2020-05-11
05/08/2020;6.72;0.08;1.2%;6.70;6.88;6.64;1.292.200;2020-05-08
05/07/2020;6.64;-0.21;-3.07%;6.95;7.10;6.60;2.655.800;2020-05-07
05/06/2020;6.85;-0.19;-2.7%;6.97;7.02;6.75;1.387.100;2020-05-06
