Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;7.18;0.10;1.41%;7.00;7.69;6.95;140.245.700;2020-09-25
09/24/2020;7.08;0.78;12.38%;6.60;7.30;6.41;128.481.700;2020-09-24
09/23/2020;6.30;0.55;9.57%;6.00;6.48;5.99;94.200.400;2020-09-23
09/22/2020;5.75;0.34;6.28%;5.40;5.79;5.35;33.648.400;2020-09-22
09/21/2020;5.41;-0.16;-2.87%;5.51;5.52;5.33;27.066.600;2020-09-21
09/18/2020;5.57;-0.36;-6.07%;5.93;5.93;5.56;29.544.800;2020-09-18
09/17/2020;5.93;0.00;0.0%;5.88;6.00;5.81;18.526.100;2020-09-17
09/16/2020;5.93;0.02;0.34%;5.96;6.02;5.90;19.682.400;2020-09-16
09/15/2020;5.91;-0.21;-3.43%;6.19;6.27;5.91;25.532.800;2020-09-15
09/14/2020;6.12;0.07;1.16%;6.09;6.18;5.94;29.627.000;2020-09-14
09/11/2020;6.05;-0.22;-3.51%;6.34;6.37;6.02;30.031.900;2020-09-11
09/10/2020;6.27;-0.22;-3.39%;6.50;6.65;6.26;32.068.200;2020-09-10
09/09/2020;6.49;-0.24;-3.57%;6.77;6.80;6.46;29.200.100;2020-09-09
09/08/2020;6.73;-0.18;-2.6%;6.86;6.86;6.68;20.059.300;2020-09-08
09/07/2020;6.91;0.00;+0.00%;6.91;7.04;6.66;0;2020-09-07
09/04/2020;6.91;0.07;1.02%;6.91;7.04;6.66;45.802.800;2020-09-04
09/03/2020;6.84;-0.18;-2.56%;7.03;7.16;6.82;28.111.900;2020-09-03
09/02/2020;7.02;0.04;0.57%;7.00;7.08;6.86;23.680.800;2020-09-02
09/01/2020;6.98;-0.14;-1.97%;7.20;7.23;6.91;32.354.200;2020-09-01
08/31/2020;7.12;-0.42;-5.57%;7.00;7.28;6.95;39.646.700;2020-08-31
08/28/2020;7.54;-0.05;-0.66%;7.64;7.70;7.44;20.512.600;2020-08-28
08/27/2020;7.59;-0.10;-1.3%;7.71;7.80;7.59;15.126.600;2020-08-27
08/26/2020;7.69;-0.27;-3.39%;8.14;8.19;7.62;35.643.500;2020-08-26
08/25/2020;7.96;0.07;0.89%;7.96;8.25;7.81;37.548.800;2020-08-25
08/24/2020;7.89;-0.32;-3.9%;8.12;8.20;7.75;42.807.900;2020-08-24
08/21/2020;8.21;0.00;+0.00%;7.32;8.25;7.27;0;2020-08-21
08/21/2020;8.21;0.90;12.31%;7.32;8.25;7.27;67.073.900;2020-08-21
08/20/2020;7.31;0.12;1.67%;7.05;7.35;7.00;21.008.000;2020-08-20
08/19/2020;7.19;-0.36;-4.77%;7.54;7.58;7.16;29.728.600;2020-08-19
08/18/2020;7.55;0.08;1.07%;7.60;7.64;7.43;15.273.800;2020-08-18
08/17/2020;7.47;-0.30;-3.86%;7.70;7.77;7.39;26.701.800;2020-08-17
08/14/2020;7.77;0.09;1.17%;7.75;7.88;7.58;23.942.800;2020-08-14
08/13/2020;7.68;-0.15;-1.92%;7.88;8.13;7.64;35.037.800;2020-08-13
08/12/2020;7.83;-0.28;-3.45%;8.20;8.29;7.75;41.269.500;2020-08-12
08/11/2020;8.11;0.48;6.29%;7.72;8.31;7.66;50.590.300;2020-08-11
08/10/2020;7.63;-0.13;-1.68%;7.83;7.83;7.58;23.411.800;2020-08-10
08/07/2020;7.76;-0.13;-1.65%;7.80;8.26;7.69;47.884.200;2020-08-07
08/06/2020;7.89;0.34;4.5%;7.58;7.90;7.47;28.872.400;2020-08-06
08/05/2020;7.55;-0.02;-0.26%;7.70;7.75;7.50;21.723.400;2020-08-05
08/04/2020;7.57;-0.13;-1.69%;7.62;8.02;7.45;36.820.900;2020-08-04
08/03/2020;7.70;-0.25;-3.14%;7.75;7.88;7.63;35.193.500;2020-08-03
07/31/2020;7.95;-0.12;-1.49%;8.12;8.27;7.95;29.898.700;2020-07-31
07/30/2020;8.07;-0.13;-1.59%;8.10;8.22;7.95;20.176.500;2020-07-30
07/29/2020;8.20;0.06;0.74%;8.05;8.32;8.05;20.074.400;2020-07-29
07/28/2020;8.14;-0.02;-0.25%;8.17;8.35;8.06;22.264.300;2020-07-28
07/27/2020;8.16;-0.20;-2.39%;8.46;8.55;8.05;29.796.200;2020-07-27
07/24/2020;8.36;0.52;6.63%;7.75;8.56;7.56;57.193.600;2020-07-24
07/23/2020;7.84;-0.33;-4.04%;8.17;8.23;7.82;32.632.800;2020-07-23
07/22/2020;8.17;-0.35;-4.11%;8.46;8.53;8.04;36.833.400;2020-07-22
07/21/2020;8.52;-0.32;-3.62%;8.89;8.89;8.44;35.105.300;2020-07-21
07/20/2020;8.84;-0.16;-1.78%;9.03;9.05;8.81;24.671.300;2020-07-20
07/17/2020;9.00;0.01;0.11%;9.04;9.14;8.96;25.447.700;2020-07-17
07/16/2020;8.99;-0.15;-1.64%;9.07;9.18;8.90;29.115.500;2020-07-16
07/15/2020;9.14;-0.16;-1.72%;9.55;9.58;9.05;37.041.200;2020-07-15
07/14/2020;9.30;-0.38;-3.93%;9.11;9.38;8.77;61.670.800;2020-07-14
07/13/2020;9.68;0.51;5.56%;9.31;10.40;9.30;84.284.800;2020-07-13
07/10/2020;9.17;-0.09;-0.97%;9.35;9.42;9.12;19.991.300;2020-07-10
07/09/2020;9.26;-0.05;-0.54%;8.40;9.45;8.31;86.144.200;2020-07-09
07/08/2020;9.31;-0.21;-2.21%;9.52;9.64;9.28;37.319.200;2020-07-08
07/07/2020;9.52;-0.01;-0.1%;9.40;9.72;9.26;34.611.400;2020-07-07
07/06/2020;9.53;-0.12;-1.24%;9.98;10.12;9.37;68.991.900;2020-07-06
07/03/2020;9.65;0.65;7.22%;8.65;9.70;8.32;127.618.700;2020-07-03
07/02/2020;9.00;-1.25;-12.2%;10.35;10.45;8.92;107.203.100;2020-07-02
07/01/2020;10.25;-0.53;-4.92%;10.40;10.73;10.02;91.662.700;2020-07-01
06/30/2020;10.78;-1.83;-14.51%;12.00;13.04;10.78;136.630.600;2020-06-30
06/29/2020;12.61;0.78;6.59%;12.34;12.77;12.20;63.596.300;2020-06-29
06/26/2020;11.83;0.48;4.23%;12.00;12.17;11.52;75.200.200;2020-06-26
06/25/2020;11.35;0.30;2.71%;11.16;11.48;10.67;52.447.900;2020-06-25
06/24/2020;11.05;-0.49;-4.25%;11.76;12.15;11.00;57.518.600;2020-06-24
06/23/2020;11.54;-0.63;-5.18%;12.65;13.09;11.33;99.750.900;2020-06-23
06/22/2020;12.17;1.80;17.36%;10.50;12.17;10.43;87.811.200;2020-06-22
06/19/2020;10.37;0.17;1.67%;10.54;10.58;10.16;27.925.200;2020-06-19
06/18/2020;10.20;0.09;0.89%;10.05;10.59;10.01;34.000.700;2020-06-18
06/17/2020;10.11;-0.08;-0.79%;10.26;10.56;9.96;36.090.700;2020-06-17
06/16/2020;10.19;-0.23;-2.21%;10.10;11.07;9.91;63.474.200;2020-06-16
06/15/2020;10.42;-1.01;-8.84%;10.74;11.18;9.91;79.862.100;2020-06-15
06/12/2020;11.43;-1.49;-11.53%;12.20;12.71;11.41;70.396.200;2020-06-12
06/11/2020;12.92;0.00;+0.00%;14.10;14.17;12.77;0;2020-06-11
06/10/2020;12.92;-0.23;-1.75%;14.10;14.17;12.77;65.398.500;2020-06-10
06/09/2020;13.15;1.30;10.97%;11.50;13.90;11.20;93.930.300;2020-06-09
06/08/2020;11.85;1.13;10.54%;11.00;11.85;10.85;55.030.300;2020-06-08
06/05/2020;10.72;0.22;2.1%;11.15;11.28;10.40;46.007.400;2020-06-05
06/04/2020;10.50;-0.46;-4.2%;11.32;11.77;10.21;85.587.900;2020-06-04
06/03/2020;10.96;2.36;27.44%;8.91;10.96;8.84;83.618.100;2020-06-03
06/02/2020;8.60;0.30;3.61%;8.38;8.76;8.37;32.125.200;2020-06-02
06/01/2020;8.30;-0.07;-0.84%;8.33;8.64;8.24;31.045.100;2020-06-01
05/29/2020;8.37;0.24;2.95%;8.04;8.38;7.84;40.388.000;2020-05-29
05/28/2020;8.13;0.48;6.27%;7.70;8.46;7.54;55.812.800;2020-05-28
05/27/2020;7.65;0.27;3.66%;7.45;7.73;7.23;38.535.800;2020-05-27
05/26/2020;7.38;-0.42;-5.38%;8.13;8.37;7.35;45.984.900;2020-05-26
05/25/2020;7.80;0.56;7.73%;7.00;7.94;6.96;52.147.300;2020-05-25
05/22/2020;7.24;0.05;0.7%;7.14;7.37;7.04;32.105.000;2020-05-22
05/21/2020;7.19;-0.45;-5.89%;7.64;7.66;6.97;50.701.200;2020-05-21
05/20/2020;7.64;0.56;7.91%;7.22;7.67;7.15;29.324.700;2020-05-20
05/19/2020;7.08;-0.32;-4.32%;7.23;7.68;7.04;33.055.800;2020-05-19
