Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;21.78;-0.05;-0.23%;21.77;21.88;21.50;812.500;2020-09-25
09/24/2020;21.83;0.31;1.44%;21.53;22.17;21.40;2.051.500;2020-09-24
09/23/2020;21.52;-0.42;-1.91%;21.94;22.02;21.51;333.300;2020-09-23
09/22/2020;21.94;0.07;0.32%;21.90;22.14;21.76;358.400;2020-09-22
09/21/2020;21.87;-0.14;-0.64%;21.70;21.88;21.45;449.400;2020-09-21
09/18/2020;22.01;-0.32;-1.43%;22.33;22.37;21.90;945.500;2020-09-18
09/17/2020;22.33;0.02;0.09%;22.30;22.53;22.16;263.300;2020-09-17
09/16/2020;22.31;-0.16;-0.71%;22.50;22.89;22.31;381.000;2020-09-16
09/15/2020;22.47;-0.24;-1.06%;22.85;22.85;22.43;269.400;2020-09-15
09/14/2020;22.71;0.30;1.34%;22.55;22.83;22.19;420.300;2020-09-14
09/11/2020;22.41;-0.31;-1.36%;22.85;22.94;22.28;346.000;2020-09-11
09/10/2020;22.72;-0.39;-1.69%;23.20;23.38;22.72;427.600;2020-09-10
09/09/2020;23.11;-0.13;-0.56%;23.43;23.52;23.04;265.800;2020-09-09
09/08/2020;23.24;-0.52;-2.19%;23.48;23.48;23.10;574.800;2020-09-08
09/07/2020;23.76;0.00;+0.00%;23.56;23.87;23.21;0;2020-09-07
09/04/2020;23.76;0.39;1.67%;23.56;23.87;23.21;1.170.600;2020-09-04
09/03/2020;23.37;0.30;1.3%;23.15;24.10;23.03;924.700;2020-09-03
09/02/2020;23.07;-0.09;-0.39%;23.18;23.29;22.90;330.600;2020-09-02
09/01/2020;23.16;0.60;2.66%;22.87;23.16;22.75;654.100;2020-09-01
08/31/2020;22.56;-0.67;-2.88%;23.22;23.23;22.56;752.600;2020-08-31
08/28/2020;23.23;0.24;1.04%;23.10;23.36;22.95;429.600;2020-08-28
08/27/2020;22.99;0.22;0.97%;22.88;23.42;22.77;615.900;2020-08-27
08/26/2020;22.77;-0.51;-2.19%;23.36;23.36;22.64;778.800;2020-08-26
08/25/2020;23.28;-0.09;-0.39%;23.50;23.68;23.11;591.700;2020-08-25
08/24/2020;23.37;0.31;1.34%;23.18;23.69;23.15;395.100;2020-08-24
08/21/2020;23.06;0.00;+0.00%;23.16;23.18;22.88;0;2020-08-21
08/21/2020;23.06;0.04;0.17%;23.16;23.18;22.88;370.300;2020-08-21
08/20/2020;23.02;-0.06;-0.26%;22.80;23.14;22.60;887.500;2020-08-20
08/19/2020;23.08;-0.09;-0.39%;23.20;23.37;23.04;478.100;2020-08-19
08/18/2020;23.17;0.24;1.05%;23.29;23.39;23.02;692.400;2020-08-18
08/17/2020;22.93;-0.47;-2.01%;23.40;23.58;22.84;642.700;2020-08-17
08/14/2020;23.40;0.00;0.0%;23.40;23.97;23.24;503.500;2020-08-14
08/13/2020;23.40;-0.65;-2.7%;24.11;24.25;23.40;609.300;2020-08-13
08/12/2020;24.05;-0.10;-0.41%;24.30;24.53;23.75;690.000;2020-08-12
08/11/2020;24.15;-0.18;-0.74%;24.65;24.70;24.15;307.700;2020-08-11
08/10/2020;24.33;0.27;1.12%;24.15;24.48;24.04;413.900;2020-08-10
08/07/2020;24.06;-0.44;-1.8%;24.25;24.86;23.95;569.300;2020-08-07
08/06/2020;24.50;0.40;1.66%;24.22;24.75;23.96;556.200;2020-08-06
08/05/2020;24.10;0.05;0.21%;24.30;24.60;23.92;404.800;2020-08-05
08/04/2020;24.05;-1.15;-4.56%;24.63;24.85;23.79;797.000;2020-08-04
08/03/2020;25.20;0.30;1.2%;25.35;25.52;24.55;470.100;2020-08-03
07/31/2020;24.90;-0.86;-3.34%;25.75;25.90;24.90;625.000;2020-07-31
07/30/2020;25.76;-0.33;-1.26%;26.00;26.00;25.33;413.200;2020-07-30
07/29/2020;26.09;0.47;1.83%;25.73;26.20;25.64;596.300;2020-07-29
07/28/2020;25.62;-0.03;-0.12%;25.65;26.00;25.45;453.100;2020-07-28
07/27/2020;25.65;0.90;3.64%;24.90;25.77;24.75;698.800;2020-07-27
07/24/2020;24.75;-0.12;-0.48%;24.87;25.09;24.42;356.600;2020-07-24
07/23/2020;24.87;-0.43;-1.7%;25.51;25.51;24.86;484.500;2020-07-23
07/22/2020;25.30;-0.29;-1.13%;25.60;25.79;25.03;507.200;2020-07-22
07/21/2020;25.59;0.24;0.95%;25.45;25.85;25.39;371.500;2020-07-21
07/20/2020;25.35;0.26;1.04%;25.09;25.44;24.97;325.200;2020-07-20
07/17/2020;25.09;0.10;0.4%;25.01;25.25;24.99;328.100;2020-07-17
07/16/2020;24.99;-0.37;-1.46%;24.92;25.19;24.92;320.900;2020-07-16
07/15/2020;25.36;0.15;0.6%;25.35;25.50;25.07;494.300;2020-07-15
07/14/2020;25.21;0.23;0.92%;25.10;25.21;24.61;648.100;2020-07-14
07/13/2020;24.98;-0.29;-1.15%;25.31;25.53;24.98;398.400;2020-07-13
07/10/2020;25.27;0.14;0.56%;25.13;25.29;24.75;455.100;2020-07-10
07/09/2020;25.13;-0.02;-0.08%;25.17;25.31;24.93;464.700;2020-07-09
07/08/2020;25.15;0.39;1.58%;24.85;25.25;24.69;608.400;2020-07-08
07/07/2020;24.76;-0.60;-2.37%;25.30;25.38;24.48;906.800;2020-07-07
07/06/2020;25.36;0.82;3.34%;24.81;25.54;24.81;598.300;2020-07-06
07/03/2020;24.54;-0.03;-0.12%;24.64;24.82;24.35;282.400;2020-07-03
07/02/2020;24.57;0.26;1.07%;24.66;25.31;24.57;927.100;2020-07-02
07/01/2020;24.31;0.31;1.29%;24.16;24.70;23.91;459.800;2020-07-01
06/30/2020;24.00;-0.73;-2.95%;24.73;24.73;24.00;438.000;2020-06-30
06/29/2020;24.73;0.62;2.57%;24.16;24.83;24.16;574.000;2020-06-29
06/26/2020;24.11;-0.58;-2.35%;24.52;24.80;24.11;649.600;2020-06-26
06/25/2020;24.69;0.14;0.57%;24.70;24.94;24.30;793.500;2020-06-25
06/24/2020;24.55;-0.54;-2.15%;25.11;25.15;24.20;1.303.300;2020-06-24
06/23/2020;25.09;-0.22;-0.87%;25.82;25.82;24.88;899.500;2020-06-23
06/22/2020;25.31;-1.08;-4.09%;26.06;26.32;25.21;2.104.000;2020-06-22
06/19/2020;26.39;1.24;4.93%;25.51;26.39;24.93;5.342.700;2020-06-19
06/18/2020;25.15;0.63;2.57%;24.45;25.67;24.44;1.550.800;2020-06-18
06/17/2020;24.52;0.22;0.91%;24.44;24.85;24.24;1.124.600;2020-06-17
06/16/2020;24.30;0.50;2.1%;24.34;24.73;24.07;1.254.200;2020-06-16
06/15/2020;23.80;-0.67;-2.74%;23.79;24.28;23.46;1.008.800;2020-06-15
06/12/2020;24.47;-0.64;-2.55%;24.08;24.85;23.36;1.054.400;2020-06-12
06/11/2020;25.11;0.00;+0.00%;26.30;26.32;24.95;0;2020-06-11
06/10/2020;25.11;-0.93;-3.57%;26.30;26.32;24.95;966.300;2020-06-10
06/09/2020;26.04;-0.27;-1.03%;26.20;26.27;25.36;1.141.200;2020-06-09
06/08/2020;26.31;0.58;2.25%;25.78;26.56;25.78;910.100;2020-06-08
06/05/2020;25.73;0.53;2.1%;26.25;26.72;25.46;1.599.100;2020-06-05
06/04/2020;25.20;0.70;2.86%;24.49;25.20;23.91;982.400;2020-06-04
06/03/2020;24.50;0.76;3.2%;24.50;24.75;24.23;1.460.800;2020-06-03
06/02/2020;23.74;1.19;5.28%;23.05;23.74;22.78;1.361.400;2020-06-02
06/01/2020;22.55;0.61;2.78%;21.97;22.74;21.61;1.907.100;2020-06-01
05/29/2020;21.94;-0.28;-1.26%;22.22;22.36;21.65;1.366.100;2020-05-29
05/28/2020;22.22;-0.52;-2.29%;22.70;22.85;22.21;756.300;2020-05-28
05/27/2020;22.74;0.84;3.84%;22.20;22.74;22.01;856.300;2020-05-27
05/26/2020;21.90;-0.78;-3.44%;22.80;23.15;21.77;1.303.100;2020-05-26
05/25/2020;22.68;1.04;4.81%;22.50;22.73;22.11;1.054.800;2020-05-25
05/22/2020;21.64;0.13;0.6%;21.58;22.07;21.07;1.266.500;2020-05-22
05/21/2020;21.51;0.76;3.66%;20.75;21.63;20.75;1.368.700;2020-05-21
05/20/2020;20.75;0.13;0.63%;20.95;20.95;20.52;841.900;2020-05-20
05/19/2020;20.62;-0.76;-3.55%;21.50;21.55;20.62;887.500;2020-05-19
05/18/2020;21.38;0.73;3.54%;21.36;21.67;20.83;793.600;2020-05-18
05/15/2020;20.65;-0.84;-3.91%;21.48;21.56;20.65;551.800;2020-05-15
05/14/2020;21.49;0.64;3.07%;20.59;21.49;20.04;1.482.100;2020-05-14
05/13/2020;20.85;-0.05;-0.24%;21.00;21.25;20.40;628.400;2020-05-13
05/12/2020;20.90;-0.81;-3.73%;21.71;21.81;20.88;749.800;2020-05-12
05/11/2020;21.71;0.37;1.73%;21.34;21.90;21.24;1.053.700;2020-05-11
05/08/2020;21.34;0.54;2.6%;20.80;21.90;20.80;943.000;2020-05-08
05/07/2020;20.80;-0.70;-3.26%;21.98;21.98;20.50;623.800;2020-05-07
05/06/2020;21.50;-0.30;-1.38%;21.99;21.99;21.40;1.020.900;2020-05-06
05/05/2020;21.80;0.70;3.32%;21.56;22.46;21.25;887.900;2020-05-05
05/04/2020;21.10;-0.90;-4.09%;21.38;21.41;21.10;742.400;2020-05-04
05/01/2020;22.00;0.00;+0.00%;22.17;22.41;21.95;0;2020-05-01
04/30/2020;22.00;-0.72;-3.17%;22.17;22.41;21.95;952.300;2020-04-30
04/29/2020;22.72;0.24;1.07%;22.65;23.23;22.48;611.100;2020-04-29
04/28/2020;22.48;1.75;8.44%;21.29;22.70;21.28;1.128.800;2020-04-28
