Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;22.92;-0.09;-0.39%;22.81;22.98;22.62;21.771.300;2020-09-25
09/24/2020;23.01;0.51;2.27%;22.50;23.34;22.42;40.036.100;2020-09-24
09/23/2020;22.50;-0.59;-2.56%;22.92;23.13;22.47;24.621.300;2020-09-23
09/22/2020;23.09;0.14;0.61%;22.85;23.31;22.76;27.268.300;2020-09-22
09/21/2020;22.95;-0.05;-0.22%;22.75;23.02;22.45;36.572.200;2020-09-21
09/18/2020;23.00;-0.71;-2.99%;23.50;23.62;23.00;39.088.400;2020-09-18
09/17/2020;23.71;0.02;0.08%;23.50;23.83;23.39;25.068.700;2020-09-17
09/16/2020;23.69;-0.07;-0.29%;23.76;24.22;23.64;25.625.200;2020-09-16
09/15/2020;23.76;-0.19;-0.79%;24.17;24.23;23.60;29.225.600;2020-09-15
09/14/2020;23.95;0.40;1.7%;23.79;24.22;23.32;43.488.900;2020-09-14
09/11/2020;23.55;-0.25;-1.05%;23.95;24.07;23.43;23.347.700;2020-09-11
09/10/2020;23.80;-0.61;-2.5%;24.40;24.66;23.80;36.321.500;2020-09-10
09/09/2020;24.41;-0.01;-0.04%;24.60;24.81;24.16;29.670.800;2020-09-09
09/08/2020;24.42;-0.37;-1.49%;24.56;24.77;24.27;29.238.000;2020-09-08
09/07/2020;24.79;0.00;+0.00%;25.16;25.29;24.55;0;2020-09-07
09/04/2020;24.79;-0.16;-0.64%;25.16;25.29;24.55;41.679.900;2020-09-04
09/03/2020;24.95;0.64;2.63%;24.20;25.50;24.16;81.001.700;2020-09-03
09/02/2020;24.31;-0.03;-0.12%;24.35;24.45;23.90;25.170.900;2020-09-02
09/01/2020;24.34;0.62;2.61%;23.87;24.36;23.73;56.182.800;2020-09-01
08/31/2020;23.72;-0.66;-2.71%;24.17;24.29;23.55;45.045.400;2020-08-31
08/28/2020;24.38;0.24;0.99%;24.30;24.56;24.15;56.136.100;2020-08-28
08/27/2020;24.14;0.44;1.86%;23.89;24.50;23.80;35.293.000;2020-08-27
08/26/2020;23.70;-0.56;-2.31%;24.30;24.36;23.51;30.643.300;2020-08-26
08/25/2020;24.26;-0.26;-1.06%;24.64;24.70;24.12;31.997.300;2020-08-25
08/24/2020;24.52;0.44;1.83%;24.25;24.83;24.23;33.449.000;2020-08-24
08/21/2020;24.08;0.00;+0.00%;23.91;24.24;23.81;0;2020-08-21
08/21/2020;24.08;-0.04;-0.17%;23.91;24.24;23.81;23.749.000;2020-08-21
08/20/2020;24.12;0.00;0.0%;23.70;24.24;23.54;33.264.500;2020-08-20
08/19/2020;24.12;-0.12;-0.5%;24.32;24.42;24.02;27.450.600;2020-08-19
08/18/2020;24.24;0.10;0.41%;24.62;24.64;24.05;41.973.500;2020-08-18
08/17/2020;24.14;-0.59;-2.39%;24.72;24.75;23.85;37.792.600;2020-08-17
08/14/2020;24.73;0.23;0.94%;24.57;25.21;24.37;30.640.600;2020-08-14
08/13/2020;24.50;-0.72;-2.85%;25.46;25.55;24.50;40.945.900;2020-08-13
08/12/2020;25.22;-0.29;-1.14%;25.69;25.86;24.91;49.561.800;2020-08-12
