index;Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume
0;09/24/2020;9,03;0,23;2,61%;8,85;9,16;8,80;26.227.400
1;09/23/2020;8,80;-0,18;-2,0%;8,94;9,01;8,80;23.778.100
2;09/22/2020;8,98;0,00;0,0%;9,00;9,09;8,91;23.300.500
3;09/21/2020;8,98;0,00;0,0%;8,89;9,00;8,79;38.461.700
4;09/18/2020;8,98;-0,27;-2,92%;9,21;9,23;8,98;36.580.000
5;09/17/2020;9,25;-0,03;-0,32%;9,20;9,33;9,15;28.859.700
6;09/16/2020;9,28;0,01;0,11%;9,30;9,44;9,23;28.857.300
7;09/15/2020;9,27;-0,12;-1,28%;9,49;9,49;9,24;28.980.600
8;09/14/2020;9,39;0,09;0,97%;9,39;9,45;9,23;17.436.600
9;09/11/2020;9,30;-0,15;-1,59%;9,48;9,49;9,22;25.654.800
10;09/10/2020;9,45;-0,22;-2,28%;9,67;9,72;9,40;26.779.600
11;09/09/2020;9,67;0,04;0,42%;9,70;9,78;9,62;16.523.600
12;09/08/2020;9,63;-0,12;-1,23%;9,65;9,72;9,57;22.789.500
13;09/07/2020;9,75;0,00;+0,00%;9,87;9,92;9,71;0
14;09/04/2020;9,75;-0,03;-0,31%;9,87;9,92;9,71;24.377.900
15;09/03/2020;9,78;0,14;1,45%;9,58;10,03;9,57;38.084.400
16;09/02/2020;9,64;-0,07;-0,72%;9,74;9,76;9,53;25.646.600
17;09/01/2020;9,71;0,22;2,32%;9,54;9,72;9,52;25.321.400
18;08/31/2020;9,49;-0,30;-3,06%;9,73;9,73;9,41;38.993.900
19;08/28/2020;9,79;0,08;0,82%;9,77;9,81;9,68;21.112.700
20;08/27/2020;9,71;0,14;1,46%;9,60;9,85;9,58;21.551.100
21;08/26/2020;9,57;-0,19;-1,95%;9,75;9,77;9,47;23.687.500
22;08/25/2020;9,76;-0,08;-0,81%;9,90;9,92;9,70;22.430.100
23;08/24/2020;9,84;0,11;1,13%;9,78;9,97;9,78;19.758.100
24;08/21/2020;9,73;0,00;+0,00%;9,65;9,73;9,59;0
25;08/21/2020;9,73;0,06;0,62%;9,65;9,73;9,59;22.341.100
26;08/20/2020;9,67;-0,06;-0,62%;9,58;9,75;9,52;32.092.300
27;08/19/2020;9,73;-0,07;-0,71%;9,85;9,86;9,73;22.613.800
28;08/18/2020;9,80;0,17;1,77%;9,83;9,85;9,71;30.128.900
29;08/17/2020;9,63;-0,30;-3,02%;9,89;9,91;9,56;35.809.300
30;08/14/2020;9,93;0,07;0,71%;9,91;10,05;9,84;21.939.200
31;08/13/2020;9,86;-0,25;-2,47%;10,17;10,25;9,85;33.293.200
32;08/12/2020;10,11;-0,09;-0,88%;10,26;10,28;9,97;36.326.400
33;08/11/2020;10,20;-0,14;-1,35%;10,42;10,47;10,20;18.034.400
34;08/10/2020;10,34;0,12;1,17%;10,25;10,42;10,16;21.631.800
35;08/07/2020;10,22;-0,10;-0,97%;10,20;10,49;10,13;34.845.300
36;08/06/2020;10,32;0,12;1,18%;10,22;10,38;10,14;24.075.900
37;08/05/2020;10,20;0,01;0,1%;10,34;10,39;10,06;36.073.000
38;08/04/2020;10,19;-0,58;-5,39%;10,41;10,59;10,13;44.234.900
39;08/03/2020;10,77;0,07;0,65%;10,73;10,90;10,53;26.011.100
40;07/31/2020;10,70;-0,26;-2,37%;10,96;10,97;10,61;34.401.100
41;07/30/2020;10,96;-0,14;-1,26%;10,97;11,03;10,76;34.549.800
42;07/29/2020;11,10;0,22;2,02%;11,07;11,16;10,91;25.267.100
43;07/28/2020;10,88;-0,16;-1,45%;10,95;11,10;10,83;27.149.600
44;07/27/2020;11,04;0,58;5,54%;10,47;11,09;10,44;46.561.900
45;07/24/2020;10,46;0,08;0,77%;10,33;10,61;10,22;39.649.300
46;07/23/2020;10,38;-0,15;-1,42%;10,53;10,58;10,35;29.955.600
47;07/22/2020;10,53;-0,01;-0,09%;10,57;10,74;10,42;67.799.300
48;07/21/2020;10,54;0,12;1,15%;10,50;10,63;10,47;26.798.100
49;07/20/2020;10,42;0,14;1,36%;10,30;10,48;10,22;28.905.900
50;07/17/2020;10,28;0,14;1,38%;10,19;10,33;10,16;20.885.300
51;07/16/2020;10,14;-0,12;-1,17%;10,20;10,25;10,13;13.499.100
52;07/15/2020;10,26;0,11;1,08%;10,25;10,35;10,18;20.323.100
53;07/14/2020;10,15;0,10;1,0%;10,05;10,18;9,95;19.129.900
54;07/13/2020;10,05;-0,15;-1,47%;10,25;10,32;10,03;20.869.000
55;07/10/2020;10,20;0,05;0,49%;10,15;10,26;10,07;16.070.300
56;07/09/2020;10,15;-0,03;-0,29%;10,19;10,24;10,07;23.126.900
57;07/08/2020;10,18;0,18;1,8%;10,08;10,22;10,04;22.038.600
58;07/07/2020;10,00;-0,36;-3,47%;10,28;10,31;9,97;43.404.900
59;07/06/2020;10,36;0,37;3,7%;10,18;10,39;10,11;25.844.600
60;07/03/2020;9,99;0,07;0,71%;9,95;10,04;9,84;10.581.700
61;07/02/2020;9,92;0,14;1,43%;9,94;10,19;9,91;30.019.900
62;07/01/2020;9,78;0,18;1,88%;9,67;9,87;9,64;25.626.700
63;06/30/2020;9,60;-0,31;-3,13%;9,80;9,85;9,58;38.928.400
64;06/29/2020;9,91;0,25;2,59%;9,74;9,92;9,66;44.612.700
