Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;90.62;1.42;1.59%;88.41;91.10;87.50;10.779.800;2020-09-25
09/24/2020;89.20;2.72;3.15%;86.90;89.79;85.70;12.112.500;2020-09-24
09/23/2020;86.48;-2.93;-3.28%;89.49;89.97;86.21;10.835.300;2020-09-23
09/22/2020;89.41;0.72;0.81%;89.60;90.18;87.50;13.186.700;2020-09-22
09/21/2020;88.69;1.69;1.94%;85.23;89.15;84.33;15.244.800;2020-09-21
09/18/2020;87.00;-0.12;-0.14%;87.60;89.55;86.04;15.117.100;2020-09-18
09/17/2020;87.12;-2.13;-2.39%;88.59;89.30;86.66;12.386.700;2020-09-17
09/16/2020;89.25;-0.33;-0.37%;89.82;90.90;88.63;9.244.900;2020-09-16
09/15/2020;89.58;-0.81;-0.9%;91.41;92.44;89.08;11.389.300;2020-09-15
09/14/2020;90.39;2.95;3.37%;89.20;91.87;89.00;12.471.200;2020-09-14
09/11/2020;87.44;-1.15;-1.3%;89.36;90.40;87.12;12.034.400;2020-09-11
09/10/2020;88.59;-2.78;-3.04%;91.38;93.69;87.00;16.484.100;2020-09-10
09/09/2020;91.37;3.98;4.55%;89.03;91.43;89.03;11.440.700;2020-09-09
09/08/2020;87.39;-1.15;-1.3%;87.05;89.51;85.50;11.322.600;2020-09-08
09/07/2020;88.54;0.00;+0.00%;89.45;90.44;83.47;0;2020-09-07
09/04/2020;88.54;0.24;0.27%;89.45;90.44;83.47;22.569.400;2020-09-04
09/03/2020;88.30;-5.55;-5.91%;93.81;94.30;87.20;21.280.200;2020-09-03
09/02/2020;93.85;-1.62;-1.7%;95.90;96.42;93.00;10.207.700;2020-09-02
09/01/2020;95.47;2.12;2.27%;94.20;96.25;93.67;8.807.100;2020-09-01
08/31/2020;93.35;-1.62;-1.71%;94.51;94.52;92.36;11.201.600;2020-08-31
08/28/2020;94.97;2.75;2.98%;92.50;94.99;91.90;9.884.200;2020-08-28
08/27/2020;92.22;2.07;2.3%;90.42;92.25;90.42;12.298.500;2020-08-27
08/26/2020;90.15;2.15;2.44%;88.11;91.50;87.96;17.315.300;2020-08-26
08/25/2020;88.00;0.70;0.8%;87.90;88.71;87.41;7.400.600;2020-08-25
08/24/2020;87.30;-0.05;-0.06%;88.18;89.08;86.61;7.841.100;2020-08-24
08/21/2020;87.35;0.00;+0.00%;86.96;88.70;86.40;0;2020-08-21
08/21/2020;87.35;0.00;0.0%;86.96;88.70;86.40;8.255.100;2020-08-21
08/20/2020;87.35;-2.35;-2.62%;88.16;88.27;86.15;13.690.400;2020-08-20
08/19/2020;89.70;0.20;0.22%;89.01;90.23;88.22;13.681.200;2020-08-19
08/18/2020;89.50;7.85;9.61%;85.50;89.80;84.01;31.981.500;2020-08-18
08/17/2020;81.65;-0.11;-0.13%;82.50;83.47;79.39;14.730.200;2020-08-17
08/14/2020;81.76;1.31;1.63%;80.61;82.43;80.20;10.659.700;2020-08-14
08/13/2020;80.45;0.39;0.49%;80.60;84.00;79.46;15.826.000;2020-08-13
08/12/2020;80.06;-0.93;-1.15%;81.31;82.13;79.20;11.036.100;2020-08-12
08/11/2020;80.99;-0.79;-0.97%;82.70;82.99;80.23;10.667.300;2020-08-11
08/10/2020;81.78;-3.70;-4.33%;86.18;86.30;81.12;15.319.400;2020-08-10
08/07/2020;85.48;-0.50;-0.58%;85.20;87.50;84.34;11.619.700;2020-08-07
08/06/2020;85.98;3.00;3.62%;84.00;86.19;83.50;11.019.800;2020-08-06
08/05/2020;82.98;0.58;0.7%;83.30;84.43;82.90;7.576.000;2020-08-05
