Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;16.81;-0.17;-1.0%;16.93;17.06;16.78;229.600;2020-09-25
09/24/2020;16.98;0.08;0.47%;17.00;17.20;16.77;288.800;2020-09-24
09/23/2020;16.90;-0.22;-1.29%;17.15;17.31;16.80;332.100;2020-09-23
09/22/2020;17.12;0.02;0.12%;17.10;17.32;16.93;311.600;2020-09-22
09/21/2020;17.10;-0.36;-2.06%;17.34;17.34;17.01;391.200;2020-09-21
09/18/2020;17.46;-0.56;-3.11%;18.01;18.01;17.42;449.200;2020-09-18
09/17/2020;18.02;-0.02;-0.11%;17.99;18.38;17.76;716.500;2020-09-17
09/16/2020;18.04;0.29;1.63%;17.76;18.06;17.72;346.500;2020-09-16
09/15/2020;17.75;-0.22;-1.22%;18.04;18.12;17.72;499.900;2020-09-15
09/14/2020;17.97;0.71;4.11%;17.35;17.97;17.26;397.400;2020-09-14
09/11/2020;17.26;-0.17;-0.98%;17.56;17.56;17.01;369.400;2020-09-11
09/10/2020;17.43;-0.23;-1.3%;17.74;17.93;17.24;378.600;2020-09-10
09/09/2020;17.66;-0.38;-2.11%;18.09;18.20;17.52;606.900;2020-09-09
09/08/2020;18.04;-0.01;-0.06%;18.00;18.29;17.82;596.700;2020-09-08
09/07/2020;18.05;0.00;+0.00%;17.56;18.05;17.46;0;2020-09-07
09/04/2020;18.05;0.45;2.56%;17.56;18.05;17.46;643.700;2020-09-04
09/03/2020;17.60;0.10;0.57%;17.50;18.26;17.32;704.600;2020-09-03
09/02/2020;17.50;0.81;4.85%;16.77;17.50;16.75;818.400;2020-09-02
09/01/2020;16.69;-0.28;-1.65%;17.05;17.21;16.69;1.504.800;2020-09-01
08/31/2020;16.97;-0.28;-1.62%;17.18;17.36;16.94;541.500;2020-08-31
08/28/2020;17.25;0.03;0.17%;17.22;17.41;17.05;447.300;2020-08-28
08/27/2020;17.22;-0.04;-0.23%;17.39;17.49;17.08;334.100;2020-08-27
08/26/2020;17.26;-0.22;-1.26%;17.45;17.58;17.00;457.600;2020-08-26
08/25/2020;17.48;0.00;0.0%;17.55;17.79;17.30;471.000;2020-08-25
08/24/2020;17.48;-0.26;-1.47%;17.91;17.93;17.42;309.800;2020-08-24
08/21/2020;17.74;0.00;+0.00%;17.24;17.74;17.10;0;2020-08-21
08/21/2020;17.74;0.50;2.9%;17.24;17.74;17.10;386.100;2020-08-21
08/20/2020;17.24;0.16;0.94%;16.95;17.39;16.81;572.000;2020-08-20
08/19/2020;17.08;-0.58;-3.28%;17.71;17.94;16.98;690.200;2020-08-19
08/18/2020;17.66;0.45;2.61%;17.54;18.09;17.29;546.800;2020-08-18
08/17/2020;17.21;-0.59;-3.31%;17.88;17.88;17.10;501.000;2020-08-17
08/14/2020;17.80;-0.09;-0.5%;17.90;18.13;17.63;356.400;2020-08-14
08/13/2020;17.89;-0.58;-3.14%;18.41;18.45;17.76;782.500;2020-08-13
08/12/2020;18.47;-0.52;-2.74%;19.00;19.23;18.26;463.200;2020-08-12
08/11/2020;18.99;0.39;2.1%;18.60;19.58;18.54;1.093.600;2020-08-11
08/10/2020;18.60;0.39;2.14%;18.41;18.79;17.95;716.000;2020-08-10
08/07/2020;18.21;-0.15;-0.82%;18.31;18.57;18.11;210.700;2020-08-07
