Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;20.89;-0.17;-0.81%;20.95;21.01;20.65;2.894.900;2020-09-25
09/24/2020;21.06;0.21;1.01%;20.95;21.40;20.81;5.244.700;2020-09-24
09/23/2020;20.85;-0.51;-2.39%;21.19;21.51;20.82;6.058.500;2020-09-23
09/22/2020;21.36;0.16;0.75%;21.25;21.77;21.17;7.337.200;2020-09-22
09/21/2020;21.20;-0.11;-0.52%;21.29;21.51;20.81;5.854.800;2020-09-21
09/18/2020;21.31;-0.85;-3.84%;21.91;21.98;21.28;7.551.100;2020-09-18
09/17/2020;22.16;0.21;0.96%;21.75;22.19;21.56;3.095.600;2020-09-17
09/16/2020;21.95;-0.12;-0.54%;22.20;22.49;21.94;6.854.100;2020-09-16
09/15/2020;22.07;-0.28;-1.25%;22.33;22.41;21.75;6.016.500;2020-09-15
09/14/2020;22.35;0.37;1.68%;22.14;22.62;22.07;5.786.300;2020-09-14
09/11/2020;21.98;-0.24;-1.08%;22.35;22.65;21.81;5.090.900;2020-09-11
09/10/2020;22.22;-0.78;-3.39%;22.99;23.23;22.21;6.576.600;2020-09-10
09/09/2020;23.00;0.16;0.7%;23.00;23.27;22.46;7.962.500;2020-09-09
09/08/2020;22.84;0.64;2.88%;21.88;23.00;21.85;10.093.300;2020-09-08
09/07/2020;22.20;0.00;+0.00%;22.00;22.65;21.74;0;2020-09-07
09/04/2020;22.20;0.18;0.82%;22.00;22.65;21.74;27.347.000;2020-09-04
09/03/2020;22.02;-0.13;-0.59%;22.05;22.50;21.78;7.842.900;2020-09-03
09/02/2020;22.15;-0.05;-0.23%;22.00;22.21;21.81;5.688.700;2020-09-02
09/01/2020;22.20;0.85;3.98%;21.52;22.36;21.49;7.807.600;2020-09-01
08/31/2020;21.35;-0.53;-2.42%;21.80;21.87;21.25;9.702.400;2020-08-31
08/28/2020;21.88;0.76;3.6%;21.15;22.19;21.07;9.253.100;2020-08-28
08/27/2020;21.12;-0.48;-2.22%;21.39;21.65;20.80;17.342.500;2020-08-27
08/26/2020;21.60;-0.72;-3.23%;22.32;22.58;21.55;6.741.600;2020-08-26
08/25/2020;22.32;0.02;0.09%;22.35;22.66;22.21;5.628.400;2020-08-25
08/24/2020;22.30;-0.26;-1.15%;22.57;22.98;22.30;6.100.600;2020-08-24
08/21/2020;22.56;0.00;+0.00%;21.70;22.56;21.62;0;2020-08-21
08/21/2020;22.56;0.79;3.63%;21.70;22.56;21.62;7.458.600;2020-08-21
08/20/2020;21.77;0.52;2.45%;20.99;21.96;20.78;5.930.200;2020-08-20
08/19/2020;21.25;-0.25;-1.16%;21.70;21.99;21.11;7.584.700;2020-08-19
08/18/2020;21.50;0.95;4.62%;20.80;21.54;20.76;6.060.200;2020-08-18
08/17/2020;20.55;-0.54;-2.56%;21.15;21.22;20.21;6.370.300;2020-08-17
08/14/2020;21.09;0.14;0.67%;21.01;21.27;20.65;6.379.100;2020-08-14
08/13/2020;20.95;-0.66;-3.05%;21.81;22.07;20.95;6.454.900;2020-08-13
08/12/2020;21.61;-0.20;-0.92%;22.10;22.68;21.24;9.670.700;2020-08-12
08/11/2020;21.81;-0.15;-0.68%;22.00;22.17;21.75;6.563.200;2020-08-11
08/10/2020;21.96;-0.10;-0.45%;22.23;22.23;21.72;3.956.700;2020-08-10
08/07/2020;22.06;-0.34;-1.52%;22.38;22.40;21.70;6.894.600;2020-08-07
08/06/2020;22.40;0.23;1.04%;22.15;22.49;22.03;4.921.900;2020-08-06
08/05/2020;22.17;0.60;2.78%;21.83;22.41;21.53;15.184.800;2020-08-05
08/04/2020;21.57;-0.30;-1.37%;21.69;21.82;21.10;7.280.000;2020-08-04
08/03/2020;21.87;-1.01;-4.41%;22.61;22.68;21.53;8.666.600;2020-08-03
07/31/2020;22.88;-0.28;-1.21%;23.19;23.34;22.57;7.707.300;2020-07-31
07/30/2020;23.16;-0.17;-0.73%;23.21;23.32;22.89;7.325.700;2020-07-30
07/29/2020;23.33;0.43;1.88%;23.18;23.71;23.02;7.077.200;2020-07-29
07/28/2020;22.90;-0.12;-0.52%;22.92;23.14;22.67;5.633.600;2020-07-28
07/27/2020;23.02;0.01;0.04%;22.95;23.52;22.90;4.492.100;2020-07-27
07/24/2020;23.01;-0.18;-0.78%;23.16;23.17;22.53;6.375.400;2020-07-24
07/23/2020;23.19;-0.54;-2.28%;23.74;23.84;22.92;5.541.400;2020-07-23
07/22/2020;23.73;-0.14;-0.59%;23.81;24.34;23.46;5.804.000;2020-07-22
07/21/2020;23.87;0.42;1.79%;23.77;24.05;23.39;6.822.700;2020-07-21
07/20/2020;23.45;-0.01;-0.04%;23.64;23.70;23.11;6.445.400;2020-07-20
07/17/2020;23.46;1.09;4.87%;22.47;23.76;22.47;8.378.100;2020-07-17
07/16/2020;22.37;-0.44;-1.93%;22.67;22.85;22.31;3.646.800;2020-07-16
07/15/2020;22.81;0.19;0.84%;23.00;23.08;22.46;5.681.400;2020-07-15
07/14/2020;22.62;0.74;3.38%;22.02;22.84;21.90;6.650.000;2020-07-14
07/13/2020;21.88;-0.72;-3.19%;22.72;22.86;21.83;3.680.500;2020-07-13
07/10/2020;22.60;-0.10;-0.44%;22.80;23.01;22.40;4.489.300;2020-07-10
07/09/2020;22.70;-0.20;-0.87%;22.90;23.09;22.45;5.245.500;2020-07-09
07/08/2020;22.90;0.60;2.69%;22.45;23.09;22.45;6.759.100;2020-07-08
07/07/2020;22.30;-0.19;-0.84%;22.34;22.64;22.20;5.118.700;2020-07-07
07/06/2020;22.49;0.17;0.76%;22.56;22.86;22.24;7.790.000;2020-07-06
07/03/2020;22.32;0.34;1.55%;22.05;22.36;21.62;5.952.000;2020-07-03
07/02/2020;21.98;0.15;0.69%;22.40;22.55;21.83;9.374.400;2020-07-02
07/01/2020;21.83;0.42;1.96%;21.79;22.19;21.50;8.687.600;2020-07-01
06/30/2020;21.41;0.01;0.05%;21.22;22.10;21.10;9.200.300;2020-06-30
06/29/2020;21.40;0.12;0.56%;21.50;21.63;20.87;5.989.700;2020-06-29
06/26/2020;21.28;-0.82;-3.71%;21.85;22.00;21.10;5.696.500;2020-06-26
06/25/2020;22.10;0.68;3.17%;21.68;22.11;21.35;16.949.400;2020-06-25
06/24/2020;21.42;-0.18;-0.83%;21.60;22.00;21.06;8.191.000;2020-06-24
06/23/2020;21.60;-0.24;-1.1%;22.08;22.33;21.56;9.379.000;2020-06-23
06/22/2020;21.84;-0.53;-2.37%;22.35;22.60;21.73;7.380.100;2020-06-22
06/19/2020;22.37;-0.53;-2.31%;23.46;23.47;22.20;14.360.600;2020-06-19
