Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;20.14;-0.22;-1.08%;20.15;20.26;19.87;40.150.400;2020-09-25
09/24/2020;20.36;0.13;0.64%;20.24;20.71;20.06;76.310.000;2020-09-24
09/23/2020;20.23;-0.58;-2.79%;20.80;20.96;20.20;57.106.300;2020-09-23
09/22/2020;20.81;-0.09;-0.43%;20.96;21.35;20.75;47.207.700;2020-09-22
09/21/2020;20.90;-0.68;-3.15%;21.29;21.46;20.81;73.300.000;2020-09-21
09/18/2020;21.58;-0.59;-2.66%;21.99;22.15;21.55;64.243.500;2020-09-18
09/17/2020;22.17;0.50;2.31%;21.51;22.17;21.46;60.432.200;2020-09-17
09/16/2020;21.67;0.00;0.0%;21.85;21.99;21.60;50.379.500;2020-09-16
09/15/2020;21.67;-0.01;-0.05%;21.98;22.08;21.55;58.546.700;2020-09-15
09/14/2020;21.68;-0.16;-0.73%;21.94;21.98;21.43;46.453.300;2020-09-14
09/11/2020;21.84;-0.22;-1.0%;22.12;22.26;21.75;71.013.700;2020-09-11
09/10/2020;22.06;-0.60;-2.65%;22.58;22.58;22.06;58.350.000;2020-09-10
09/09/2020;22.66;0.39;1.75%;22.49;22.77;22.49;42.143.500;2020-09-09
09/08/2020;22.27;-0.58;-2.54%;22.50;22.50;21.91;74.490.200;2020-09-08
09/07/2020;22.85;0.00;+0.00%;23.00;23.03;22.58;0;2020-09-07
09/04/2020;22.85;-0.01;-0.04%;23.00;23.03;22.58;52.351.100;2020-09-04
09/03/2020;22.86;-0.02;-0.09%;22.61;23.12;22.57;87.642.400;2020-09-03
09/02/2020;22.88;0.07;0.31%;22.93;23.10;22.52;53.618.000;2020-09-02
09/01/2020;22.81;0.87;3.97%;22.20;22.89;22.12;66.299.700;2020-09-01
08/31/2020;21.94;-0.54;-2.4%;22.32;22.43;21.88;48.539.700;2020-08-31
08/28/2020;22.48;0.36;1.63%;22.25;22.54;22.06;31.071.000;2020-08-28
08/27/2020;22.12;-0.09;-0.41%;22.32;22.47;22.04;35.489.800;2020-08-27
08/26/2020;22.21;-0.63;-2.76%;22.78;22.90;22.04;69.925.300;2020-08-26
08/25/2020;22.84;-0.16;-0.7%;23.09;23.15;22.69;37.981.400;2020-08-25
08/24/2020;23.00;0.44;1.95%;22.86;23.13;22.80;51.841.900;2020-08-24
08/21/2020;22.56;0.00;+0.00%;22.54;22.63;22.35;0;2020-08-21
08/21/2020;22.56;-0.17;-0.75%;22.54;22.63;22.35;38.668.300;2020-08-21
08/20/2020;22.73;-0.16;-0.7%;22.52;22.87;22.35;55.251.700;2020-08-20
08/19/2020;22.89;-0.13;-0.56%;22.95;23.32;22.75;51.982.100;2020-08-19
08/18/2020;23.02;0.42;1.86%;22.93;23.24;22.77;49.361.300;2020-08-18
08/17/2020;22.60;-0.07;-0.31%;22.68;22.84;22.15;52.064.300;2020-08-17
08/14/2020;22.67;-0.17;-0.74%;22.77;22.98;22.53;38.422.000;2020-08-14
08/13/2020;22.84;-0.64;-2.73%;23.45;23.58;22.71;44.588.200;2020-08-13
08/12/2020;23.48;0.40;1.73%;23.36;23.68;23.08;67.008.500;2020-08-12
08/11/2020;23.08;-0.25;-1.07%;23.71;23.88;23.06;66.342.300;2020-08-11
08/10/2020;23.33;0.53;2.32%;22.90;23.45;22.64;52.390.100;2020-08-10
08/07/2020;22.80;-0.32;-1.38%;22.86;22.91;22.55;56.040.200;2020-08-07
08/06/2020;23.12;-0.08;-0.34%;23.28;23.53;23.01;56.375.100;2020-08-06
08/05/2020;23.20;1.40;6.42%;22.23;23.28;22.23;137.214.700;2020-08-05
08/04/2020;21.80;0.04;0.18%;21.46;22.05;21.25;63.011.900;2020-08-04
08/03/2020;21.76;-0.52;-2.33%;22.54;22.55;21.72;63.598.500;2020-08-03
07/31/2020;22.28;-0.61;-2.66%;22.92;23.14;22.16;75.397.300;2020-07-31
07/30/2020;22.89;-0.27;-1.17%;22.92;22.92;22.50;57.859.000;2020-07-30
07/29/2020;23.16;0.35;1.53%;23.03;23.25;22.92;44.011.500;2020-07-29
07/28/2020;22.81;-0.39;-1.68%;23.04;23.32;22.80;48.353.000;2020-07-28
07/27/2020;23.20;0.37;1.62%;22.87;23.25;22.45;56.539.600;2020-07-27
07/24/2020;22.83;0.24;1.06%;22.54;23.06;22.42;43.380.300;2020-07-24
07/23/2020;22.59;-0.52;-2.25%;23.16;23.23;22.54;64.072.100;2020-07-23
07/22/2020;23.11;-0.13;-0.56%;23.30;23.41;23.01;43.085.500;2020-07-22
07/21/2020;23.24;0.48;2.11%;23.15;23.60;23.14;101.769.600;2020-07-21
07/20/2020;22.76;-0.02;-0.09%;22.70;22.91;22.52;48.679.800;2020-07-20
07/17/2020;22.78;-0.01;-0.04%;22.83;23.03;22.58;49.927.600;2020-07-17
07/16/2020;22.79;-0.55;-2.36%;23.16;23.28;22.52;69.698.700;2020-07-16
07/15/2020;23.34;0.49;2.14%;23.20;23.43;22.85;58.390.600;2020-07-15
07/14/2020;22.85;0.70;3.16%;22.13;22.96;21.86;89.380.500;2020-07-14
07/13/2020;22.15;-0.27;-1.2%;22.61;22.65;22.13;55.425.500;2020-07-13
07/10/2020;22.42;0.21;0.95%;22.19;22.65;22.06;57.428.300;2020-07-10
07/09/2020;22.21;-0.44;-1.94%;22.78;22.81;22.06;57.151.500;2020-07-09
07/08/2020;22.65;0.39;1.75%;22.45;22.76;22.40;49.136.300;2020-07-08
07/07/2020;22.26;-0.17;-0.76%;22.34;22.47;22.14;46.591.300;2020-07-07
07/06/2020;22.43;0.43;1.95%;22.39;22.86;22.31;58.070.900;2020-07-06
07/03/2020;22.00;-0.10;-0.45%;21.95;22.18;21.80;24.060.000;2020-07-03
07/02/2020;22.10;0.44;2.03%;22.10;22.21;21.86;56.345.900;2020-07-02
07/01/2020;21.66;0.16;0.74%;21.75;22.25;21.52;78.983.900;2020-07-01
06/30/2020;21.50;-0.16;-0.74%;21.34;21.80;21.09;65.010.600;2020-06-30
06/29/2020;21.66;0.84;4.03%;21.10;21.68;20.93;59.809.600;2020-06-29
06/26/2020;20.82;-0.56;-2.62%;21.21;21.47;20.78;55.499.300;2020-06-26
06/25/2020;21.38;0.35;1.66%;20.91;21.50;20.73;47.263.500;2020-06-25
06/24/2020;21.03;-0.66;-3.04%;21.49;21.56;20.71;65.162.400;2020-06-24
06/23/2020;21.69;0.77;3.68%;21.22;22.07;21.14;78.950.900;2020-06-23
06/22/2020;20.92;-0.38;-1.78%;21.60;21.60;20.90;45.419.000;2020-06-22
06/19/2020;21.30;-0.29;-1.34%;22.00;22.22;21.22;91.139.800;2020-06-19
06/18/2020;21.59;0.14;0.65%;21.18;21.77;21.08;56.893.300;2020-06-18
06/17/2020;21.45;0.09;0.42%;21.48;21.85;21.15;63.268.700;2020-06-17
06/16/2020;21.36;0.65;3.14%;21.56;21.91;21.17;94.510.600;2020-06-16
06/15/2020;20.71;0.14;0.68%;19.81;21.09;19.54;99.931.000;2020-06-15
06/12/2020;20.57;-0.73;-3.43%;20.62;21.17;20.10;116.746.700;2020-06-12
06/11/2020;21.30;0.00;+0.00%;21.89;21.90;21.00;0;2020-06-11
06/10/2020;21.30;-0.48;-2.2%;21.89;21.90;21.00;102.551.100;2020-06-10
06/09/2020;21.78;-0.72;-3.2%;22.03;22.04;21.64;96.488.300;2020-06-09
06/08/2020;22.50;0.48;2.18%;22.55;22.59;22.01;82.444.400;2020-06-08
06/05/2020;22.02;0.50;2.32%;22.29;23.03;22.02;114.137.700;2020-06-05
06/04/2020;21.52;0.03;0.14%;21.39;21.78;21.04;107.401.400;2020-06-04
06/03/2020;21.49;0.04;0.19%;21.86;21.91;21.40;86.219.700;2020-06-03
06/02/2020;21.45;1.09;5.35%;20.75;21.50;20.60;77.235.100;2020-06-02
06/01/2020;20.36;-0.08;-0.39%;20.15;20.56;20.00;86.579.500;2020-06-01
05/29/2020;20.44;0.71;3.6%;19.55;20.45;19.30;128.832.600;2020-05-29
05/28/2020;19.73;-0.16;-0.8%;19.69;20.08;19.45;65.023.000;2020-05-28
05/27/2020;19.89;0.13;0.66%;19.80;19.94;19.15;74.790.800;2020-05-27
05/26/2020;19.76;0.21;1.07%;19.98;20.09;19.33;68.716.900;2020-05-26
05/25/2020;19.55;0.51;2.68%;19.48;19.56;19.26;38.033.000;2020-05-25
05/22/2020;19.04;-0.17;-0.88%;18.80;19.04;18.35;71.259.400;2020-05-22
05/21/2020;19.21;-0.17;-0.88%;19.50;19.77;19.07;81.327.000;2020-05-21
05/20/2020;19.38;0.60;3.19%;19.09;19.44;19.06;74.595.100;2020-05-20
05/19/2020;18.78;0.24;1.29%;18.51;18.93;18.41;80.131.600;2020-05-19
05/18/2020;18.54;1.39;8.1%;18.10;18.55;17.92;116.999.500;2020-05-18
05/15/2020;17.15;-0.53;-3.0%;17.99;18.19;17.15;133.733.100;2020-05-15
05/14/2020;17.68;-0.05;-0.28%;17.40;17.70;16.72;119.653.200;2020-05-14
05/13/2020;17.73;-0.30;-1.66%;18.26;18.35;17.52;87.222.300;2020-05-13
05/12/2020;18.03;-0.12;-0.66%;18.53;18.83;18.00;71.837.200;2020-05-12
05/11/2020;18.15;-0.45;-2.42%;18.30;18.93;18.11;65.061.500;2020-05-11
05/08/2020;18.60;1.14;6.53%;17.74;18.60;17.71;83.232.700;2020-05-08
05/07/2020;17.46;0.22;1.28%;17.75;17.87;17.35;81.265.100;2020-05-07
05/06/2020;17.24;-0.79;-4.38%;17.87;18.06;17.20;67.937.500;2020-05-06
05/05/2020;18.03;0.58;3.32%;17.90;18.48;17.87;75.043.400;2020-05-05
05/04/2020;17.45;-0.56;-3.11%;17.43;17.62;17.18;60.268.400;2020-05-04
05/01/2020;18.01;0.00;+0.00%;17.98;18.42;17.70;0;2020-05-01
04/30/2020;18.01;-0.27;-1.48%;17.98;18.42;17.70;80.263.900;2020-04-30
04/29/2020;18.28;1.10;6.4%;17.80;18.48;17.53;94.528.400;2020-04-29
04/28/2020;17.18;0.82;5.01%;17.04;17.25;16.63;91.613.600;2020-04-28
04/27/2020;16.36;0.16;0.99%;16.14;16.53;15.78;85.944.900;2020-04-27
04/24/2020;16.20;-0.70;-4.14%;16.69;16.79;15.28;161.188.800;2020-04-24
04/23/2020;16.90;0.15;0.9%;17.20;17.43;16.62;94.759.000;2020-04-23
04/22/2020;16.75;0.76;4.75%;15.85;16.75;15.78;114.967.100;2020-04-22
04/21/2020;15.99;0.00;+0.00%;15.48;16.33;15.34;0;2020-04-21
04/20/2020;15.99;-0.12;-0.74%;15.48;16.33;15.34;133.739.400;2020-04-20
04/17/2020;16.11;0.28;1.77%;15.75;16.15;15.56;116.733.000;2020-04-17
04/16/2020;15.83;-0.63;-3.83%;16.67;16.76;15.53;115.633.300;2020-04-16
04/15/2020;16.46;-0.32;-1.91%;16.04;16.47;15.86;86.749.600;2020-04-15
04/14/2020;16.78;-0.12;-0.71%;17.02;17.30;16.61;91.017.200;2020-04-14
04/13/2020;16.90;0.02;0.12%;16.82;17.09;16.33;93.724.000;2020-04-13
04/10/2020;16.88;0.00;+0.00%;17.94;18.69;16.50;0;2020-04-10
04/09/2020;16.88;-0.61;-3.49%;17.94;18.69;16.50;185.771.300;2020-04-09
04/08/2020;17.49;1.02;6.19%;16.50;17.53;16.40;116.151.600;2020-04-08
04/07/2020;16.47;0.66;4.17%;16.61;17.07;16.34;140.498.900;2020-04-07
04/06/2020;15.81;0.53;3.47%;16.05;16.10;15.18;123.934.200;2020-04-06
04/03/2020;15.28;-0.24;-1.55%;16.30;16.36;14.93;142.898.700;2020-04-03
04/02/2020;15.52;1.12;7.78%;15.40;16.55;15.01;234.951.200;2020-04-02
04/01/2020;14.40;0.50;3.6%;13.45;14.55;13.32;114.455.000;2020-04-01
03/31/2020;13.90;0.41;3.04%;13.60;14.54;13.60;156.116.500;2020-03-31
