Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;35.51;-1.14;-3.11%;36.33;36.33;35.02;2.176.000;2020-09-25
09/24/2020;36.65;1.80;5.16%;34.85;37.17;34.32;3.233.300;2020-09-24
09/23/2020;34.85;-1.65;-4.52%;36.42;36.69;34.80;2.128.200;2020-09-23
09/22/2020;36.50;-0.68;-1.83%;37.21;37.53;36.37;1.475.900;2020-09-22
09/21/2020;37.18;-0.68;-1.8%;37.00;37.84;36.24;1.785.600;2020-09-21
09/18/2020;37.86;-1.34;-3.42%;38.81;39.80;37.53;2.380.200;2020-09-18
09/17/2020;39.20;0.51;1.32%;38.51;39.53;38.10;2.092.900;2020-09-17
09/16/2020;38.69;-0.31;-0.79%;39.62;39.70;38.69;2.083.000;2020-09-16
09/15/2020;39.00;-0.01;-0.03%;39.37;39.89;38.80;2.243.600;2020-09-15
09/14/2020;39.01;-0.31;-0.79%;39.62;39.90;38.80;2.073.400;2020-09-14
09/11/2020;39.32;-0.21;-0.53%;39.59;40.23;38.51;3.370.400;2020-09-11
09/10/2020;39.53;-1.76;-4.26%;41.21;41.35;39.34;3.439.400;2020-09-10
09/09/2020;41.29;-0.21;-0.51%;42.27;42.63;41.20;3.233.300;2020-09-09
09/08/2020;41.50;-2.48;-5.64%;42.50;43.00;40.52;5.736.200;2020-09-08
09/07/2020;43.98;0.00;+0.00%;43.28;45.09;41.50;0;2020-09-07
09/04/2020;43.98;0.43;0.99%;43.28;45.09;41.50;9.905.000;2020-09-04
09/03/2020;43.55;0.17;0.39%;42.84;44.14;42.62;4.182.500;2020-09-03
09/02/2020;43.38;-0.47;-1.07%;44.32;44.60;42.52;3.654.200;2020-09-02
09/01/2020;43.85;2.23;5.36%;42.30;44.20;41.41;4.335.300;2020-09-01
08/31/2020;41.62;-1.43;-3.32%;43.10;43.40;41.50;2.278.000;2020-08-31
08/28/2020;43.05;-0.05;-0.12%;44.10;44.24;42.66;2.355.900;2020-08-28
08/27/2020;43.10;-0.60;-1.37%;43.83;44.40;42.82;1.840.200;2020-08-27
08/26/2020;43.70;-0.50;-1.13%;44.30;44.69;43.07;2.198.500;2020-08-26
08/25/2020;44.20;-0.01;-0.02%;44.84;45.12;43.91;2.158.500;2020-08-25
08/24/2020;44.21;-0.56;-1.25%;45.55;46.00;43.85;2.658.900;2020-08-24
08/21/2020;44.77;0.00;+0.00%;45.96;46.25;44.31;0;2020-08-21
08/21/2020;44.77;-1.12;-2.44%;45.96;46.25;44.31;3.080.200;2020-08-21
08/20/2020;45.89;-0.82;-1.76%;45.55;47.72;45.15;3.926.000;2020-08-20
08/19/2020;46.71;2.66;6.04%;44.49;47.31;44.22;6.361.600;2020-08-19
08/18/2020;44.05;1.98;4.71%;43.03;44.14;42.63;2.673.600;2020-08-18
08/17/2020;42.07;-1.02;-2.37%;42.61;43.71;40.86;2.376.800;2020-08-17
08/14/2020;43.09;-0.49;-1.12%;43.70;44.05;42.43;1.932.300;2020-08-14
08/13/2020;43.58;-0.82;-1.85%;44.40;45.08;43.10;2.331.300;2020-08-13
08/12/2020;44.40;0.60;1.37%;44.50;44.78;42.85;2.691.300;2020-08-12
08/11/2020;43.80;-1.60;-3.52%;46.39;46.76;43.53;3.215.000;2020-08-11
08/10/2020;45.40;1.77;4.06%;43.89;46.01;43.64;4.341.200;2020-08-10
08/07/2020;43.63;1.37;3.24%;42.03;44.00;41.40;3.731.700;2020-08-07
08/06/2020;42.26;-1.14;-2.63%;43.40;43.92;42.00;3.620.900;2020-08-06
08/05/2020;43.40;5.05;13.17%;39.20;43.87;39.15;9.607.400;2020-08-05
08/04/2020;38.35;-0.97;-2.47%;38.50;39.73;38.24;2.325.900;2020-08-04
08/03/2020;39.32;-0.10;-0.25%;39.81;40.03;39.00;1.694.500;2020-08-03
07/31/2020;39.42;-0.28;-0.71%;39.85;40.20;38.66;2.235.400;2020-07-31
07/30/2020;39.70;0.39;0.99%;38.82;39.85;38.07;2.047.000;2020-07-30
07/29/2020;39.31;0.07;0.18%;39.90;40.30;39.26;1.675.500;2020-07-29
07/28/2020;39.24;-0.86;-2.14%;40.14;40.93;39.05;2.663.200;2020-07-28
07/27/2020;40.10;1.80;4.7%;38.79;40.39;38.55;2.568.300;2020-07-27
07/24/2020;38.30;-1.15;-2.92%;39.30;39.34;37.83;2.738.400;2020-07-24
07/23/2020;39.45;-0.96;-2.38%;40.59;41.15;38.69;2.702.100;2020-07-23
07/22/2020;40.41;-0.69;-1.68%;41.10;41.10;39.80;2.599.100;2020-07-22
07/21/2020;41.10;0.77;1.91%;41.14;42.20;40.64;4.706.000;2020-07-21
07/20/2020;40.33;1.08;2.75%;39.27;40.63;39.25;2.988.800;2020-07-20
07/17/2020;39.25;-0.50;-1.26%;40.05;40.70;38.96;4.394.900;2020-07-17
07/16/2020;39.75;-0.28;-0.7%;39.80;40.70;39.53;1.811.100;2020-07-16
07/15/2020;40.03;-0.07;-0.17%;40.79;41.08;39.50;3.302.700;2020-07-15
