Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;49.17;-0.08;-0.16%;49.10;49.43;48.58;411.100;2020-09-25
09/24/2020;49.25;0.00;0.0%;49.28;49.92;48.89;1.139.400;2020-09-24
09/23/2020;49.25;-0.36;-0.73%;49.60;49.95;49.01;445.400;2020-09-23
09/22/2020;49.61;0.25;0.51%;49.43;49.85;48.80;553.000;2020-09-22
09/21/2020;49.36;-0.94;-1.87%;49.99;49.99;48.70;844.100;2020-09-21
09/18/2020;50.30;-1.15;-2.24%;51.26;51.41;50.22;741.300;2020-09-18
09/17/2020;51.45;0.58;1.14%;50.93;51.67;50.80;412.100;2020-09-17
09/16/2020;50.87;-0.57;-1.11%;51.60;51.87;50.87;417.000;2020-09-16
09/15/2020;51.44;-0.30;-0.58%;52.00;52.02;51.15;328.400;2020-09-15
09/14/2020;51.74;1.04;2.05%;50.99;52.00;50.41;850.700;2020-09-14
09/11/2020;50.70;-0.70;-1.36%;51.71;51.73;50.35;1.191.800;2020-09-11
09/10/2020;51.40;-1.43;-2.71%;52.85;53.03;51.40;655.900;2020-09-10
09/09/2020;52.83;0.48;0.92%;52.62;52.87;51.96;802.600;2020-09-09
09/08/2020;52.35;-1.24;-2.31%;53.59;53.59;51.95;1.234.500;2020-09-08
09/07/2020;53.59;0.00;+0.00%;53.41;54.04;52.77;0;2020-09-07
09/04/2020;53.59;0.24;0.45%;53.41;54.04;52.77;884.500;2020-09-04
09/03/2020;53.35;-0.67;-1.24%;53.98;54.58;52.91;937.100;2020-09-03
09/02/2020;54.02;0.71;1.33%;53.75;54.10;53.11;805.300;2020-09-02
09/01/2020;53.31;0.51;0.97%;53.13;53.80;52.64;1.648.600;2020-09-01
08/31/2020;52.80;-3.19;-5.7%;55.57;55.74;52.80;2.300.900;2020-08-31
08/28/2020;55.99;0.66;1.19%;55.33;56.12;54.95;1.158.100;2020-08-28
08/27/2020;55.33;-0.71;-1.27%;56.20;56.31;54.64;1.024.000;2020-08-27
08/26/2020;56.04;-0.76;-1.34%;56.79;56.98;55.57;1.231.400;2020-08-26
08/25/2020;56.80;0.39;0.69%;56.41;57.74;56.41;1.578.300;2020-08-25
08/24/2020;56.41;-0.18;-0.32%;57.00;57.04;56.00;1.004.800;2020-08-24
08/21/2020;56.59;0.00;+0.00%;56.98;57.30;56.38;0;2020-08-21
08/21/2020;56.59;-0.21;-0.37%;56.98;57.30;56.38;749.900;2020-08-21
08/20/2020;56.80;0.60;1.07%;55.79;57.61;55.21;1.052.200;2020-08-20
08/19/2020;56.20;-0.45;-0.79%;56.79;57.24;56.05;878.900;2020-08-19
08/18/2020;56.65;1.66;3.02%;55.68;57.30;55.19;1.683.500;2020-08-18
08/17/2020;54.99;-1.97;-3.46%;56.64;57.30;54.99;595.000;2020-08-17
08/14/2020;56.96;-1.39;-2.38%;58.03;58.20;56.96;868.400;2020-08-14
08/13/2020;58.35;0.10;0.17%;58.28;58.98;57.76;853.600;2020-08-13
08/12/2020;58.25;-0.24;-0.41%;58.95;59.93;58.25;1.044.300;2020-08-12
08/11/2020;58.49;0.15;0.26%;58.48;59.80;57.90;1.434.500;2020-08-11
08/10/2020;58.34;0.29;0.5%;57.91;58.55;57.14;732.000;2020-08-10
08/07/2020;58.05;-0.75;-1.28%;58.20;59.09;57.61;1.057.500;2020-08-07
08/06/2020;58.80;1.30;2.26%;57.87;59.25;57.36;800.100;2020-08-06
08/05/2020;57.50;0.25;0.44%;57.05;58.70;56.81;1.367.000;2020-08-05
08/04/2020;57.25;3.06;5.65%;54.10;58.28;53.99;2.258.200;2020-08-04
08/03/2020;54.19;0.20;0.37%;54.80;55.35;53.28;1.598.700;2020-08-03
07/31/2020;53.99;-0.08;-0.15%;54.07;54.18;52.32;1.241.600;2020-07-31
07/30/2020;54.07;0.18;0.33%;53.81;54.20;53.03;644.900;2020-07-30
07/29/2020;53.89;0.21;0.39%;53.90;54.03;53.36;553.600;2020-07-29
07/28/2020;53.68;-0.37;-0.68%;54.09;54.52;53.54;470.100;2020-07-28
07/27/2020;54.05;0.34;0.63%;53.85;54.66;53.46;417.000;2020-07-27
07/24/2020;53.71;-0.69;-1.27%;54.20;54.35;52.69;703.900;2020-07-24
