Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;48.30;0.19;0.39%;47.61;48.56;47.13;3.551.400;2020-09-25
09/24/2020;48.11;0.34;0.71%;47.81;49.28;47.51;3.994.900;2020-09-24
09/23/2020;47.77;-0.40;-0.83%;47.79;48.78;47.45;2.934.400;2020-09-23
09/22/2020;48.17;1.01;2.14%;47.55;48.33;47.02;3.712.700;2020-09-22
09/21/2020;47.16;-0.28;-0.59%;46.79;47.16;45.80;2.665.900;2020-09-21
09/18/2020;47.44;-0.09;-0.19%;47.67;48.43;46.38;4.997.800;2020-09-18
09/17/2020;47.53;0.80;1.71%;46.50;47.53;45.71;4.636.900;2020-09-17
09/16/2020;46.73;-0.07;-0.15%;46.86;47.64;46.50;2.521.100;2020-09-16
09/15/2020;46.80;-0.84;-1.76%;47.71;48.02;46.61;2.551.300;2020-09-15
09/14/2020;47.64;0.94;2.01%;47.25;47.93;47.00;2.208.100;2020-09-14
09/11/2020;46.70;-0.80;-1.68%;48.11;48.12;46.20;4.636.400;2020-09-11
09/10/2020;47.50;-2.51;-5.02%;50.30;50.31;47.50;4.053.700;2020-09-10
09/09/2020;50.01;1.01;2.06%;49.50;50.57;49.50;2.778.900;2020-09-09
09/08/2020;49.00;-0.14;-0.28%;48.88;49.58;48.36;4.381.100;2020-09-08
09/07/2020;49.14;0.00;+0.00%;48.91;49.63;48.01;0;2020-09-07
09/04/2020;49.14;0.08;0.16%;48.91;49.63;48.01;3.769.500;2020-09-04
09/03/2020;49.06;-1.24;-2.47%;50.29;50.60;48.60;4.196.300;2020-09-03
09/02/2020;50.30;0.97;1.97%;49.95;50.49;49.19;4.733.800;2020-09-02
09/01/2020;49.33;1.69;3.55%;47.99;49.68;47.66;6.278.500;2020-09-01
08/31/2020;47.64;-2.53;-5.04%;49.98;50.18;47.55;6.406.600;2020-08-31
08/28/2020;50.17;-0.20;-0.4%;50.49;51.29;50.09;3.639.800;2020-08-28
08/27/2020;50.37;0.22;0.44%;50.30;51.39;49.91;3.309.200;2020-08-27
08/26/2020;50.15;-1.69;-3.26%;51.95;52.14;49.51;4.250.700;2020-08-26
08/25/2020;51.84;0.70;1.37%;51.29;52.75;50.72;3.902.700;2020-08-25
08/24/2020;51.14;-0.75;-1.45%;52.03;52.40;50.55;3.933.900;2020-08-24
08/21/2020;51.89;0.00;+0.00%;51.31;52.09;50.62;0;2020-08-21
08/21/2020;51.89;0.40;0.78%;51.31;52.09;50.62;4.713.900;2020-08-21
08/20/2020;51.49;-1.26;-2.39%;52.04;52.47;51.16;6.776.800;2020-08-20
08/19/2020;52.75;-2.80;-5.04%;55.10;55.53;49.60;23.076.000;2020-08-19
08/18/2020;55.55;1.04;1.91%;55.20;55.62;54.48;3.143.600;2020-08-18
08/17/2020;54.51;-1.91;-3.39%;56.39;56.39;53.35;3.252.800;2020-08-17
08/14/2020;56.42;0.32;0.57%;56.50;56.60;55.28;2.617.600;2020-08-14
08/13/2020;56.10;-0.37;-0.66%;56.70;57.11;55.27;2.967.100;2020-08-13
08/12/2020;56.47;-0.66;-1.16%;57.31;57.50;55.49;3.784.800;2020-08-12
08/11/2020;57.13;-1.54;-2.62%;59.10;59.34;56.90;2.945.700;2020-08-11
08/10/2020;58.67;-0.68;-1.15%;59.47;59.49;57.57;2.341.300;2020-08-10
08/07/2020;59.35;-0.15;-0.25%;58.70;59.74;58.27;2.105.000;2020-08-07
08/06/2020;59.50;1.27;2.18%;58.45;59.62;57.87;2.868.600;2020-08-06
08/05/2020;58.23;-0.52;-0.89%;59.39;59.75;57.93;2.236.100;2020-08-05
08/04/2020;58.75;-1.21;-2.02%;59.89;59.89;57.82;2.897.400;2020-08-04
08/03/2020;59.96;-0.79;-1.3%;60.79;61.29;59.72;2.452.500;2020-08-03
07/31/2020;60.75;1.37;2.31%;60.17;61.34;59.26;5.915.800;2020-07-31
07/30/2020;59.38;0.43;0.73%;58.50;59.70;58.50;2.650.300;2020-07-30
07/29/2020;58.95;-0.99;-1.65%;59.72;60.31;58.66;4.984.700;2020-07-29
07/28/2020;59.94;-0.95;-1.56%;60.66;60.77;59.64;2.704.900;2020-07-28
07/27/2020;60.89;0.04;0.07%;61.65;62.00;60.20;3.430.400;2020-07-27
07/24/2020;60.85;-0.37;-0.6%;61.35;61.76;60.19;2.027.800;2020-07-24
07/23/2020;61.22;-1.69;-2.69%;63.17;63.46;60.83;3.495.900;2020-07-23
07/22/2020;62.91;1.14;1.85%;62.39;63.22;61.70;2.306.700;2020-07-22
07/21/2020;61.77;-0.83;-1.33%;63.00;63.03;61.22;3.306.800;2020-07-21
07/20/2020;62.60;-1.00;-1.57%;63.64;63.72;61.91;3.467.900;2020-07-20
07/17/2020;63.60;3.40;5.65%;60.00;63.90;60.00;4.751.500;2020-07-17
07/16/2020;60.20;-1.32;-2.15%;61.15;62.35;59.66;3.848.800;2020-07-16
07/15/2020;61.52;4.93;8.71%;57.30;62.04;56.98;10.330.600;2020-07-15
07/14/2020;56.59;0.28;0.5%;56.55;57.50;56.00;3.255.900;2020-07-14
07/13/2020;56.31;-1.69;-2.91%;58.54;58.81;56.00;2.930.800;2020-07-13
07/10/2020;58.00;0.23;0.4%;57.60;58.65;57.30;2.051.900;2020-07-10
07/09/2020;57.77;-0.83;-1.42%;58.29;58.64;57.06;3.277.000;2020-07-09
07/08/2020;58.60;0.88;1.52%;58.00;59.15;57.87;2.192.700;2020-07-08
