Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;26.49;-0.41;-1.52%;26.82;27.02;26.40;919.200;2020-09-25
09/24/2020;26.90;0.07;0.26%;26.97;27.27;26.75;2.224.900;2020-09-24
09/23/2020;26.83;-0.26;-0.96%;27.00;27.40;26.83;1.438.000;2020-09-23
09/22/2020;27.09;0.24;0.89%;26.96;27.14;26.65;1.609.100;2020-09-22
09/21/2020;26.85;0.15;0.56%;26.57;26.95;26.05;1.362.300;2020-09-21
09/18/2020;26.70;-0.20;-0.74%;26.87;27.10;26.37;2.202.800;2020-09-18
09/17/2020;26.90;-0.10;-0.37%;26.86;27.20;26.71;1.471.900;2020-09-17
09/16/2020;27.00;0.20;0.75%;26.91;27.35;26.91;1.655.900;2020-09-16
09/15/2020;26.80;-0.36;-1.33%;27.26;27.68;26.73;1.902.400;2020-09-15
09/14/2020;27.16;0.03;0.11%;27.50;27.54;27.00;3.162.300;2020-09-14
09/11/2020;27.13;-0.67;-2.41%;28.00;28.00;26.88;2.825.600;2020-09-11
09/10/2020;27.80;-0.79;-2.76%;28.60;28.85;27.67;1.983.600;2020-09-10
09/09/2020;28.59;0.39;1.38%;28.29;29.13;28.29;2.775.900;2020-09-09
09/08/2020;28.20;0.56;2.03%;27.58;28.42;27.35;1.899.900;2020-09-08
09/07/2020;27.64;0.00;+0.00%;27.63;27.93;27.18;0;2020-09-07
09/04/2020;27.64;0.17;0.62%;27.63;27.93;27.18;2.018.300;2020-09-04
09/03/2020;27.47;-0.14;-0.51%;27.69;27.96;27.23;3.272.600;2020-09-03
09/02/2020;27.61;0.60;2.22%;27.19;27.79;26.82;2.018.400;2020-09-02
09/01/2020;27.01;0.37;1.39%;27.13;27.34;26.68;2.842.600;2020-09-01
08/31/2020;26.64;-0.75;-2.74%;27.38;27.47;26.61;2.408.300;2020-08-31
08/28/2020;27.39;0.56;2.09%;26.93;27.52;26.72;2.411.100;2020-08-28
08/27/2020;26.83;-1.67;-5.86%;27.35;27.35;26.26;8.550.800;2020-08-27
08/26/2020;28.50;-0.09;-0.31%;28.52;28.82;28.08;2.565.500;2020-08-26
08/25/2020;28.59;1.98;7.44%;26.80;28.84;26.76;5.055.100;2020-08-25
08/24/2020;26.61;-0.23;-0.86%;27.00;27.20;26.22;3.642.900;2020-08-24
08/21/2020;26.84;0.00;+0.00%;26.67;27.08;26.41;0;2020-08-21
08/21/2020;26.84;0.28;1.05%;26.67;27.08;26.41;2.612.100;2020-08-21
08/20/2020;26.56;-0.14;-0.52%;26.62;26.89;26.30;2.881.400;2020-08-20
08/19/2020;26.70;-0.92;-3.33%;27.80;27.88;26.35;6.820.800;2020-08-19
08/18/2020;27.62;0.74;2.75%;27.70;28.09;27.09;2.582.000;2020-08-18
08/17/2020;26.88;-1.48;-5.22%;28.49;28.59;26.88;2.562.600;2020-08-17
08/14/2020;28.36;0.39;1.39%;28.09;28.50;27.82;1.512.200;2020-08-14
08/13/2020;27.97;-0.94;-3.25%;28.93;29.37;27.89;2.532.200;2020-08-13
08/12/2020;28.91;-0.42;-1.43%;29.69;29.76;28.87;4.227.600;2020-08-12
08/11/2020;29.33;-0.37;-1.25%;29.86;30.16;29.32;1.763.700;2020-08-11
08/10/2020;29.70;-0.37;-1.23%;30.64;31.00;29.56;1.591.700;2020-08-10
08/07/2020;30.07;0.08;0.27%;30.00;30.33;29.71;1.648.800;2020-08-07
