level_0;index;Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
0;0,0;09/24/2020;5.34;-0.01;-0,19%;5.36;5.46;5.34;2.022.500;2020-09-24
1;1,0;09/23/2020;5.35;-0.02;-0,37%;5.36;5.46;5.35;1.879.200;2020-09-23
2;2,0;09/22/2020;5.37;0.02;0,37%;5.35;5.41;5.32;2.206.000;2020-09-22
3;3,0;09/21/2020;5.35;0.02;0,38%;5.3;5.39;5.2;2.710.000;2020-09-21
4;4,0;09/18/2020;5.33;-0.01;-0,19%;5.33;5.37;5.25;3.357.200;2020-09-18
5;5,0;09/17/2020;5.34;-0.03;-0,56%;5.35;5.42;5.33;2.253.600;2020-09-17
6;6,0;09/16/2020;5.37;-0.01;-0,19%;5.38;5.45;5.36;2.791.900;2020-09-16
7;7,0;09/15/2020;5.38;-0.03;-0,55%;5.43;5.47;5.36;2.930.100;2020-09-15
8;8,0;09/14/2020;5.41;0.05;0,93%;5.4;5.43;5.36;1.992.800;2020-09-14
9;9,0;09/11/2020;5.36;-0.12;-2,19%;5.53;5.56;5.33;4.019.200;2020-09-11
10;10,0;09/10/2020;5.48;-0.19;-3,35%;5.68;5.72;5.48;3.070.000;2020-09-10
11;11,0;09/09/2020;5.67;0.06;1,07%;5.61;5.74;5.6;3.008.600;2020-09-09
12;12,0;09/08/2020;5.61;0.16;2,94%;5.45;5.62;5.42;3.805.200;2020-09-08
13;13,0;09/07/2020;5.45;0.0;+0,00%;5.43;5.52;5.36;0;2020-09-07
14;14,0;09/04/2020;5.45;0.01;0,18%;5.43;5.52;5.36;3.105.200;2020-09-04
15;15,0;09/03/2020;5.44;-0.01;-0,18%;5.46;5.52;5.38;3.064.200;2020-09-03
16;16,0;09/02/2020;5.45;0.12;2,25%;5.33;5.48;5.31;2.416.100;2020-09-02
17;17,0;09/01/2020;5.33;0.04;0,76%;5.34;5.43;5.3;3.834.500;2020-09-01
18;18,0;08/31/2020;5.29;-0.14;-2,58%;5.45;5.45;5.29;3.667.100;2020-08-31
19;19,0;08/28/2020;5.43;0.16;3,04%;5.33;5.45;5.31;3.252.900;2020-08-28
20;20,0;08/27/2020;5.27;-0.32;-5,72%;5.53;5.53;5.22;9.092.000;2020-08-27
21;21,0;08/26/2020;5.59;-0.09;-1,58%;5.7;5.7;5.55;3.526.800;2020-08-26
22;22,0;08/25/2020;5.68;0.32;5,97%;5.36;5.72;5.34;4.731.500;2020-08-25
23;23,0;08/24/2020;5.36;-0.04;-0,74%;5.45;5.46;5.27;4.047.700;2020-08-24
24;24,0;08/21/2020;5.4;0.0;+0,00%;5.37;5.47;5.3;0;2020-08-21
25;25,0;08/21/2020;5.4;0.05;0,93%;5.37;5.47;5.3;2.644.500;2020-08-21
26;26,0;08/20/2020;5.35;-0.03;-0,56%;5.33;5.4;5.27;3.522.300;2020-08-20
27;27,0;08/19/2020;5.38;-0.15;-2,71%;5.56;5.56;5.29;4.557.100;2020-08-19
28;28,0;08/18/2020;5.53;0.07;1,28%;5.48;5.62;5.42;3.841.300;2020-08-18
29;29,0;08/17/2020;5.46;-0.18;-3,19%;5.66;5.69;5.37;3.205.400;2020-08-17
30;30,0;08/14/2020;5.64;0.05;0,89%;5.61;5.69;5.54;2.245.900;2020-08-14
31;31,0;08/13/2020;5.59;-0.21;-3,62%;5.8;5.86;5.56;4.014.200;2020-08-13
32;32,0;08/12/2020;5.8;-0.09;-1,53%;5.95;5.95;5.76;3.278.300;2020-08-12
33;33,0;08/11/2020;5.89;0.0;0,0%;5.94;5.98;5.83;3.639.800;2020-08-11
34;34,0;08/10/2020;5.89;-0.11;-1,83%;6.07;6.13;5.87;4.165.400;2020-08-10
35;35,0;08/07/2020;6.0;0.07;1,18%;5.95;6.04;5.9;2.508.100;2020-08-07
36;36,0;08/06/2020;5.93;0.09;1,54%;5.86;5.99;5.79;2.685.100;2020-08-06
37;37,0;08/05/2020;5.84;-0.04;-0,68%;5.94;5.96;5.75;2.890.500;2020-08-05
38;38,0;08/04/2020;5.88;-0.17;-2,81%;6.05;6.12;5.85;2.852.100;2020-08-04
39;39,0;08/03/2020;6.05;-0.01;-0,17%;6.09;6.12;5.98;3.748.600;2020-08-03
40;40,0;07/31/2020;6.06;-0.02;-0,33%;6.07;6.15;6.03;3.504.800;2020-07-31
41;41,0;07/30/2020;6.08;0.13;2,18%;5.92;6.08;5.91;2.060.800;2020-07-30
42;42,0;07/29/2020;5.95;0.04;0,68%;5.93;5.98;5.86;2.059.200;2020-07-29
43;43,0;07/28/2020;5.91;-0.08;-1,34%;6.01;6.03;5.91;3.375.600;2020-07-28
44;44,0;07/27/2020;5.99;-0.06;-0,99%;6.05;6.11;5.99;2.836.800;2020-07-27
45;45,0;07/24/2020;6.05;-0.01;-0,17%;6.06;6.13;5.97;2.821.800;2020-07-24
46;46,0;07/23/2020;6.06;-0.14;-2,26%;6.2;6.2;6.01;3.014.900;2020-07-23
47;47,0;07/22/2020;6.2;0.12;1,97%;6.1;6.2;6.1;2.104.200;2020-07-22
48;48,0;07/21/2020;6.08;-0.2;-3,18%;6.32;6.33;6.08;4.375.400;2020-07-21
49;49,0;07/20/2020;6.28;-0.05;-0,79%;6.33;6.39;6.25;1.946.300;2020-07-20
50;50,0;07/17/2020;6.33;0.07;1,12%;6.3;6.36;6.25;2.030.200;2020-07-17
51;51,0;07/16/2020;6.26;-0.18;-2,8%;6.41;6.41;6.25;2.655.700;2020-07-16
52;52,0;07/15/2020;6.44;0.33;5,4%;6.18;6.48;6.12;10.926.300;2020-07-15
53;53,0;07/14/2020;6.11;0.01;0,16%;6.16;6.2;6.1;2.063.800;2020-07-14
