Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;15.92;0.12;0.76%;15.69;15.92;15.39;8.641.100;2020-09-25
09/24/2020;15.80;-0.31;-1.92%;16.13;16.22;15.66;15.457.900;2020-09-24
09/23/2020;16.11;-0.66;-3.94%;16.81;16.95;16.11;14.451.900;2020-09-23
09/22/2020;16.77;0.55;3.39%;16.45;16.99;16.32;16.021.300;2020-09-22
09/21/2020;16.22;-0.20;-1.22%;16.20;17.26;15.97;21.582.700;2020-09-21
09/18/2020;16.42;-0.33;-1.97%;16.71;16.88;16.31;8.950.300;2020-09-18
09/17/2020;16.75;0.45;2.76%;16.07;16.77;16.05;8.997.900;2020-09-17
09/16/2020;16.30;-0.29;-1.75%;16.45;16.52;16.07;8.679.200;2020-09-16
09/15/2020;16.59;0.39;2.41%;16.38;16.74;16.14;11.663.000;2020-09-15
09/14/2020;16.20;0.20;1.25%;16.10;16.43;15.95;12.052.200;2020-09-14
09/11/2020;16.00;0.63;4.1%;15.40;16.32;15.37;16.214.800;2020-09-11
09/10/2020;15.37;-0.40;-2.54%;15.74;16.06;15.32;10.967.200;2020-09-10
09/09/2020;15.77;0.67;4.44%;15.10;15.90;15.10;15.843.800;2020-09-09
09/08/2020;15.10;0.19;1.27%;14.69;15.17;14.44;13.084.200;2020-09-08
09/07/2020;14.91;0.00;+0.00%;14.98;15.19;14.57;0;2020-09-07
09/04/2020;14.91;-0.04;-0.27%;14.98;15.19;14.57;24.478.000;2020-09-04
09/03/2020;14.95;-0.33;-2.16%;15.15;15.44;14.85;13.781.900;2020-09-03
09/02/2020;15.28;-0.14;-0.91%;15.50;15.83;14.85;19.466.400;2020-09-02
09/01/2020;15.42;0.21;1.38%;15.42;15.64;15.29;9.473.600;2020-09-01
08/31/2020;15.21;-0.03;-0.2%;14.99;15.77;14.90;18.583.800;2020-08-31
08/28/2020;15.24;0.26;1.74%;15.06;15.36;14.81;12.326.800;2020-08-28
08/27/2020;14.98;0.46;3.17%;14.65;15.09;14.50;11.920.300;2020-08-27
08/26/2020;14.52;-0.47;-3.14%;15.06;15.16;14.41;11.479.200;2020-08-26
08/25/2020;14.99;0.41;2.81%;14.59;15.00;14.21;13.832.500;2020-08-25
08/24/2020;14.58;0.10;0.69%;14.56;14.80;14.46;7.215.700;2020-08-24
08/21/2020;14.48;0.00;+0.00%;14.72;14.78;14.21;0;2020-08-21
08/21/2020;14.48;-0.33;-2.23%;14.72;14.78;14.21;11.647.800;2020-08-21
08/20/2020;14.81;-0.08;-0.54%;14.54;15.03;14.45;11.993.000;2020-08-20
08/19/2020;14.89;0.07;0.47%;14.91;15.27;14.82;13.867.300;2020-08-19
08/18/2020;14.82;0.88;6.31%;14.30;15.00;14.30;26.027.200;2020-08-18
08/17/2020;13.94;0.26;1.9%;13.63;14.04;13.62;11.008.800;2020-08-17
08/14/2020;13.68;-0.01;-0.07%;13.69;13.82;13.40;6.587.600;2020-08-14
08/13/2020;13.69;-0.12;-0.87%;13.77;13.92;13.55;7.507.700;2020-08-13
08/12/2020;13.81;-0.11;-0.79%;14.00;14.13;13.58;10.599.500;2020-08-12
08/11/2020;13.92;-0.05;-0.36%;14.04;14.15;13.76;14.692.600;2020-08-11
08/10/2020;13.97;0.97;7.46%;13.13;14.08;13.06;26.631.800;2020-08-10
08/07/2020;13.00;-0.11;-0.84%;12.88;13.22;12.76;14.944.000;2020-08-07
08/06/2020;13.11;-0.01;-0.08%;13.23;13.48;13.04;14.742.600;2020-08-06
08/05/2020;13.12;0.29;2.26%;13.00;13.39;12.93;14.903.300;2020-08-05
