Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;28.29;-0.17;-0.6%;28.50;28.51;28.21;1.599.400;2020-09-25
09/24/2020;28.46;0.26;0.92%;28.27;28.60;28.21;2.074.400;2020-09-24
09/23/2020;28.20;-0.13;-0.46%;28.31;28.61;28.18;2.321.300;2020-09-23
09/22/2020;28.33;0.00;0.0%;28.37;28.52;28.24;1.793.200;2020-09-22
09/21/2020;28.33;0.11;0.39%;28.21;28.45;27.70;3.350.900;2020-09-21
09/18/2020;28.22;-0.41;-1.43%;28.61;28.70;28.20;3.300.400;2020-09-18
09/17/2020;28.63;-0.13;-0.45%;28.63;28.88;28.51;2.310.400;2020-09-17
09/16/2020;28.76;0.20;0.7%;28.64;28.94;28.61;2.201.500;2020-09-16
09/15/2020;28.56;-0.04;-0.14%;28.63;28.78;28.50;2.625.700;2020-09-15
09/14/2020;28.60;0.11;0.39%;28.56;28.83;28.39;2.124.000;2020-09-14
09/11/2020;28.49;-0.05;-0.18%;29.02;29.03;28.17;2.811.600;2020-09-11
09/10/2020;28.54;-0.86;-2.93%;29.44;29.57;28.51;2.582.100;2020-09-10
09/09/2020;29.40;0.60;2.08%;29.00;29.50;28.93;3.288.900;2020-09-09
09/08/2020;28.80;0.39;1.37%;28.32;28.88;28.23;3.179.900;2020-09-08
09/07/2020;28.41;0.00;+0.00%;28.39;28.42;28.12;0;2020-09-07
09/04/2020;28.41;0.06;0.21%;28.39;28.42;28.12;2.205.300;2020-09-04
09/03/2020;28.35;-0.28;-0.98%;28.67;28.79;28.22;3.341.200;2020-09-03
09/02/2020;28.63;0.13;0.46%;28.64;28.64;28.32;2.056.700;2020-09-02
09/01/2020;28.50;0.23;0.81%;28.38;28.74;28.28;3.048.800;2020-09-01
08/31/2020;28.27;-0.15;-0.53%;28.41;28.52;28.20;2.366.200;2020-08-31
08/28/2020;28.42;0.10;0.35%;28.37;28.49;28.30;2.266.900;2020-08-28
08/27/2020;28.32;0.17;0.6%;28.26;28.46;28.21;2.126.100;2020-08-27
08/26/2020;28.15;-0.24;-0.85%;28.39;28.56;28.15;3.128.800;2020-08-26
08/25/2020;28.39;0.11;0.39%;28.31;28.46;28.22;2.079.000;2020-08-25
08/24/2020;28.28;-0.04;-0.14%;28.56;28.60;28.20;2.749.900;2020-08-24
08/21/2020;28.32;0.00;+0.00%;28.48;28.61;28.24;0;2020-08-21
08/21/2020;28.32;-0.33;-1.15%;28.48;28.61;28.24;2.329.700;2020-08-21
08/20/2020;28.65;0.18;0.63%;28.32;28.76;28.17;2.336.700;2020-08-20
08/19/2020;28.47;0.34;1.21%;28.33;28.86;28.05;3.610.600;2020-08-19
08/18/2020;28.13;-1.06;-3.63%;28.61;28.70;28.11;3.249.500;2020-08-18
08/17/2020;29.19;-0.07;-0.24%;29.48;29.80;28.96;5.478.700;2020-08-17
08/14/2020;29.26;0.64;2.24%;28.92;29.44;28.70;3.153.000;2020-08-14
08/13/2020;28.62;0.29;1.02%;28.91;29.24;28.60;4.759.000;2020-08-13
08/12/2020;28.33;-0.32;-1.12%;28.77;28.83;28.33;2.671.400;2020-08-12
08/11/2020;28.65;-0.27;-0.93%;29.04;29.09;28.63;2.071.200;2020-08-11
08/10/2020;28.92;0.18;0.63%;28.94;28.99;28.60;1.734.300;2020-08-10
08/07/2020;28.74;-0.24;-0.83%;28.81;28.95;28.60;1.644.000;2020-08-07
08/06/2020;28.98;0.61;2.15%;28.50;28.98;28.28;2.029.800;2020-08-06
