Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;9.46;-0.06;-0.63%;9.52;9.52;9.42;109.000;2020-09-25
09/24/2020;9.52;0.12;1.28%;9.41;9.54;9.41;72.700;2020-09-24
09/23/2020;9.40;-0.10;-1.05%;9.51;9.53;9.40;89.400;2020-09-23
09/22/2020;9.50;0.03;0.32%;9.49;9.57;9.42;88.800;2020-09-22
09/21/2020;9.47;0.04;0.42%;9.48;9.49;9.15;174.300;2020-09-21
09/18/2020;9.43;-0.17;-1.77%;9.62;9.64;9.43;178.400;2020-09-18
09/17/2020;9.60;0.01;0.1%;9.59;9.65;9.52;86.000;2020-09-17
09/16/2020;9.59;0.06;0.63%;9.64;9.64;9.54;56.200;2020-09-16
09/15/2020;9.53;-0.10;-1.04%;9.63;9.65;9.52;80.300;2020-09-15
09/14/2020;9.63;0.12;1.26%;9.55;9.63;9.49;107.100;2020-09-14
09/11/2020;9.51;-0.34;-3.45%;9.85;9.85;9.42;274.300;2020-09-11
09/10/2020;9.85;0.14;1.44%;9.74;9.88;9.55;143.800;2020-09-10
09/09/2020;9.71;0.08;0.83%;9.65;9.83;9.65;134.300;2020-09-09
09/08/2020;9.63;0.15;1.58%;9.49;9.64;9.43;143.200;2020-09-08
09/07/2020;9.48;0.00;+0.00%;9.53;9.55;9.40;0;2020-09-07
09/04/2020;9.48;-0.05;-0.52%;9.53;9.55;9.40;173.900;2020-09-04
09/03/2020;9.53;0.00;0.0%;9.54;9.63;9.43;192.700;2020-09-03
09/02/2020;9.53;0.03;0.32%;9.51;9.53;9.44;70.000;2020-09-02
09/01/2020;9.50;0.03;0.32%;9.48;9.58;9.40;150.800;2020-09-01
08/31/2020;9.47;-0.03;-0.32%;9.50;9.53;9.42;133.100;2020-08-31
08/28/2020;9.50;0.06;0.64%;9.51;9.51;9.44;63.600;2020-08-28
08/27/2020;9.44;-0.06;-0.63%;9.50;9.50;9.43;109.600;2020-08-27
08/26/2020;9.50;0.00;0.0%;9.49;9.54;9.40;171.500;2020-08-26
08/25/2020;9.50;0.07;0.74%;9.50;9.50;9.42;100.800;2020-08-25
08/24/2020;9.43;-0.07;-0.74%;9.57;9.57;9.42;220.900;2020-08-24
08/21/2020;9.50;0.00;+0.00%;9.64;9.64;9.42;0;2020-08-21
08/21/2020;9.50;-0.07;-0.73%;9.64;9.64;9.42;140.600;2020-08-21
08/20/2020;9.57;-0.08;-0.83%;9.64;9.64;9.41;102.900;2020-08-20
08/19/2020;9.65;0.10;1.05%;9.55;9.65;9.48;82.100;2020-08-19
08/18/2020;9.55;-0.26;-2.65%;9.67;9.67;9.48;123.400;2020-08-18
08/17/2020;9.81;-0.04;-0.41%;9.91;10.25;9.72;423.700;2020-08-17
08/14/2020;9.85;0.18;1.86%;9.74;9.85;9.59;201.300;2020-08-14
08/13/2020;9.67;0.17;1.79%;9.64;9.74;9.54;228.700;2020-08-13
08/12/2020;9.50;-0.08;-0.84%;9.60;9.64;9.45;143.000;2020-08-12
08/11/2020;9.58;-0.06;-0.62%;9.64;9.69;9.56;91.600;2020-08-11
08/10/2020;9.64;0.02;0.21%;9.62;9.67;9.56;88.200;2020-08-10
08/07/2020;9.62;0.00;0.0%;9.63;9.66;9.55;69.000;2020-08-07
08/06/2020;9.62;0.00;0.0%;9.62;9.63;9.45;77.400;2020-08-06
08/05/2020;9.62;0.00;0.0%;9.63;9.64;9.45;179.900;2020-08-05
08/04/2020;9.62;0.02;0.21%;9.60;9.68;9.40;131.200;2020-08-04
08/03/2020;9.60;-0.10;-1.03%;9.81;9.81;9.57;134.000;2020-08-03
07/31/2020;9.70;-0.08;-0.82%;9.80;9.85;9.65;133.800;2020-07-31
07/30/2020;9.78;0.15;1.56%;9.63;9.78;9.61;66.000;2020-07-30
07/29/2020;9.63;-0.08;-0.82%;9.71;9.75;9.60;71.800;2020-07-29
07/28/2020;9.71;0.08;0.83%;9.70;9.78;9.57;81.600;2020-07-28
07/27/2020;9.63;0.13;1.37%;9.52;9.70;9.52;132.200;2020-07-27
07/24/2020;9.50;0.10;1.06%;9.40;9.53;9.34;72.900;2020-07-24
07/23/2020;9.40;-0.05;-0.53%;9.47;9.51;9.38;97.700;2020-07-23
07/22/2020;9.45;0.02;0.21%;9.45;9.51;9.41;94.600;2020-07-22
07/21/2020;9.43;-0.03;-0.32%;9.46;9.49;9.41;86.800;2020-07-21
07/20/2020;9.46;0.04;0.42%;9.42;9.46;9.38;83.500;2020-07-20
07/17/2020;9.42;0.03;0.32%;9.41;9.44;9.37;112.600;2020-07-17
07/16/2020;9.39;-0.10;-1.05%;9.48;9.50;9.35;211.300;2020-07-16
07/15/2020;9.49;0.01;0.11%;9.50;9.50;9.40;147.900;2020-07-15
07/14/2020;9.48;-0.02;-0.21%;9.52;9.56;9.43;140.600;2020-07-14
07/13/2020;9.50;-0.04;-0.42%;9.54;9.58;9.50;92.600;2020-07-13
07/10/2020;9.54;-0.01;-0.1%;9.62;9.62;9.49;101.600;2020-07-10
07/09/2020;9.55;-0.04;-0.42%;9.64;9.67;9.52;71.300;2020-07-09
07/08/2020;9.59;0.10;1.05%;9.51;9.60;9.48;86.800;2020-07-08
07/07/2020;9.49;-0.09;-0.94%;9.58;9.60;9.45;158.200;2020-07-07
07/06/2020;9.58;0.06;0.63%;9.54;9.64;9.49;132.700;2020-07-06
07/03/2020;9.52;0.03;0.32%;9.49;9.53;9.49;64.800;2020-07-03
07/02/2020;9.49;-0.11;-1.15%;9.60;9.69;9.46;139.800;2020-07-02
07/01/2020;9.60;0.11;1.16%;9.58;9.65;9.47;70.400;2020-07-01
06/30/2020;9.49;-0.03;-0.32%;9.59;9.65;9.44;72.500;2020-06-30
06/29/2020;9.52;0.08;0.85%;9.44;9.56;9.44;84.500;2020-06-29
06/26/2020;9.44;-0.03;-0.32%;9.50;9.53;9.39;82.500;2020-06-26
06/25/2020;9.47;0.02;0.21%;9.46;9.80;9.40;87.700;2020-06-25
06/24/2020;9.45;-0.11;-1.15%;9.56;9.60;9.40;135.500;2020-06-24
06/23/2020;9.56;-0.12;-1.24%;9.68;9.74;9.54;146.400;2020-06-23
06/22/2020;9.68;-0.12;-1.22%;9.80;9.80;9.62;121.100;2020-06-22
06/19/2020;9.80;0.13;1.34%;9.70;9.90;9.70;56.900;2020-06-19
06/18/2020;9.67;-0.12;-1.23%;9.79;9.92;9.51;68.700;2020-06-18
06/17/2020;9.79;0.28;2.94%;9.67;9.79;9.45;53.400;2020-06-17
06/16/2020;9.51;0.01;0.11%;9.79;9.79;9.50;106.200;2020-06-16
06/15/2020;9.50;-0.10;-1.04%;9.44;9.60;9.33;82.100;2020-06-15
06/12/2020;9.60;-0.10;-1.03%;9.65;9.65;9.43;147.100;2020-06-12
06/11/2020;9.70;0.00;+0.00%;9.75;9.82;9.61;0;2020-06-11
06/10/2020;9.70;0.10;1.04%;9.75;9.82;9.61;92.600;2020-06-10
06/09/2020;9.60;-0.14;-1.44%;9.73;9.80;9.60;91.300;2020-06-09
06/08/2020;9.74;0.06;0.62%;9.72;9.82;9.65;124.400;2020-06-08
06/05/2020;9.68;0.24;2.54%;9.50;9.74;9.50;94.400;2020-06-05
06/04/2020;9.44;-0.20;-2.07%;9.60;9.69;9.40;164.900;2020-06-04
06/03/2020;9.64;-0.09;-0.92%;9.76;9.91;9.54;144.100;2020-06-03
06/02/2020;9.73;-0.08;-0.82%;9.80;9.83;9.65;142.100;2020-06-02
06/01/2020;9.81;0.25;2.62%;9.75;9.85;9.50;108.400;2020-06-01
05/29/2020;9.56;0.07;0.74%;9.50;9.69;9.50;49.300;2020-05-29
05/28/2020;9.49;-0.08;-0.84%;9.58;9.60;9.41;71.200;2020-05-28
05/27/2020;9.57;0.13;1.38%;9.41;9.70;9.41;35.100;2020-05-27
05/26/2020;9.44;0.03;0.32%;9.73;9.73;9.40;56.100;2020-05-26
05/25/2020;9.41;0.10;1.07%;9.44;9.65;9.31;78.100;2020-05-25
05/22/2020;9.31;-0.08;-0.85%;9.38;9.40;9.22;44.600;2020-05-22
05/21/2020;9.39;0.32;3.53%;9.05;9.46;9.00;94.400;2020-05-21
05/20/2020;9.07;-0.22;-2.37%;9.16;9.17;8.90;61.700;2020-05-20
05/19/2020;9.29;-0.05;-0.54%;9.41;9.46;9.27;180.600;2020-05-19
05/18/2020;9.34;0.29;3.2%;9.19;9.41;9.07;105.800;2020-05-18
05/15/2020;9.05;0.09;1.0%;9.13;9.49;8.91;137.800;2020-05-15
05/14/2020;8.96;0.08;0.9%;8.85;9.00;8.71;27.400;2020-05-14
05/13/2020;8.88;0.14;1.6%;8.75;8.88;8.66;31.900;2020-05-13
05/12/2020;8.74;-0.11;-1.24%;8.83;9.05;8.74;47.300;2020-05-12
05/11/2020;8.85;-0.10;-1.12%;9.07;9.07;8.85;47.300;2020-05-11
05/08/2020;8.95;0.01;0.11%;9.14;9.14;8.81;47.000;2020-05-08
05/07/2020;8.94;-0.23;-2.51%;9.25;9.30;8.90;60.700;2020-05-07
05/06/2020;9.17;0.02;0.22%;9.39;9.39;9.00;37.900;2020-05-06
05/05/2020;9.15;-0.05;-0.54%;9.35;9.35;9.07;34.900;2020-05-05
05/04/2020;9.20;0.09;0.99%;9.10;9.20;8.88;76.100;2020-05-04
05/01/2020;9.11;0.00;+0.00%;9.23;9.32;9.05;0;2020-05-01
04/30/2020;9.11;-0.12;-1.3%;9.23;9.32;9.05;39.500;2020-04-30
04/29/2020;9.23;-0.13;-1.39%;9.40;9.49;9.14;39.100;2020-04-29
04/28/2020;9.36;-0.07;-0.74%;9.49;9.50;9.30;31.200;2020-04-28
04/27/2020;9.43;0.41;4.55%;9.15;9.44;9.00;51.600;2020-04-27
04/24/2020;9.02;-0.28;-3.01%;9.20;9.29;8.65;100.500;2020-04-24
04/23/2020;9.30;-0.05;-0.53%;9.39;9.45;9.20;34.500;2020-04-23
04/22/2020;9.35;0.41;4.59%;8.87;9.39;8.87;72.500;2020-04-22
04/21/2020;8.94;0.00;+0.00%;8.91;9.07;8.80;0;2020-04-21
04/20/2020;8.94;0.04;0.45%;8.91;9.07;8.80;49.800;2020-04-20
04/17/2020;8.90;-0.16;-1.77%;9.10;9.21;8.80;102.200;2020-04-17
04/16/2020;9.06;-0.13;-1.41%;9.19;9.29;8.96;62.900;2020-04-16
04/15/2020;9.19;0.07;0.77%;9.11;9.29;8.99;36.900;2020-04-15
04/14/2020;9.12;0.21;2.36%;9.07;9.29;9.04;50.800;2020-04-14
04/13/2020;8.91;0.03;0.34%;9.08;9.08;8.72;46.500;2020-04-13
04/10/2020;8.88;0.00;+0.00%;9.04;9.12;8.81;0;2020-04-10
04/09/2020;8.88;0.08;0.91%;9.04;9.12;8.81;46.400;2020-04-09
04/08/2020;8.80;-0.12;-1.35%;9.02;9.10;8.71;59.300;2020-04-08
04/07/2020;8.92;0.00;0.0%;9.05;9.54;8.92;68.100;2020-04-07
04/06/2020;8.92;0.12;1.36%;8.98;9.15;8.85;45.800;2020-04-06
04/03/2020;8.80;0.08;0.92%;8.61;9.03;8.59;42.600;2020-04-03
04/02/2020;8.72;0.49;5.95%;8.40;8.72;8.38;45.900;2020-04-02
04/01/2020;8.23;-0.17;-2.02%;8.37;8.40;8.20;50.900;2020-04-01
03/31/2020;8.40;0.03;0.36%;8.37;8.66;8.37;54.500;2020-03-31
03/30/2020;8.37;-0.32;-3.68%;8.54;8.80;8.37;101.800;2020-03-30
03/27/2020;8.69;-0.02;-0.23%;8.70;8.74;8.35;79.600;2020-03-27
03/26/2020;8.71;0.61;7.53%;8.31;8.89;8.20;69.600;2020-03-26
03/25/2020;8.10;-0.21;-2.53%;8.45;8.60;8.04;131.600;2020-03-25
03/24/2020;8.31;0.25;3.1%;9.00;9.18;8.19;61.700;2020-03-24
03/23/2020;8.06;-0.92;-10.24%;8.98;8.98;8.03;85.500;2020-03-23
03/20/2020;8.98;0.38;4.42%;9.00;9.18;8.51;70.900;2020-03-20
03/19/2020;8.60;-0.10;-1.15%;8.70;9.19;8.01;79.000;2020-03-19
03/18/2020;8.70;-0.30;-3.33%;8.90;9.14;8.28;94.500;2020-03-18
03/17/2020;9.00;0.09;1.01%;9.22;9.65;8.91;70.400;2020-03-17
03/16/2020;8.91;-0.83;-8.52%;9.68;9.68;8.77;129.800;2020-03-16
