level_0;index;Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
0;193,0;09/24/2020;1.02;0.0;0,0%;1.02;1.04;1.01;427.600;2020-09-24
1;194,0;09/23/2020;1.02;-0.02;-1,92%;1.03;1.05;1.02;677.700;2020-09-23
2;195,0;09/22/2020;1.04;0.01;0,97%;1.04;1.07;1.03;274.600;2020-09-22
3;196,0;09/21/2020;1.03;-0.01;-0,96%;1.04;1.05;1.01;683.200;2020-09-21
4;197,0;09/18/2020;1.04;-0.04;-3,7%;1.08;1.08;1.04;495.300;2020-09-18
5;198,0;09/17/2020;1.08;0.0;0,0%;1.08;1.09;1.06;325.200;2020-09-17
6;199,0;09/16/2020;1.08;0.0;0,0%;1.09;1.11;1.07;590.200;2020-09-16
7;200,0;09/15/2020;1.08;0.01;0,93%;1.08;1.1;1.06;862.200;2020-09-15
8;201,0;09/14/2020;1.07;0.02;1,9%;1.05;1.08;1.05;461.400;2020-09-14
9;202,0;09/11/2020;1.05;0.01;0,96%;1.05;1.06;1.04;356.200;2020-09-11
10;203,0;09/10/2020;1.04;-0.01;-0,95%;1.05;1.08;1.04;608.700;2020-09-10
11;204,0;09/09/2020;1.05;-0.02;-1,87%;1.07;1.08;1.05;313.900;2020-09-09
12;205,0;09/08/2020;1.07;-0.02;-1,83%;1.09;1.09;1.06;611.700;2020-09-08
13;206,0;09/07/2020;1.09;0.0;+0,00%;1.07;1.1;1.05;0;2020-09-07
14;207,0;09/04/2020;1.09;0.03;2,83%;1.07;1.1;1.05;926.800;2020-09-04
15;208,0;09/03/2020;1.06;-0.03;-2,75%;1.11;1.11;1.06;593.200;2020-09-03
16;209,0;09/02/2020;1.09;-0.01;-0,91%;1.12;1.14;1.09;889.300;2020-09-02
17;210,0;09/01/2020;1.1;-0.03;-2,65%;1.13;1.19;1.1;2.181.300;2020-09-01
18;211,0;08/31/2020;1.13;0.06;5,61%;1.07;1.21;1.07;3.143.600;2020-08-31
19;212,0;08/28/2020;1.07;0.04;3,88%;1.04;1.08;1.02;777.000;2020-08-28
20;213,0;08/27/2020;1.03;-0.01;-0,96%;1.05;1.05;1.03;239.600;2020-08-27
21;214,0;08/26/2020;1.04;-0.01;-0,95%;1.06;1.07;1.02;759.500;2020-08-26
22;215,0;08/25/2020;1.05;-0.02;-1,87%;1.07;1.08;1.05;406.900;2020-08-25
23;216,0;08/24/2020;1.07;0.01;0,94%;1.08;1.1;1.06;542.400;2020-08-24
24;217,0;08/21/2020;1.06;0.0;+0,00%;1.03;1.07;1.03;0;2020-08-21
25;218,0;08/21/2020;1.06;0.01;0,95%;1.03;1.07;1.03;592.600;2020-08-21
26;219,0;08/20/2020;1.05;-0.02;-1,87%;1.05;1.07;1.04;502.700;2020-08-20
27;220,0;08/19/2020;1.07;0.04;3,88%;1.04;1.08;1.02;919.900;2020-08-19
28;221,0;08/18/2020;1.03;-0.01;-0,96%;1.05;1.05;1.02;753.100;2020-08-18
29;222,0;08/17/2020;1.04;-0.04;-3,7%;1.08;1.08;1.02;585.800;2020-08-17
30;223,0;08/14/2020;1.08;0.03;2,86%;1.06;1.08;1.03;678.600;2020-08-14
31;224,0;08/13/2020;1.05;-0.05;-4,55%;1.1;1.1;1.04;1.257.400;2020-08-13
32;225,0;08/12/2020;1.1;-0.03;-2,65%;1.14;1.14;1.07;796.900;2020-08-12
33;226,0;08/11/2020;1.13;0.02;1,8%;1.12;1.15;1.12;579.200;2020-08-11
34;227,0;08/10/2020;1.11;-0.02;-1,77%;1.14;1.16;1.11;484.300;2020-08-10
35;228,0;08/07/2020;1.13;-0.01;-0,88%;1.16;1.16;1.12;904.300;2020-08-07
36;229,0;08/06/2020;1.14;-0.03;-2,56%;1.18;1.18;1.14;555.000;2020-08-06
37;230,0;08/05/2020;1.17;0.02;1,74%;1.18;1.18;1.15;408.300;2020-08-05
38;231,0;08/04/2020;1.15;-0.02;-1,71%;1.19;1.19;1.14;616.900;2020-08-04
39;232,0;08/03/2020;1.17;-0.03;-2,5%;1.2;1.23;1.17;336.000;2020-08-03
40;233,0;07/31/2020;1.2;-0.04;-3,23%;1.24;1.26;1.2;411.100;2020-07-31
41;234,0;07/30/2020;1.24;0.06;5,08%;1.18;1.24;1.17;749.400;2020-07-30
42;235,0;07/29/2020;1.18;-0.02;-1,67%;1.21;1.21;1.17;546.700;2020-07-29
43;236,0;07/28/2020;1.2;-0.02;-1,64%;1.22;1.24;1.2;728.000;2020-07-28
44;237,0;07/27/2020;1.22;0.03;2,52%;1.21;1.24;1.19;544.500;2020-07-27
45;238,0;07/24/2020;1.19;-0.01;-0,83%;1.2;1.25;1.17;722.600;2020-07-24
46;239,0;07/23/2020;1.2;-0.06;-4,76%;1.27;1.27;1.2;659.100;2020-07-23
47;240,0;07/22/2020;1.26;0.0;0,0%;1.26;1.27;1.24;562.000;2020-07-22
48;241,0;07/21/2020;1.26;0.0;0,0%;1.26;1.28;1.24;685.900;2020-07-21
49;242,0;07/20/2020;1.26;-0.02;-1,56%;1.29;1.29;1.26;672.800;2020-07-20
50;243,0;07/17/2020;1.28;-0.01;-0,78%;1.32;1.33;1.27;964.100;2020-07-17
51;244,0;07/16/2020;1.29;0.02;1,57%;1.27;1.3;1.25;933.600;2020-07-16
52;245,0;07/15/2020;1.27;-0.01;-0,78%;1.31;1.33;1.23;2.800.600;2020-07-15
53;246,0;07/14/2020;1.28;-0.09;-6,57%;1.39;1.4;1.27;3.822.900;2020-07-14
