Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
09/25/2020;64.13;-0.25;-0.39%;63.81;64.27;63.10;3.089.500;2020-09-25
09/24/2020;64.38;1.90;3.04%;62.51;65.12;62.51;5.067.600;2020-09-24
09/23/2020;62.48;-2.21;-3.42%;64.84;65.83;62.47;4.899.000;2020-09-23
09/22/2020;64.69;1.29;2.03%;63.63;65.24;63.21;5.023.600;2020-09-22
09/21/2020;63.40;1.55;2.51%;61.30;63.78;60.75;5.056.900;2020-09-21
09/18/2020;61.85;-1.07;-1.7%;62.30;63.45;61.76;5.995.500;2020-09-18
09/17/2020;62.92;-0.03;-0.05%;62.35;63.15;62.00;2.864.900;2020-09-17
09/16/2020;62.95;-1.13;-1.76%;64.24;65.25;62.91;4.405.500;2020-09-16
09/15/2020;64.08;0.75;1.18%;63.70;64.49;62.94;3.882.100;2020-09-15
09/14/2020;63.33;1.16;1.87%;63.00;63.79;62.61;3.330.300;2020-09-14
09/11/2020;62.17;-0.08;-0.13%;63.07;64.42;61.63;7.254.300;2020-09-11
09/10/2020;62.25;-2.87;-4.41%;64.90;64.90;62.06;4.235.200;2020-09-10
09/09/2020;65.12;2.13;3.38%;63.51;65.47;63.26;4.603.000;2020-09-09
09/08/2020;62.99;-1.39;-2.16%;64.19;64.19;62.60;4.942.200;2020-09-08
09/07/2020;64.38;0.00;+0.00%;65.00;65.15;61.87;0;2020-09-07
09/04/2020;64.38;-0.09;-0.14%;65.00;65.15;61.87;7.377.000;2020-09-04
09/03/2020;64.47;-2.32;-3.47%;66.70;67.22;63.40;6.817.200;2020-09-03
09/02/2020;66.79;-0.14;-0.21%;67.20;68.13;65.94;5.319.900;2020-09-02
09/01/2020;66.93;2.09;3.22%;65.70;67.10;65.19;3.969.000;2020-09-01
08/31/2020;64.84;-2.60;-3.86%;67.12;67.12;64.51;8.068.200;2020-08-31
08/28/2020;67.44;1.13;1.7%;66.80;67.98;66.09;3.854.100;2020-08-28
08/27/2020;66.31;-0.09;-0.14%;66.90;67.29;65.52;3.476.300;2020-08-27
08/26/2020;66.40;-1.90;-2.78%;68.29;68.74;65.80;6.922.800;2020-08-26
08/25/2020;68.30;1.55;2.32%;66.56;68.54;66.56;5.044.900;2020-08-25
08/24/2020;66.75;-0.85;-1.26%;67.76;68.60;66.25;5.249.600;2020-08-24
08/21/2020;67.60;0.00;+0.00%;67.11;67.61;66.10;0;2020-08-21
08/21/2020;67.60;0.38;0.57%;67.11;67.61;66.10;4.592.500;2020-08-21
08/20/2020;67.22;1.34;2.03%;64.99;67.94;64.21;7.368.200;2020-08-20
08/19/2020;65.88;-1.82;-2.69%;68.01;68.45;65.76;5.437.900;2020-08-19
08/18/2020;67.70;-0.27;-0.4%;69.29;69.33;67.32;5.308.200;2020-08-18
08/17/2020;67.97;-1.20;-1.73%;68.99;69.59;67.15;4.761.100;2020-08-17
08/14/2020;69.17;0.27;0.39%;68.97;70.43;68.21;4.486.000;2020-08-14
08/13/2020;68.90;0.90;1.32%;68.50;70.92;68.40;7.440.100;2020-08-13
08/12/2020;68.00;0.63;0.94%;68.10;68.45;66.11;4.766.200;2020-08-12
08/11/2020;67.37;-1.49;-2.16%;69.47;69.93;67.37;3.967.000;2020-08-11
08/10/2020;68.86;0.37;0.54%;68.54;69.36;67.29;3.593.200;2020-08-10
08/07/2020;68.49;-1.17;-1.68%;69.03;70.19;68.18;4.717.900;2020-08-07
08/06/2020;69.66;1.36;1.99%;68.59;69.89;68.31;4.035.000;2020-08-06
08/05/2020;68.30;1.10;1.64%;67.89;69.28;67.55;5.376.000;2020-08-05
08/04/2020;67.20;0.70;1.05%;65.90;67.53;65.50;6.358.400;2020-08-04
08/03/2020;66.50;-0.64;-0.95%;67.36;67.53;66.10;5.598.100;2020-08-03
07/31/2020;67.14;-1.25;-1.83%;68.39;68.60;67.00;4.287.100;2020-07-31
07/30/2020;68.39;1.56;2.33%;66.13;68.49;64.60;4.323.000;2020-07-30
07/29/2020;66.83;-0.52;-0.77%;67.76;68.05;66.00;6.347.700;2020-07-29
07/28/2020;67.35;-2.90;-4.13%;69.80;69.85;67.10;6.576.300;2020-07-28
07/27/2020;70.25;3.37;5.04%;67.81;71.02;67.73;7.216.800;2020-07-27
07/24/2020;66.88;-0.32;-0.48%;66.81;67.82;65.41;6.584.700;2020-07-24
07/23/2020;67.20;-0.90;-1.32%;68.00;69.80;66.61;9.899.800;2020-07-23
07/22/2020;68.10;7.70;12.75%;62.70;68.90;62.51;17.764.000;2020-07-22
07/21/2020;60.40;0.20;0.33%;60.50;61.03;59.01;5.063.300;2020-07-21
07/20/2020;60.20;1.84;3.15%;58.40;60.20;58.20;5.236.000;2020-07-20
07/17/2020;58.36;3.79;6.95%;55.03;58.46;54.70;6.470.700;2020-07-17
07/16/2020;54.57;0.22;0.4%;54.14;55.72;53.67;5.117.900;2020-07-16
07/15/2020;54.35;0.38;0.7%;54.54;54.70;54.08;4.617.200;2020-07-15
07/14/2020;53.97;-0.33;-0.61%;54.50;55.58;53.82;5.176.000;2020-07-14
07/13/2020;54.30;-0.42;-0.77%;54.80;55.89;54.25;5.080.100;2020-07-13
07/10/2020;54.72;0.32;0.59%;54.59;55.22;53.93;3.670.100;2020-07-10
07/09/2020;54.40;-0.10;-0.18%;54.62;54.77;54.12;3.747.000;2020-07-09
07/08/2020;54.50;0.53;0.98%;54.00;55.00;53.80;3.805.800;2020-07-08
07/07/2020;53.97;0.43;0.8%;53.28;54.14;52.15;4.797.200;2020-07-07
07/06/2020;53.54;-0.46;-0.85%;55.00;55.00;53.03;5.558.500;2020-07-06
07/03/2020;54.00;0.40;0.75%;53.59;54.27;53.21;3.289.900;2020-07-03
07/02/2020;53.60;1.20;2.29%;53.31;54.25;53.01;4.853.700;2020-07-02
07/01/2020;52.40;1.49;2.93%;50.80;52.59;50.80;4.465.900;2020-07-01
06/30/2020;50.91;0.85;1.7%;49.69;51.48;49.55;5.538.000;2020-06-30
06/29/2020;50.06;0.46;0.93%;50.41;50.72;49.21;3.413.700;2020-06-29
06/26/2020;49.60;0.41;0.83%;49.19;51.17;48.92;8.247.900;2020-06-26
06/25/2020;49.19;3.26;7.1%;46.10;49.50;46.06;7.771.400;2020-06-25
06/24/2020;45.93;-0.11;-0.24%;45.75;46.74;45.23;3.629.700;2020-06-24
06/23/2020;46.04;0.43;0.94%;46.30;46.79;45.68;3.233.400;2020-06-23
06/22/2020;45.61;-0.55;-1.19%;46.30;46.70;45.52;2.975.200;2020-06-22
06/19/2020;46.16;0.07;0.15%;46.80;47.00;45.99;8.316.600;2020-06-19
06/18/2020;46.09;-0.25;-0.54%;46.16;46.67;45.74;2.622.600;2020-06-18
06/17/2020;46.34;1.35;3.0%;45.06;47.00;45.06;4.744.600;2020-06-17
06/16/2020;44.99;0.65;1.47%;45.20;46.17;44.75;4.490.600;2020-06-16
06/15/2020;44.34;0.11;0.25%;43.00;44.92;43.00;3.992.700;2020-06-15
06/12/2020;44.23;-0.83;-1.84%;43.55;44.63;42.70;5.716.200;2020-06-12
06/11/2020;45.06;0.00;+0.00%;45.93;46.64;44.47;0;2020-06-11
06/10/2020;45.06;-0.45;-0.99%;45.93;46.64;44.47;4.847.800;2020-06-10
06/09/2020;45.51;-0.19;-0.42%;44.73;46.08;43.85;4.179.400;2020-06-09
06/08/2020;45.70;1.82;4.15%;44.89;46.28;44.26;5.162.800;2020-06-08
06/05/2020;43.88;0.02;0.05%;44.50;45.43;43.45;6.099.000;2020-06-05
06/04/2020;43.86;1.45;3.42%;42.10;43.86;41.27;5.808.900;2020-06-04
